sextupole,sextupole_index,sextupole_s_m,scaling,observation_count,sigma_1,sigma_2,condition_number,effective_rank,response_x_norm,response_y_norm,response_x_y_cosine,parameter_rotation_x_mode1,parameter_rotation_y_mode1,parameter_rotation_x_mode2,parameter_rotation_y_mode2,relative_reconstruction_error,parameter_rotation_orthogonality_error,mode_weight_orthogonality_error
SEX_19E,704,634.8968586369726,observable_rms,1191,44.386439645964984,20.363618480765236,2.1796931467701022,2,20.59645066857199,44.278879863114604,0.13314028143533721,-0.078301442819608547,-0.99692972874338925,0.99692972874338948,-0.078301442819608491,3.7994526239791529e-16,6.7421982139148918e-16,2.2205815703862231e-16
SEX_19W,164,133.52943477919487,raw,1191,3551.8331929144288,1520.8152964431781,2.3354796609564055,2,1565.5283859586964,3532.353191420957,-0.21417087624474554,-0.11573513507794442,0.99328011079880685,-0.99328011079880674,-0.11573513507794447,2.1212946183455338e-16,1.4376143182870935e-16,4.1366517324861407e-16
SEX_19W,164,133.52943477919487,observable_rms,1191,50.087715378357203,17.08436540610511,2.9317867060170886,2,17.250242727257938,50.030829485461531,-0.13002937467014045,0.050685780780962308,-0.99871464975068047,-0.99871464975068047,-0.050685780780962308,3.2674603971199113e-16,2.220673260343638e-16,7.7976929765627165e-16
SEX_20E,696,626.6882166369726,raw,1191,4033.4782581131985,2668.8708237378146,1.5113051640559434,2,4021.3594176797956,2687.096344813272,0.086974139098390704,-0.99464922671114664,-0.10330980496989714,0.10330980496989713,-0.99464922671114664,2.0456917564685306e-16,3.1435039330941458e-16,4.5817721892102918e-16
SEX_20E,696,626.6882166369726,observable_rms,1191,39.934098756771292,36.054015679215148,1.1076186107000829,2,38.46390659244576,37.618508473360045,0.099429133703390987,0.78043316082923997,0.62523921940172766,0.62523921940172777,-0.78043316082923986,2.9812567167810472e-16,1.8443726775237856e-16,3.5327080320384938e-16
SEX_20W,172,141.7373267791949,raw,1191,3916.7799503732217,2906.0527288289954,1.3478007165931578,2,3896.7201219067788,2932.896168279221,-0.089928517661160834,0.98857034309806369,-0.15076032882352414,0.15076032882352414,0.98857034309806369,3.4345566146013155e-16,6.2808068957985092e-16,2.2971826326221923e-16
SEX_20W,172,141.7373267791949,observable_rms,1191,41.11881962507919,32.16993832396868,1.2781752706825371,2,32.614747300942966,40.766904685337359,-0.10109909967135616,-0.20961381146427188,0.97778425536690894,-0.97778425536690883,-0.20961381146427194,2.3392717218186364e-16,3.6568162920135033e-16,5.1965320390371437e-16
SEX_21E,688,618.4839746369726,raw,1191,1798.8666124111094,1325.879373515334,1.3567347440074684,2,1538.5060531606784,1620.7641181704346,-0.29173970127052801,0.64193718748257766,-0.76675722841519889,-0.76675722841519889,-0.64193718748257778,5.0738592762637492e-16,5.7269627222939684e-16,4.2998752849492583e-16
SEX_21E,688,618.4839746369726,observable_rms,1191,24.196397536934771,17.054496105550495,1.4187694193474236,2,17.330923984913479,23.999178423620474,-0.12515903493072875,-0.17961991295986279,0.98373608598459528,0.98373608598459539,0.17961991295986279,3.6100801532033411e-16,3.33489376624696e-16,5.5772911000130108e-16
SEX_21W,180,149.9392687791949,raw,1191,1900.8185371176328,1320.2731768547083,1.4397160909123063,2,1370.371639197444,1865.0238451707128,0.18923065246617854,0.26848545274301072,0.96328373891879893,-0.96328373891879882,0.26848545274301078,2.882610537546477e-16,2.5571360006701059e-16,5.0611133419782491e-16
SEX_21W,180,149.9392687791949,observable_rms,1191,27.073105862153152,25.276394073004472,1.0710825992014261,2,25.582224049179967,26.784304565448871,0.050997208943590673,-0.40665566423582983,-0.91358150744469213,-0.91358150744469202,0.40665566423582988,2.7133839321198038e-16,2.0218935120045444e-16,8.3451558876417909e-16
SEX_22E,680,610.2825326369726,raw,1191,3112.1208946020438,1281.4028881218023,2.4286825973707535,2,3108.7182931818738,1289.6357617334827,-0.10278425734855304,0.99868331577706959,-0.051299461873567757,-0.05129946187356775,-0.9986833157770697,1.8033485019317846e-16,3.3348585890710547e-16,7.5401228079064598e-16
SEX_22E,680,610.2825326369726,observable_rms,1191,29.193715565368766,20.398733518730392,1.4311533379541777,2,29.110297891982402,20.517600111121041,-0.076682337180820875,0.99440897039774623,-0.10559734652203251,0.10559734652203252,0.99440897039774623,1.4999025706081663e-16,1.1480158544491249e-16,6.3565722078211463e-16
SEX_22W,188,158.1459607791949,raw,1191,1974.7531506589755,1033.7500948684301,1.9102809861510204,2,1971.652940373252,1039.6508776486226,0.090595943980761415,-0.99783682630439074,-0.065739395120282179,-0.065739395120282179,0.99783682630439108,3.9348344561845853e-16,5.5617657353599054e-16,3.1436329345419771e-16
SEX_22W,188,158.1459607791949,observable_rms,1191,22.774989557196346,18.708995247328165,1.2173283095172547,2,22.683422260408552,18.819909857673395,0.06129836186312447,-0.98758399358404569,-0.15709186998883012,-0.15709186998883015,0.98758399358404581,1.8563681289112986e-16,2.5050847213761745e-16,4.6363547741509204e-16
SEX_23E,672,602.0784906369726,raw,1191,2974.7786072130752,1382.4180460050072,2.1518661564132247,2,1473.1123364232681,2930.9260413955253,0.30461860043461231,-0.19320087069087133,-0.98115922436895486,-0.98115922436895509,0.19320087069087122,3.3490169021985634e-16,3.2583051834125263e-16,1.1775693440128312e-16
SEX_23E,672,602.0784906369726,observable_rms,1191,41.336041806979289,21.906403540486128,1.8869387542589748,2,22.092659379031463,41.236795097449757,0.10978104851893118,0.081665754088564968,0.9966597737488686,0.99665977374886872,-0.081665754088564968,1.7185309615216511e-16,2.4829348716763693e-16,4.5701980533538778e-16
SEX_23W,196,166.3497027791949,raw,1191,1437.551603448316,1076.8625505346374,1.3349443740378981,2,1082.1102095599972,1433.6056151141449,-0.064932231202548582,-0.11176903427781645,0.9937342114351323,0.99373421143513252,0.11176903427781644,2.6975326543489916e-16,4.6005493591379621e-16,7.9382887186313872e-16
SEX_23W,196,166.3497027791949,observable_rms,1191,24.620235655533488,12.870945702880624,1.9128536646707535,2,12.878768574135481,24.616144438850778,-0.029706123211634319,-0.021384491376586309,0.99977132561829585,-0.99977132561829596,-0.021384491376586295,1.5611444380891265e-16,1.1311344305567222e-16,9.1930524512885492e-16
SEX_24E,662,591.8725476369724,raw,1191,6324.0347556066617,2638.6911910983913,2.3966558788465866,2,6321.778616496923,2644.0918887405364,0.058051293131841077,0.99956802525138122,0.029389843399628204,0.029389843399628208,-0.99956802525138122,3.7897765000020099e-16,8.0061981291776941e-16,6.7880684969632282e-16
SEX_24E,662,591.8725476369724,observable_rms,1191,54.045830766308761,38.965468577169148,1.3870186280263437,2,53.931795806124711,39.123151276262384,0.062010647563112184,-0.995601034170709,-0.093694080699978574,0.09369408069997856,-0.99560103417070933,1.9465650469769574e-16,5.5989815980254843e-16,7.4501879840202778e-16
