sextupole,sextupole_index,sextupole_s_m,nominal_kn2_m3,nominal_k2l_m2,observation_scope,observation_name,observable,value,d_k2,d_x,d_y,d2_k2_k2,d2_k2_x,d2_k2_y,d2_x_x,d2_x_y,d2_y_y
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_29w,phi_1,2.8885137468692115,-0.0054147189890683955,-0.2576767429683083,0.03070299545246968,0.0006577748136752603,0.7039634788161143,-0.07452886805164761,1.2356595897112412,0.4547474086038442,4.143989445341804
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_29w,phi_2,2.7550677792332707,0.010862512103217484,0.5214946476922363,-0.002898897272779519,0.001315992071856464,-1.2984606965533483,0.00702384212889897,2.3858074867319132,-0.0234202479684751,-0.5622298901762541
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_29w,beta_1,9.803410967160321,-0.6761481216249425,-32.27242983095532,0.0870588559335165,0.13696784382934732,90.77158719589394,-0.21679277148734663,304.0790166963756,0.8809342707695997,499.99088735842605
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_29w,beta_2,25.280516089657095,-0.3117246245961032,-14.909163762701109,0.04062711699938151,0.08657866716806102,43.12877713972247,-0.09445964702547259,208.77881178090558,1.1360925784809464,-1.0382975146858855
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_29w,alpha_1,-0.5648409826682625,0.03916121146806698,1.8679156871267808,-0.034256797622175456,-0.007922961186877363,-5.253596724740661,0.08618768581332961,-17.328707026159005,0.1445156718993944,-29.218047654253276
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_29w,alpha_2,1.6043514610194778,-0.08807369524713246,-4.204924466259295,0.0011296435758139853,-0.002978886262602288,10.838856467002017,-0.001811995236803721,-7.153636918530129,0.08335261122588757,9.006302454467521
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_29w,c11,-0.0026242168864062027,-6.052941273768513e-5,-0.006537843432109819,2.0506838575427637,-2.118415298140154e-5,0.015464632173179999,-5.011838650857683,-0.008959399515353903,14.395922185978767,0.03317304220319972
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_29w,c12,-0.04729181858276551,-0.003906568261023255,-0.22511820812248168,21.203123916474468,-0.001387646040691609,0.5151687247298137,-51.95059245456464,-2.571181363635611,140.27580089198133,0.6487803793044248
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_29w,c21,-0.00014087651464881636,2.9358274185520096e-5,0.0011092185638355086,0.22094424373170304,9.826502322713792e-6,-0.0024817791696644465,-0.5425894752743294,0.01200255737914049,-1.5014627142375105,0.015799522189726897
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_29w,c22,-0.0026105205188365153,0.00013415241000899161,-0.003386864991250388,6.421180113860539,3.81540260185336e-5,0.008930755154847996,-15.734842922096094,-0.05568169101700942,3.339721318931544,0.2516067472269104
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_30w,orbit_x,-0.006412104899914418,-3.7978454857185806e-5,-0.003630055754923032,8.064281672004402e-6,-1.207269674751148e-7,0.009467178799560253,-2.1122582711165065e-5,0.4523250027837186,-0.00027885831436088264,-0.45709492204384483
