sextupole,observable_family,observation_count,norm_k2_x,norm_k2_y,cosine_x_y,singular_max,singular_min,condition_number
SEX_24W,orbit,198,0.35471297379511313,0.14748544420297555,0.0024016435196948446,0.3547131876104897,0.14748492996074944,2.405080896772914
SEX_24W,phase,198,15.397006834314743,1.34043409093526,-0.7128209107008898,15.426735968703277,0.9382965202924191,16.441216220108704
SEX_24W,tune,3,0.6403438423682709,0.0020371270542345436,0.35438911125534794,0.6403442493336304,0.0019049123196067993,336.15418554582425
SEX_25E,alpha,198,394.42278569789147,908.9840446954372,-0.22978474385208525,914.4524646901381,381.573082397977,2.3965329497125616
SEX_25E,beta,198,1822.355186941711,1955.63360188552,-0.21380677285810082,2091.7056747026104,1664.406375442605,1.2567277472404397
SEX_25E,coupling,396,9.379861983389807,1069.031587262894,0.4817113171783092,1069.0411365246716,8.219780695866303,130.05713608177993
SEX_25E,orbit,198,0.04240921327733785,0.09362157352917344,0.0266211008452461,0.09363013575334485,0.042390306435450234,2.2087628900706338
SEX_25E,phase,198,9.694775807248421,0.5061156290910693,0.4501280208492241,9.697457988068802,0.4518180523840542,21.463192842559934
SEX_25E,tune,3,0.7775026109981312,0.001919958424786315,-0.9615519211675989,0.7775048027776514,0.0005272636433775446,1474.6034788158584
SEX_25W,alpha,198,323.2413364788729,809.84076414824,0.239676246499443,814.1814724423791,312.14668797924605,2.608329685357777
SEX_25W,beta,198,1604.9277455495658,1762.5408184718856,0.19568362903188713,1858.773374121183,1492.4157426375898,1.245479608005286
SEX_25W,coupling,396,4.21798283620352,878.4298006719582,-0.5549704494763038,878.432919693943,3.508801185231033,250.35129473604061
SEX_25W,orbit,198,0.03674253223866691,0.08376659040742646,-0.030541611712203473,0.08377589461335065,0.036721312960293115,2.281397037843876
SEX_25W,phase,198,12.1783584415866,0.7240051098114851,-0.005475771309219538,12.178359089165538,0.7239942169215801,16.82107232975957
SEX_25W,tune,3,0.6907071208570141,0.0005833017466236128,0.8161366473512324,0.6907072849116229,0.00033706605815199,2049.1748374147146
SEX_26E,alpha,198,497.1876711192595,343.92433857032626,-0.43543438370363324,530.3020485899441,290.27447051943426,1.8268986853752254
SEX_26E,beta,198,2523.4535571979613,813.842476281689,-0.0914049797860684,2524.675692161331,810.0432586874975,3.116717119838797
SEX_26E,coupling,396,5.31335146052249,492.95897808806654,-0.670068683767226,492.9718356045814,3.9439931571342917,124.99307578991214
SEX_26E,orbit,198,0.033767017267930736,0.01183105159024804,0.007870270110247934,0.0337671636137215,0.011830633896288295,2.8542142297476976
SEX_26E,phase,198,11.248308487502161,0.5887833548097606,-0.28071772304540765,11.249525814646379,0.5650474444848861,19.908993349933258
SEX_26E,tune,3,0.5774620858208054,0.0008491457749390477,-0.5590998719453595,0.5774622809806182,0.00070402679199167,820.2277066004766
