target_sextupole,corrector,kick_x_rad_per_m,kick_y_rad_per_m
SEX_08W,V27E,-1.9041674051090588e-6,-9.936325314258261e-11
SEX_08W,V25E,3.443977509387633e-6,1.799698455116578e-10
SEX_08W,V23E,3.7195732154083676e-8,2.1250742066385687e-12
SEX_08W,V21E,-2.442685311622363e-6,-1.2734488596057948e-10
SEX_08W,V19E,-3.003786570757269e-7,-1.566597845514456e-11
SEX_08W,V17E,2.0850248140248286e-6,1.0830361028800199e-10
SEX_08W,V15E,6.90953432900961e-7,3.629135212080841e-11
SEX_08W,V13E,-1.109028279294877e-6,-5.6784002835858215e-11
SEX_08W,V11E,-1.3583865872830826e-6,-6.823189963512274e-11
SEX_08W,V09E,-9.270835507352243e-7,-9.296185873447809e-11
SEX_08W,V08E,-7.121951703321865e-10,1.5307289605742454e-9
SEX_08W,V07E,6.759238200216167e-7,-1.6654015913105745e-8
SEX_08W,V06E,-3.3189532958033197e-6,2.8911897157664183e-7
SEX_08W,V05E,3.386910200699523e-5,-3.89445532285598e-6
SEX_08W,V04E,-0.00014428387604285638,1.7930096966913956e-5
SEX_08W,V02E,0.000414578653730259,-5.49857949145122e-5
SEX_08W,V01E,-0.0003824206316483735,8.316869595017473e-5
