sextupole,sextupole_s_m,quadrupole,quadrupole_index,quadrupole_k1_m2,delta_k1_m2,optics_leverage,delta_log_beta_x,delta_log_beta_y,delta_phi_x_rad,delta_phi_y_rad,max_abs_tune_shift,max_detector_beta_beating,allowed,selected,selected_rank
SEX_40E,458.4951366369716,Q00E,1,-0.84178483645302,0.0008417848364530201,0.0553139677623935,0.0028261873711306063,0.052879591086515854,0.007783616097889023,0.013957501980151221,0.00738780564499919,0.1076620105801478,1,1,4
SEX_40W,310.20325677919504,Q00E,1,-0.84178483645302,0.0008417848364530201,0.08917973860793496,0.010086861057765573,0.06518564259263249,0.006449899313144769,-0.05967002439095204,0.00738780564499919,0.1076620105801478,1,1,1
SEX_41E,450.2917946369716,Q00E,1,-0.84178483645302,0.0008417848364530201,0.04215485181924854,-0.017856703528084106,-0.03303614877273331,0.0021690738003385945,0.019028338448940474,0.00738780564499919,0.1076620105801478,1,1,4
SEX_41W,318.4081997791951,Q00E,1,-0.84178483645302,0.0008417848364530201,0.07636790634348019,0.01829211404990061,-0.0172657148279447,-0.005486794388248839,-0.07189746770014338,0.00738780564499919,0.1076620105801478,1,1,3
SEX_42E,442.0901526369716,Q00E,1,-0.84178483645302,0.0008417848364530201,0.0950687145795944,-0.012692038602649891,-0.09254646192510774,-0.009461526679935162,-0.014919937866984867,0.00738780564499919,0.1076620105801478,1,1,2
SEX_42W,326.61314177919513,Q00E,1,-0.84178483645302,0.0008417848364530201,0.09960281138641681,-0.001168091991291531,-0.09121419499868111,-0.011763061171953026,-0.038222462241272126,0.00738780564499919,0.1076620105801478,1,1,3
SEX_43E,433.8827106369716,Q00E,1,-0.84178483645302,0.0008417848364530201,0.08970019895548975,0.011195598578457311,-0.06512156115094436,-0.0100357804457758,-0.05982683051301052,0.00738780564499919,0.1076620105801478,1,1,3
SEX_43W,334.81308377919515,Q00E,1,-0.84178483645302,0.0008417848364530201,0.07199230163707307,-0.019305038729280577,-0.06888681915199202,-0.003776341775028058,0.007110018606390156,0.00738780564499919,0.1076620105801478,1,1,3
SEX_44E,422.8791226369716,Q00E,1,-0.84178483645302,0.0008417848364530201,0.07710377664406694,0.011739485339903766,0.027963206429027387,0.005905700125026669,-0.07064247057523687,0.00738780564499919,0.1076620105801478,1,1,2
SEX_44W,345.81827077919525,Q00E,1,-0.84178483645302,0.0008417848364530201,0.028637315883905404,0.00266884826247904,0.017512471753031056,0.0077712895890797995,0.02111619049943414,0.00738780564499919,0.1076620105801478,1,1,5
SEX_45E,416.5395126369716,Q00E,1,-0.84178483645302,0.0008417848364530201,0.09889584777202404,0.001320053037030311,0.08987707467758377,0.007833073473634045,-0.040489511899792774,0.00738780564499919,0.1076620105801478,1,1,1
SEX_45W,352.15948077919535,Q00E,1,-0.84178483645302,0.0008417848364530201,0.08701058816040605,0.012412668021537288,0.08577592927523436,0.005650241561745872,-0.005228083001522776,0.00738780564499919,0.1076620105801478,1,1,3
SEX_08E,725.6516956369732,Q00W,2,-0.84178483645302,0.0008417848364530201,0.09843759445241874,-0.01296618750107914,0.08537380052505616,0.016297283166693433,-0.04435708205640054,0.007391830282280409,0.10763171022270224,1,1,2
SEX_08W,43.04349877919489,Q00W,2,-0.84178483645302,0.0008417848364530201,0.09058580890221699,0.0004558875692781683,0.08835752911572303,0.018804920964363703,-0.006700965384281776,0.007391830282280409,0.10763171022270224,1,1,3
SEX_09E,716.2180656369733,Q00W,2,-0.84178483645302,0.0008417848364530201,0.08879027489780657,-0.01619362475071373,0.08706117110728306,0.0040833319215636266,-0.005015806984708604,0.007391830282280409,0.10763171022270224,1,1,2
SEX_09W,52.48582877919489,Q00W,2,-0.84178483645302,0.0008417848364530201,0.09807020316299528,0.018819227029127195,0.08398594536643267,0.01098637542948655,-0.04570844537157548,0.007391830282280409,0.10763171022270224,1,1,3
SEX_10E,709.7073956369733,Q00W,2,-0.84178483645302,0.0008417848364530201,0.04674844505598939,-0.0049279146918630445,0.042634927104810316,-4.6797597612169284e-05,0.018530881595189896,0.007391830282280409,0.10763171022270224,1,1,2
SEX_10W,58.99139877919489,Q00W,2,-0.84178483645302,0.0008417848364530201,0.07802596101962547,0.016730071920252332,0.03445730456019103,0.0045455150623725515,-0.06782468386836227,0.007391830282280409,0.10763171022270224,1,1,3
SEX_11E,701.5022036369731,Q00W,2,-0.84178483645302,0.0008417848364530201,0.0440746959745024,0.018482965472872093,-0.03370309531237159,0.006706699632687219,0.020495861996401743,0.007391830282280409,0.10763171022270224,1,1,3
SEX_11W,67.46407077919488,Q00W,2,-0.84178483645302,0.0008417848364530201,0.0776279083770631,-0.013977750730633232,-0.035298466569021913,0.0026541077300308302,-0.06765861817642316,0.007391830282280409,0.10763171022270224,1,1,3
SEX_12E,693.2993606369731,Q00W,2,-0.84178483645302,0.0008417848364530201,0.09674402789538572,0.001967267243204951,-0.09350076327908585,0.018714288623854713,-0.016214791412423324,0.007391830282280409,0.10763171022270224,1,1,4
