trial,element_order,element_index,element_name,element_type,s_m,k2l_m2,projection_numerator,contribution_norm_m
1,166,166,d067,Drift,43.155500000000004,0,7.1621604789679561e-16,1.8813769680225425e-10
1,167,167,det_s7c,Marker,43.187000000000005,0,0,0
1,168,168,det_9w,Marker,43.187000000000005,0,0,0
1,169,169,d068,Drift,43.192250000000008,0,1.1945744137922248e-16,3.1356302993682745e-11
1,170,170,q09w,Quadrupole,43.268000000000001,0,1.7898519181775117e-15,4.6419053661277977e-10
1,171,171,d069,Drift,43.803249999999998,0,1.3014905308406649e-14,3.3532961946972963e-09
1,172,172,rf_w1,RFCavity,45.167999999999999,0,2.5203337336126183e-14,6.4936906877278665e-09
1,173,173,d070,Drift,46.667499999999997,0,1.6787988338343105e-14,4.325485505372337e-09
1,174,174,rf_w2,RFCavity,48.166999999999994,0,2.5202632654467553e-14,6.4935887687001289e-09
1,175,175,d071,Drift,49.342999999999989,0,7.7286992963129884e-15,1.9913516902822134e-09
1,176,176,det_9aw,Marker,49.618999999999993,0,0,0
1,177,177,d072,Drift,49.667999999999992,0,1.3738701947756057e-15,3.5352902041704931e-10
1,178,178,q09aw,Quadrupole,50.016999999999996,0,1.6479478889477992e-14,4.5545546174366161e-09
1,179,179,d073,Drift,50.346999999999994,0,2.7658053285813006e-15,7.7695905153407126e-10
1,180,180,sex_09aw,Sextupole,50.512999999999991,0.61250385707040012,1.0648345968089636e-12,2.0934232642427303e-06
1,181,181,d074,Drift,50.74199999999999,0,7.4095113479284289e-15,2.0923328053199203e-09
1,182,182,hkick_9aw,Kicker,50.866999999999997,0,2.5495260066801832e-15,7.1283451166170859e-10
1,183,183,d075,Drift,50.925499999999992,0,2.1113400752310488e-15,5.8472843532124114e-10
1,184,184,det_i10w,Marker,50.951999999999991,0,0,0
1,185,185,d076,Drift,51.206299999999992,0,2.0251456010373255e-14,5.6112126173771552e-09
1,186,186,det_10w,Marker,51.460599999999992,0,0,0
1,187,187,d077,Drift,51.502799999999993,0,3.3590884512694498e-15,9.3116079750870412e-10
1,188,188,q10w,Quadrupole,51.844999999999999,0,7.8563742129231102e-15,1.9610927074318972e-09
1,189,189,d078,Drift,52.183999999999997,0,5.1073963990774623e-16,1.3849111831631471e-10
1,190,190,sex_10w,Sextupole,52.358999999999995,-0.24066952067328001,-1.4080624814186333e-12,1.516925086015124e-06
1,191,191,d079,Drift,53.219000000000001,0,9.95846002710135e-15,2.6231326981176925e-09
1,192,192,det_i10aw1,Marker,53.942999999999998,0,-2.3832474834444812e-27,1.0445147252464447e-21
1,193,193,d080,Drift,53.950699999999998,0,1.0706302872879303e-16,2.7847244568913436e-11
1,194,194,sk_q10aw,Quadrupole,54.034399999999998,0,1.0713408081421352e-15,2.7869611815454631e-10
1,195,195,d081,Drift,54.161700000000003,0,7.3302004245963391e-16,1.9071202356439403e-10
1,196,196,det_i10aw2,Marker,54.213000000000001,0,-4.5286121372658545e-56,3.2609401971046589e-50
1,197,197,d082,Drift,54.4129425,0,2.8887172600838589e-15,7.4189880185225149e-10
1,198,198,fdbk_10w1_v,Kicker,55.252135000000003,0,9.2357178114262145e-15,2.371975988521363e-09
1,199,199,d083,Drift,56.039134999999995,0,2.1346535887889209e-15,5.4823535753160741e-10
1,200,200,fdbk_10w2_h,Kicker,56.825634999999998,0,9.2284939414065061e-15,2.37012070812131e-09
1,201,201,d084,Drift,57.524985000000001,0,8.7553304555036024e-16,2.2485998420481685e-10
1,202,202,det_i10aw3,Marker,57.585585000000002,0,3.1867274896712755e-42,2.294682665087207e-36
1,203,203,d085,Drift,57.626585000000006,0,6.0149658712073297e-16,1.5172289032747979e-10
1,204,204,det_i10aw4,Marker,57.667585000000003,0,3.1867274896712512e-42,2.29468266508719e-36
1,205,205,d086,Drift,57.861285000000002,0,2.8851836586351513e-15,7.1484139297162151e-10
1,206,206,q10aw,Quadrupole,58.354985000000006,0,1.7899706256532479e-15,4.5662927631582596e-10
1,207,207,d087,Drift,58.752985000000002,0,1.7338180625141701e-15,5.1748079192818082e-10
1,208,208,det_10aw,Marker,58.850985000000001,0,3.2926061643772419e-42,1.2246898336906661e-36
1,209,209,d088,Drift,58.909685000000003,0,1.0262043647533121e-15,3.1038876682238894e-10
1,210,210,sex_10aw,Sextupole,59.104385000000001,-0.11116394997904001,-9.6886855652614854e-13,5.5951263095758649e-07
1,211,211,d089,Drift,59.384204500000003,0,2.5142793634869952e-15,7.604762734268189e-10
1,212,212,b11w,SBend,62.815155000000004,0,4.2172587609531484e-14,1.3348192904106914e-08
1,213,213,d090,Drift,66.220270499999998,0,1.8071714814722522e-15,5.2147484903944122e-10
1,214,214,det_11w,Marker,66.338255000000004,0,-2.9437525736727107e-42,9.7049450934278704e-37
