scenario,rho,trials,converged_trials,mean_x_rmse_m,max_trial_x_rmse_m,mean_x_max_abs_m,global_x_max_abs_m,mean_y_rmse_m,max_trial_y_rmse_m,mean_y_max_abs_m,global_y_max_abs_m,mean_newton_iterations,max_closure_norm,source_chunk
horizontal,18.100000000000001,600,600,0.00018738729498929209,0.00078278055152735629,0.00055953795245843572,0.0023186587887480768,3.0580315277223347e-18,1.0407449956653855e-17,8.6988516185142552e-18,2.9357689721427744e-17,8.8583333333333325,9.9987663456644021e-14,chunk_4
horizontal,25.600000000000001,600,600,0.00037482146551313662,0.0015502914929204088,0.0011210620515798254,0.0045735233169789374,4.5661803410121241e-18,1.5848914263255002e-17,1.3208471111733859e-17,4.5649773153847279e-17,10.291666666666666,9.9872301924942823e-14,chunk_5
horizontal,36.200000000000003,600,600,0.00074948753172994194,0.0030541760695360718,0.0022478636699694771,0.0091721755888299721,7.0862377299692699e-18,2.6504053044957584e-17,2.0606994535400563e-17,7.5587184299794883e-17,12.505000000000001,9.9965912248172504e-14,chunk_5
horizontal,51.200000000000003,600,600,0.0014993154851618373,0.0070649840560154274,0.0045205511509910602,0.020203785076831942,1.1791899392719518e-17,5.7241082445222506e-17,3.4679982068701117e-17,1.5460265063980268e-16,16.699999999999999,9.9743902151074945e-14,chunk_5
horizontal,64,600,600,0.0023408902816470017,0.012226244087450067,0.0071034579809842058,0.034696971388413066,1.6830512781579411e-17,1.0197417040627273e-16,5.0703846828647138e-17,3.0688568948891376e-16,21.628333333333334,9.9706922298099919e-14,chunk_5
vertical,0.10000000000000001,600,600,8.2438831515302552e-09,4.0519390070460203e-08,2.7408876212781698e-08,1.6001114359072068e-07,5.7237734164392456e-12,4.5827363697962892e-11,1.7066633037745169e-11,1.5011864703249646e-10,2.4966666666666666,9.8935193482466011e-14,chunk_1
vertical,0.14000000000000001,600,600,1.6158011203722539e-08,7.9417935208723774e-08,5.3721392661679514e-08,3.1362153371617178e-07,1.5705925434434854e-11,1.2575049068382677e-10,4.683142024524848e-11,4.1192505588721721e-10,2.5616666666666665,9.9989643992308946e-14,chunk_1
vertical,0.20000000000000001,600,600,3.297554177506558e-08,1.6207715601637803e-07,1.0963551483623447e-07,6.4004262122893536e-07,4.5789283758204701e-11,3.6662040528408972e-10,1.3653331735815971e-10,1.2009462327052835e-09,2.5499999999999998,9.9877553595793842e-14,chunk_1
vertical,0.28000000000000003,600,600,6.4632098407045009e-08,3.1767024327513006e-07,2.1488570220629764e-07,1.2544784578941878e-06,1.2564591246503607e-10,1.006010505863583e-09,3.7464774646189313e-10,3.2953830673911229e-09,2.9366666666666665,9.9794566703396089e-14,chunk_1
vertical,0.40000000000000002,600,600,1.3190240894880246e-07,6.4830235754793511e-07,4.3854269057248847e-07,2.5601378816584063e-06,3.663153436459109e-10,2.9330000217578942e-09,1.0922696115893865e-09,9.6074580651110339e-09,3.2766666666666668,9.9830856770081017e-14,chunk_2
vertical,0.56999999999999995,600,600,2.6784502743990372e-07,1.3164414890715498e-06,8.9051759843779658e-07,5.1985890339861361e-06,1.0599892834045934e-09,8.4871956216370989e-09,3.1606484329207132e-09,2.7800088145684028e-08,3.6400000000000001,9.9966472953046166e-14,chunk_2
