target,target_s_m,target_length_m,target_nominal_kn2_m3,state_index,direction,direction_family,radius_scale,qx,qy,qk,bump_x_command_m,bump_y_command_m,delta_k2_m3,converged,failure,closed_orbit_seconds,maximum_abs_corrector_delta,maximum_abs_corrector_total,maximum_ring_abs_x_m,maximum_ring_abs_y_m,maximum_bpm_abs_x_m,maximum_bpm_abs_y_m,entry_x,entry_px,entry_y,entry_py,entry_z,entry_pz,exit_x,exit_px,exit_y,exit_py,exit_z,exit_pz
SEX_09AW,50.513,0.272,2.2518524157,39,xyk_mmm,xyk_diagnostic,1.0,-1.5,-1.5,-1.0,-0.0015,-0.0015,-0.1,true,,0.0495173,0.012485699834110214,0.012485699834110214,0.0015050286190253952,0.0024510875543194413,0.0014661781662425638,0.002363444209941497,-0.001499303227122519,9.54229840115189e-5,-0.001506004183371179,-0.00012723908424409533,-5.106318247747882e-6,-2.2338684100772666e-6,-0.001473344900362609,9.545551751059614e-5,-0.0015404332309682947,-0.0001259139751197464,-5.10973590813454e-6,-2.2338684100772666e-6
SEX_09AW,50.513,0.272,2.2518524157,40,xyk_mmp,xyk_diagnostic,0.5,-0.75,-0.75,0.5,-0.00075,-0.00075,0.05,true,,0.0489476,0.006242849917055107,0.006242849917055107,0.0007526891727958662,0.0012268367346036648,0.000733235907615236,0.001182136043491614,-0.0007498278857285087,4.768806993306702e-5,-0.0007516481459019853,-6.317066994349262e-5,-2.2827094359515346e-6,-1.0003928075765322e-6,-0.0007368559583242151,4.769601910213658e-5,-0.0007687825088342047,-6.281686648344328e-5,-2.283558441719874e-6,-1.0003928075765322e-6
SEX_09AW,50.513,0.272,2.2518524157,41,xyk_mmp,xyk_diagnostic,1.0,-1.5,-1.5,1.0,-0.0015,-0.0015,0.1,true,,0.0486549,0.012485699834110214,0.012485699834110214,0.0015050313408761895,0.002450296805459957,0.0014661799008105878,0.0023631776948514495,-0.0014993060192514123,9.542181276110136e-5,-0.0015067980497386032,-0.00012750536984594774,-5.105541649976637e-6,-2.2333252663219236e-6,-0.001473347604824123,9.54581710355047e-5,-0.0015412826856128388,-0.00012605631427469594,-5.1089663645207915e-6,-2.2333252663219236e-6
SEX_09AW,50.513,0.272,2.2518524157,42,xyk_mpm,xyk_diagnostic,0.5,-0.75,0.75,-0.5,-0.00075,0.00075,-0.05,true,,0.0477346,0.006242849917055107,0.006242849917055107,0.0007526887668603986,0.0012269351921617986,0.0007332356121425741,0.001182169230491885,-0.0007498274725461982,4.7688190712141386e-5,0.0007515493072801223,6.313751592554396e-5,-2.282759172352028e-6,-1.0004267226579779e-6,-0.0007368555515138598,4.769574799066866e-5,0.0007686767471022667,6.279912873003055e-5,-2.2836077416695288e-6,-1.0004267226579779e-6
SEX_09AW,50.513,0.272,2.2518524157,43,xyk_mpm,xyk_diagnostic,1.0,-1.5,1.5,-1.0,-0.0015,0.0015,-0.1,true,,0.0482805,0.012485699834110214,0.012485699834110214,0.0015050286190297067,0.0024510875543192526,0.0014661781662470021,0.0023634442099414858,-0.0014993032271267933,9.54229840121406e-5,0.001506004183371518,0.00012723908424419356,-5.106318257098074e-6,-2.2338683915440134e-6,-0.0014733449003667151,9.545551751121452e-5,0.0015404332309686597,0.00012591397511984057,-5.10973591748475e-6,-2.2338683915440134e-6
SEX_09AW,50.513,0.272,2.2518524157,44,xyk_mpp,xyk_diagnostic,0.5,-0.75,0.75,0.5,-0.00075,0.00075,0.05,true,,0.0485625,0.006242849917055107,0.006242849917055107,0.000752689172792768,0.0012268367346035792,0.0007332359076120428,0.0011821360434916214,-0.0007498278857254377,4.7688069932613596e-5,0.000751648145902172,6.317066994354496e-5,-2.2827094351535084e-6,-1.0003927874995093e-6,-0.0007368559583212676,4.769601910168464e-5,0.0007687825088344055,6.281686648349695e-5,-2.2835584409218434e-6,-1.0003927874995093e-6
SEX_09AW,50.513,0.272,2.2518524157,45,xyk_mpp,xyk_diagnostic,1.0,-1.5,1.5,1.0,-0.0015,0.0015,0.1,true,,0.0469086,0.012485699834110214,0.012485699834110214,0.001505031340874722,0.002450296805460187,0.0014661799008089265,0.002363177694851471,-0.0014993060192499707,9.542181276067044e-5,0.0015067980497382128,0.00012750536984583373,-5.105541649401225e-6,-2.233325288685985e-6,-0.0014733476048227978,9.545817103507471e-5,0.0015412826856124183,0.00012605631427458367,-5.108966363945366e-6,-2.233325288685985e-6
SEX_09AW,50.513,0.272,2.2518524157,46,xyk_pmm,xyk_diagnostic,0.5,0.75,-0.75,-0.5,0.00075,-0.00075,-0.05,true,,0.0463268,0.006242849917055107,0.006242849917055107,0.000753028022516413,0.0012298981458485317,0.0007335189843173033,0.001183120579731636,0.0007501695891931625,-4.7640591662120676e-5,-0.0007484533132625912,-6.211052791960336e-5,1.7373843634966243e-6,7.644866365581322e-7,0.0007372118618870256,-4.763464590658626e-5,-0.0007653931741972628,-6.24476465406192e-5,1.736548221098002e-6,7.644866365581322e-7
SEX_09AW,50.513,0.272,2.2518524157,47,xyk_pmm,xyk_diagnostic,1.0,1.5,-1.5,-1.0,0.0015,-0.0015,-0.1,true,,0.0497949,0.012485699834110214,0.012485699834110214,0.0015063877194140703,0.002462547262801307,0.0014673133570866528,0.0023671174276455,0.001500673791825139,-9.523224818634086e-5,-0.0014940137937110177,-0.00012326316007906847,2.9246154392000223e-6,1.2901051754698974e-6,0.0014747722268396571,-9.521195300055009e-5,-0.0015277200985628827,-0.00012457870875104117,2.9212937198410174e-6,1.2901051754698974e-6
SEX_09AW,50.513,0.272,2.2518524157,48,xyk_pmp,xyk_diagnostic,0.5,0.75,-0.75,0.5,0.00075,-0.00075,0.05,true,,0.0522224,0.006242849917055107,0.006242849917055107,0.0007530274915909591,0.0012299958373410218,0.000733518538532201,0.0011831535144423164,0.0007501690540064601,-4.764066268146935e-5,-0.0007483552589965951,-6.207763551115936e-5,1.737332251633444e-6,7.644528059269271e-7,0.0007372113238310696,-4.763449490340404e-5,-0.0007652882473037366,-6.243001714419242e-5,1.736496536911655e-6,7.644528059269271e-7
