trial,q_total_norm_m,all_element_total_relative_closure,all_element_total_signed_projection,family_partition_absolute_error_m,family_partition_relative_closure
17,8.5524167180528908e-06,1.1339284030037902e-14,0.99999999999999722,2.9646153153900512e-20,1.4645481450718325e-14
18,4.5131090443877804e-06,1.2109135988273492e-14,1.0000000000000016,1.4293680984916318e-20,1.5482782239582038e-14
19,9.4262557160093865e-06,1.5231603445879261e-14,0.99999999999999101,4.5422141796511856e-20,2.1479541759716749e-14
20,5.2140866927945205e-06,4.2376402421139318e-15,0.99999999999999833,1.2334917294390749e-20,9.4904491196559797e-15
21,9.373343165997939e-06,2.3071838895055486e-14,0.99999999999999378,5.5480658045156672e-20,2.881990554487596e-14
22,1.0211745532359156e-05,2.043732794240424e-14,0.99999999999999134,6.1833405149563925e-20,2.9717375726481645e-14
23,1.8873807754407128e-05,1.352670287956224e-14,1.0000000000000091,8.9785492408955836e-20,2.2991825902296577e-14
24,4.0363997153478061e-06,1.285271906708919e-14,0.99999999999999545,1.6755370487874129e-20,1.8094094583333136e-14
25,1.7369580041096381e-05,1.7215080813630898e-14,1,9.4444173618854488e-20,2.384152932302941e-14
26,1.2262697047650574e-05,4.3106932768341971e-15,0.99999999999999878,2.456395547037471e-20,9.9411749161279517e-15
27,1.0443764994898887e-05,3.5780518998433633e-15,0.99999999999999856,1.8078859467958973e-20,5.89082224938932e-15
28,9.966860299064213e-06,9.8147166649246244e-15,0.99999999999999611,2.498747194400186e-20,1.0292763872722487e-14
29,6.5554630017840282e-06,1.5666305141003204e-14,0.99999999999999323,3.1499037726019294e-20,2.29039382235769e-14
30,2.4424343842569412e-05,1.6617054877896051e-14,0.99999999999998979,9.0632525356210136e-20,1.8101837962069978e-14
31,1.1181500930161665e-05,3.8619053723073366e-15,0.99999999999999734,2.8057966377798699e-20,1.2035989974975459e-14
32,1.5298598608305626e-05,1.207478460056772e-14,1.0000000000000042,4.4045713257223618e-20,1.3859472028496435e-14
33,4.8066982900843531e-06,5.6331649963864515e-15,0.99999999999999778,1.5511290846594375e-20,1.3610567580056416e-14
34,1.4115143190737311e-05,1.5650779289466034e-14,0.99999999999999756,3.9387032047324966e-20,1.1803293756623982e-14
35,2.9400290281784132e-06,6.3246768379026167e-15,0.99999999999999811,4.1822251770681079e-21,6.1068533958370055e-15
36,2.0439350771492363e-05,1.5261145414461305e-14,0.99999999999999367,6.2998075452038588e-20,1.424616852504411e-14
37,9.623689465114906e-06,1.7894204117576197e-14,0.99999999999998568,3.6845933205562065e-20,1.7502060515806958e-14
38,1.1087341466189587e-05,7.4952881103475476e-15,0.99999999999999911,2.9646153153900512e-20,1.1406796199061129e-14
39,1.3994597045714993e-05,7.6456123665504063e-15,0.99999999999999389,2.7952087259391911e-20,9.9670870320399578e-15
40,1.619496439704263e-05,5.2471269699078708e-15,0.99999999999999667,3.663417496874849e-20,9.8810035391169006e-15
41,4.436979158203836e-06,1.0692635035984351e-14,0.99999999999999856,2.0937595664942237e-20,2.0076446363972691e-14
42,3.721040944334962e-06,1.3132464651263401e-14,0.99999999999999778,6.8292031372377965e-21,8.9078932976384714e-15
43,1.6317738715610007e-05,1.5630471157511727e-14,0.99999999999999345,7.8138789384209206e-20,2.2429157481440781e-14
44,9.2171599290197531e-06,8.7568498618499083e-15,1.0000000000000031,3.3881317890172014e-20,1.4668515290064311e-14
45,1.6986505998568518e-05,1.9140954372372199e-15,0.99999999999999978,3.1763735522036263e-20,8.765167800078117e-15
46,1.4084294617578251e-05,1.2500613139513685e-14,0.99999999999999123,3.7692966152816365e-20,1.1910345004162471e-14
47,1.1859116819527091e-05,9.1045418808276412e-15,0.99999999999999334,3.1763735522036263e-20,1.3494710436772283e-14
48,2.9551059978729671e-05,1.4013667322830817e-14,0.99999999999999112,7.8350547621022781e-20,1.3242235610748196e-14
49,8.9601073614046013e-06,1.2728111964850197e-14,0.99999999999999967,2.5199230180815435e-20,1.4883136746703004e-14
50,7.1099299701329092e-06,1.1304391420160762e-14,1.0000000000000016,2.6469779601696886e-20,1.6333854400402479e-14
51,8.3090058649866084e-06,6.0309631450186218e-15,1.0000000000000022,2.5907296785160827e-20,1.4551615957346734e-14
52,1.7597455227404971e-05,4.5798405193935488e-15,0.999999999999999,4.8598515348715482e-20,1.3505270124386931e-14
53,1.5173595122490325e-05,1.2852773915483198e-14,0.99999999999999178,6.0139339255055324e-20,1.8523606250436476e-14
54,1.1890694786217152e-05,1.0859409435227118e-14,0.99999999999999101,4.955142741437657e-20,1.8001267111122536e-14
55,4.2613546860549764e-06,8.9862414409750333e-15,0.99999999999999356,1.2281977735187355e-20,1.37989443715807e-14
56,1.7641400019214055e-05,1.3997868016475692e-14,0.99999999999999456,9.3808898908413763e-20,2.1763489819261456e-14
57,1.058602726545581e-05,1.2860555506479211e-14,0.99999999999999145,3.748120791600279e-20,1.5870911203387416e-14
58,1.7779296735012386e-05,7.6808385670412327e-15,0.99999999999999489,5.3363075677020921e-20,1.3546507010853831e-14
59,4.3575888599761698e-06,4.9348074736752413e-15,0.99999999999999911,3.9175273810511391e-21,4.0261794695726381e-15
60,1.5485807106430882e-05,9.7143934434964428e-15,0.99999999999999378,4.3304559428376105e-20,1.1853118781691038e-14
61,1.2432131617102356e-05,1.8690766420472579e-14,0.99999999999999412,5.1669009782512321e-20,1.9936712138176087e-14
62,5.2216679161461178e-06,8.9003457424953023e-15,0.99999999999999611,1.5286297719979951e-20,1.0547991637974759e-14
63,4.0293916135712228e-06,7.4704870739125743e-15,0.99999999999999523,1.0905549195899117e-20,1.0727590685053748e-14
64,1.1998475558720252e-05,1.284693040792623e-14,0.99999999999999711,3.5151867311053464e-20,1.5498646649154183e-14
65,7.8888433699467497e-06,6.5495833176637912e-15,0.99999999999999811,2.4775713707188285e-20,1.4713477738779481e-14
66,6.8278308591837133e-06,7.389483200516127e-15,0.99999999999999833,1.6583316920463099e-20,1.110201434956959e-14
67,4.4237437544511194e-06,3.1929177043589596e-15,0.99999999999999989,1.7470054537119944e-20,1.6834451651972819e-14
68,4.672980170651613e-06,6.2995775745999262e-15,0.99999999999999878,1.0376153603865179e-20,1.1323772418058279e-14
69,7.5348673068530641e-06,1.1532681617218364e-14,0.99999999999999678,1.979939514206927e-20,9.9300938549795508e-15
70,1.3983418754425773e-05,9.1619000171783684e-15,0.99999999999999156,3.5575383784680614e-20,1.1131953233973403e-14
71,9.7855588371255977e-06,8.1007760895842456e-15,1.0000000000000022,4.4892746204477918e-20,1.9312048034584015e-14
72,3.4102297265455666e-05,1.6960496871325468e-14,0.99999999999999878,1.3054895299556904e-19,1.955178302837012e-14
73,5.9803628760712109e-06,2.7737829360456723e-15,1.0000000000000009,7.5835918558861577e-21,5.1892354200194666e-15
74,2.489962978573957e-05,1.376818445713625e-14,0.99999999999999467,1.0122043719688889e-19,2.0560867358345006e-14
75,6.0993431694125131e-06,6.4980658114802323e-15,0.99999999999999978,1.6464202912255463e-20,1.1656312163156408e-14
76,7.730509609548871e-06,8.7938236326079465e-15,0.99999999999999312,1.9164120431628545e-20,1.0878278546074119e-14
77,3.8560625695366668e-06,1.0253960455623965e-14,0.99999999999999234,1.0468797832471118e-20,1.2864901136344019e-14
78,1.4113764020423677e-05,6.8524623662818679e-15,0.99999999999999478,6.7339119306716877e-20,2.0317273223172758e-14
79,8.4977609000682457e-06,8.0760643604047067e-15,0.99999999999999767,1.9693516023662483e-20,1.0524490283671209e-14
80,1.1875762309469981e-05,1.0328101919351161e-15,1.0000000000000002,1.0058516248644817e-20,3.4195684687245109e-15
