trial,family,element_count,contribution_norm_m,projection_numerator
31,kicker,82,3.311666647518214e-07,-1.7429479208951677e-12
31,marker,222,1.7746467546346488e-20,3.5240013760733214e-27
31,normal_sextupole,76,1.247700674883537e-05,1.378114682778278e-10
31,octupole,2,2.1755850800674888e-09,-3.9564194233823853e-15
31,other_sextupole,6,8.2635889114725179e-10,-7.7914868398771188e-15
31,quadrupole,122,2.9452839894450795e-07,-1.5523804624433864e-12
31,rfcavity,4,1.7015844857382748e-08,-4.2800807845003897e-15
31,sbend,98,8.3928486599282045e-07,-5.478928658103573e-12
31,wiggler,3,1.5204144570691328e-08,-3.7681549539733408e-14
32,drift,562,7.8507053900978437e-07,1.4733756869420344e-13
32,kicker,82,3.3921262390036777e-07,7.9724454465448579e-13
32,marker,222,2.7398921497445957e-20,-1.7291281788310811e-25
32,normal_sextupole,76,1.5527243849799069e-05,2.3487939186034366e-10
32,octupole,2,1.8099441153571144e-09,-1.4771453645441641e-14
32,other_sextupole,6,1.1725774919065242e-09,-4.4255750006718552e-15
32,quadrupole,122,3.0601722692904186e-07,3.8396200914136455e-13
32,rfcavity,4,2.590908976815662e-08,-3.1058575965309608e-14
32,sbend,98,8.8714283157136373e-07,-2.2008248043681553e-12
32,wiggler,3,1.3527800628949687e-08,9.0263804196593031e-14
33,drift,562,9.9221989831545969e-08,-3.9556642280453812e-14
33,kicker,82,4.429815402213129e-08,3.5945868797998073e-14
33,marker,222,1.1784591842506026e-20,1.9004393442376855e-26
33,normal_sextupole,76,4.8896956258652879e-06,2.3462852179884933e-11
33,octupole,2,1.1052070003257277e-10,9.7468662216667186e-18
33,other_sextupole,6,3.3043291080851161e-10,-1.2691276129051047e-15
33,quadrupole,122,3.7928455417218251e-08,4.780652767150664e-15
33,rfcavity,4,2.9509597731591747e-09,-2.5942675265040713e-15
33,sbend,98,1.3141521439182413e-07,-3.5931477278390321e-13
33,wiggler,3,1.9175694240248829e-09,3.4948137873663155e-15
34,drift,562,2.0759919372165059e-07,1.6119495060397614e-12
34,kicker,82,8.4566025848701671e-08,5.840810710071718e-13
34,marker,222,3.4825609532337786e-20,2.4003998723644383e-26
34,normal_sextupole,76,1.3735673157258594e-05,1.9373931708917207e-10
34,octupole,2,1.7203838678416538e-09,7.0932523372965463e-15
34,other_sextupole,6,5.8563583295841765e-10,5.334261431826664e-15
34,quadrupole,122,7.6594125035491006e-08,5.7987454854737344e-13
34,rfcavity,4,1.2864344096314055e-09,-6.562703193898901e-16
34,sbend,98,2.9868936606676146e-07,2.7000567026879515e-12
34,wiggler,3,3.0840754563064785e-09,1.0217134113781215e-14
35,drift,562,3.3214642227611682e-07,-1.6511531667476947e-13
35,kicker,82,1.6383082084403465e-07,7.4656710970161961e-14
35,marker,222,1.5116375804546151e-21,-1.3652901534911607e-28
35,normal_sextupole,76,3.259016861777609e-06,9.1507289343976978e-12
35,octupole,2,1.8318671314088834e-09,-3.3964217630435632e-15
35,other_sextupole,6,3.7815692895180587e-10,-1.004481768319554e-16
35,quadrupole,122,1.301262089239042e-07,1.0206090114474164e-14
35,rfcavity,4,1.2650925603051096e-09,1.4628233283868859e-15
35,sbend,98,4.3966006191945545e-07,-4.3179382274878425e-13
35,wiggler,3,8.8606498035641723e-09,7.1221370844032503e-15
36,drift,562,1.7621924245515351e-08,2.3227477055374104e-13
36,kicker,82,8.4792423604369792e-09,7.9142044947390584e-14
36,marker,222,3.5634949197321709e-20,-2.325764801880641e-25
36,normal_sextupole,76,2.0408143696008792e-05,4.171286098672327e-10
36,octupole,2,3.6643824995351413e-11,4.6922415869794346e-16
36,other_sextupole,6,2.7923044401965648e-11,5.1602081662363046e-16
36,quadrupole,122,7.1777285206132136e-09,8.1410377239404535e-14
36,rfcavity,4,4.0885291560465486e-10,5.0197290361683758e-15
36,sbend,98,2.1084688436624295e-08,2.3388760193152484e-13
36,wiggler,3,3.2216020396738391e-09,5.730324188340353e-15
37,drift,562,8.0442177347206077e-10,-5.7323741545555277e-16
37,kicker,82,4.3045181477594889e-10,-1.8470216755467479e-15
37,marker,222,2.0163115365390563e-20,2.8457341135946575e-26
37,normal_sextupole,76,9.6559423584656325e-06,9.2925692657804361e-11
37,octupole,2,5.6545124996848128e-12,5.177211614065606e-17
37,other_sextupole,6,1.5079976961400912e-12,2.1231187044341765e-18
37,quadrupole,122,3.4179001525652425e-10,-1.0347111890582294e-15
37,rfcavity,4,2.4302764689800038e-11,-1.7608468337561863e-16
37,sbend,98,3.2185578880047167e-08,-2.8327881453036788e-13
37,wiggler,3,5.1235183249825887e-09,-2.3437762581935298e-14
38,drift,562,8.717362574015975e-09,-4.4509352183185488e-14
38,kicker,82,3.6199782810435929e-09,2.3023287803450485e-15
38,marker,222,2.2989456267513435e-20,-7.5100703194953849e-27
38,normal_sextupole,76,1.111929382378063e-05,1.232829829826585e-10
38,octupole,2,6.8906702198075306e-11,-6.255228375418568e-16
38,other_sextupole,6,1.7702135270077267e-11,-7.8861037963615969e-17
38,quadrupole,122,3.0875405834349899e-09,-7.6124766940710437e-15
38,rfcavity,4,6.3716330638362733e-11,-3.9258057177261005e-16
38,sbend,98,3.2027453443558737e-08,-3.0587913415314546e-13
38,wiggler,3,7.993150021258839e-10,2.9534039259185089e-15
39,drift,562,3.2544958202222584e-07,3.3206079169572154e-12
39,kicker,82,1.4957278714349075e-07,1.2197391785907314e-12
39,marker,222,3.0245225348401455e-20,-1.2787228378730189e-25
39,normal_sextupole,76,1.3332750951691913e-05,1.8634526125054795e-10
39,octupole,2,1.0170415670629867e-09,1.149754304251757e-14
39,other_sextupole,6,4.5755515066484753e-10,3.983510608672765e-15
39,quadrupole,122,1.2982636604284453e-07,1.1802815397991525e-12
39,rfcavity,4,1.3269791539865348e-08,1.3675987327465651e-13
39,sbend,98,3.5060465710141873e-07,3.6828142601765767e-12
39,wiggler,3,4.7585199412165626e-09,-5.219860106356503e-14
40,drift,562,1.9777277405908567e-06,2.9061524944052776e-11
40,kicker,82,5.6172641928536314e-07,8.2664162431798782e-12
40,marker,222,2.2636840453981736e-20,1.9154488683174991e-25
40,normal_sextupole,76,1.1043135190862073e-05,1.7409553204799786e-10
40,octupole,2,9.4208196635680765e-09,8.8195800813923891e-14
40,other_sextupole,6,2.966073163025999e-09,3.6984459945314359e-14
40,quadrupole,122,6.1874554580137622e-07,9.2099226471122336e-12
40,rfcavity,4,4.8712381802740177e-08,7.2851083068898935e-13
40,sbend,98,2.8472282829119656e-06,4.0653209608207294e-11
40,wiggler,3,1.5682521970181253e-08,1.3657523948057814e-13
41,drift,562,4.1518097301190518e-07,-4.4532843241391929e-13
41,kicker,82,1.7173730704812727e-07,-2.7206586071283403e-13
41,marker,222,8.2566022751851098e-21,-6.2215163773979811e-27
41,normal_sextupole,76,4.8996421998825845e-06,2.1010572917887398e-11
41,octupole,2,2.0940403246985767e-09,1.7124498671054438e-16
41,other_sextupole,6,9.597035397605564e-10,-8.9935249808383463e-16
41,quadrupole,122,1.5587858792496326e-07,-2.0683653398327225e-13
41,rfcavity,4,5.1799704019574356e-09,-1.3086363737310626e-17
41,sbend,98,5.7771955012096379e-07,-3.9341579074036902e-13
41,wiggler,3,6.9999438974163048e-09,-5.4010558266183129e-15
42,drift,562,2.3911300185554807e-07,-1.0180689600495647e-13
42,kicker,82,1.3282989578597169e-07,-6.6299629713500748e-14
