element_order,element_index,element_name,element_type,s_m,k2l_m2,eta_total,magnitude_total
147,147,d061,Drift,39.04645,0,6.7013886912796287e-07,6.4633977155668735e-06
148,148,vx6d,Kicker,39.097000000000001,0,2.0507864187800115e-06,1.9779554454830025e-05
149,149,girder_6cd_end,Marker,39.135100000000001,0,-2.4001293536887787e-17,7.9965261266338602e-17
150,150,d062,Drift,39.242550000000001,0,5.7836483122377477e-06,5.5782496749911722e-05
151,151,hs7a,SBend,39.405000000000001,0,2.9604528355158401e-06,2.8553162598848542e-05
152,152,d063,Drift,39.490000000000002,0,1.6147924557019644e-06,1.5574452326634156e-05
153,153,unds7a!s1,Drift,39.891000000000005,0,1.996960003584826e-05,0.00019260406043946639
154,154,ls_7a,Marker,40.262,0,-4.414703448155914e-34,4.1210005038066848e-32
155,155,unds7a!s2,Drift,40.633000000000003,0,1.9969600035829402e-05,0.00019260406043945544
156,156,d064,Drift,41.107000000000006,0,5.5441207646716229e-06,5.3472286321461866e-05
157,157,hs7b,SBend,41.235000000000007,0,1.3456603797835267e-06,1.2978710272209256e-05
158,158,d065!s1,Drift,41.292500000000004,0,1.7493584937069157e-06,1.6872323353848241e-05
159,159,sector_7,Marker,41.325000000000003,0,0,0
160,160,d065!s2,Drift,41.4255,0,5.4095547266882314e-06,5.2174415294251996e-05
161,161,unds7b!s1,Drift,41.897000000000006,0,1.9969600035830963e-05,0.00019260406043946629
162,162,ls_7b1_7b2,Marker,42.268000000000001,0,2.2483145446175841e-34,1.5206840263764273e-32
163,163,unds7b!s2,Drift,42.639000000000003,0,1.996960003581655e-05,0.00019260406043945582
164,164,d066,Drift,43.012,0,1.0765283039002467e-07,1.0382968217854387e-06
165,165,hs7c,SBend,43.069000000000003,0,2.9604528354954867e-06,2.8553162598825438e-05
166,166,d067,Drift,43.155500000000004,0,1.6955320785138659e-06,1.6353174942984514e-05
167,167,det_s7c,Marker,43.187000000000005,0,4.0575860307588899e-20,5.2240868175293752e-19
168,168,det_9w,Marker,43.187000000000005,0,4.0575366669832577e-20,5.2182020073235577e-19
169,169,d068,Drift,43.192250000000008,0,2.8065633215204893e-07,2.7193852025619099e-06
170,170,q09w,Quadrupole,43.268000000000001,0,3.7234334501378536e-06,3.3908947562473203e-05
171,171,d069,Drift,43.803249999999998,0,2.4252289447257653e-05,0.00020915081406290971
172,172,rf_w1,RFCavity,45.167999999999999,0,4.6964272050357563e-05,0.00040501793431459057
173,173,d070,Drift,46.667499999999997,0,3.1282828535876324e-05,0.00026978171814065005
174,174,rf_w2,RFCavity,48.166999999999994,0,4.6962485856646285e-05,0.0004050022369261045
175,175,d071,Drift,49.342999999999989,0,1.4401555113274734e-05,0.00012419827905993071
176,176,det_9aw,Marker,49.618999999999993,0,-5.2958361701253073e-49,1.8411104806752944e-47
177,177,d072,Drift,49.667999999999992,0,2.522550490350387e-06,2.1944115188889997e-05
178,178,q09aw,Quadrupole,50.016999999999996,0,4.2509793243031356e-05,0.00042831542362638492
