training_case,evaluation_case,model,target,target_index,x_rmse_um,y_rmse_um,rmse_2d_um,median_2d_um,p90_2d_um,p95_2d_um,p99_2d_um,max_2d_um
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_ridge,SEX_10AW,3,4.5393731748804,26.410271473912783,26.79754369614116,25.573403880576876,31.97886965199381,32.779552873420926,33.420099450562624,33.58023609484805
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_ridge,SEX_12W,4,21.40608382177581,25.40861252151748,33.223756784167364,30.57294192913306,40.976425550347315,42.2768610029991,43.317209365120526,43.57729645565088
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_09AW,1,18.444194768408085,5.6798734069074355,19.298945115561796,18.305325141727444,23.19543624257463,23.806700130180527,24.295711240265245,24.417964017786424
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_10W,2,17.604589001991233,11.735483924499114,21.157578710032197,21.154080604566282,21.461857819286777,21.50032997112684,21.531107692598887,21.5388021229669
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_10AW,3,1.1411538453810275,28.135798322353264,28.158930720731647,26.915493932131383,33.53578109082718,34.36331698566415,35.02534570153373,35.190852880501126
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_12W,4,15.796397229935389,26.33115603448713,30.705959414394115,26.824168143544114,38.77928278363798,40.27367211364971,41.469183577659095,41.768061443661445
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_target_local_ridge,SEX_09AW,1,6.564479532419685,13.818051522450784,15.29806979356093,14.086722066158554,18.8596591637177,19.456276300912595,19.93357001066851,20.05289343810749
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_target_local_ridge,SEX_10W,2,34.906953101913345,21.09680264783031,40.786890747158914,40.67439411615457,43.096177935330225,43.398900912727186,43.64107929464475,43.70162389012414
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_target_local_ridge,SEX_10AW,3,16.06175646779803,38.28959453463794,41.52195889475625,40.871664516283005,46.7275393852325,47.45952374385118,48.04511123074613,48.19150810246987
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_target_local_ridge,SEX_12W,4,30.79473821527457,32.226502557107146,44.574245577581294,41.167236990051364,54.84049772573188,56.54965531769194,57.916981391259995,58.25881290965201
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_ridge,SEX_09AW,1,8.191757759636142,14.167382624200036,16.36519555682253,14.888139987410135,20.32360358586491,21.003036535671754,21.546582895517233,21.682469485478602
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_ridge,SEX_10W,2,32.226908011029025,21.416533437563576,38.69420504976948,38.54130933709007,41.29044494132232,41.63408689185135,41.909000452274576,41.97772884238038
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_ridge,SEX_10AW,3,13.448093690240892,38.65153576683469,40.9242280444775,40.21680921751337,46.27786905347104,47.035501532965746,47.641607516561514,47.793134012460456
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_ridge,SEX_12W,4,28.2118296672522,32.50424494679096,43.039903261218385,39.20982789975877,53.40893026702322,55.18381806293127,56.60372829965772,56.95870585883933
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_09AW,1,6.6184352743101424,14.052430714882874,15.533013052103456,14.272690085295082,19.175901258781177,19.788802655466938,20.27912377281555,20.401704052152702
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_10W,2,34.14662724561652,19.675524802546974,39.40962355195393,39.32723510172318,41.364803497318476,41.619499546767884,41.823256386327415,41.8741955962173
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_10AW,3,16.4903260174912,38.59720309587922,41.972311575462406,41.322391889907394,47.208503950525255,47.944267958102486,48.53287916416427,48.68003196567972
