training_case,evaluation_case,model,target,target_index,x_rmse_um,y_rmse_um,rmse_2d_um,median_2d_um,p90_2d_um,p95_2d_um,p99_2d_um,max_2d_um
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_22E,63,21.851998732836503,12.985970288879725,25.41938773777911,21.44434664330124,39.25136008235252,43.67949648031158,50.18308271505308,51.1312769703751
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_21E,64,23.274887368527008,20.223344995820074,30.833489339313818,27.085927514541126,44.32840634109151,49.762224017545726,58.26374430773684,59.26102251881912
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_20E,65,18.356749591996543,18.283686493313084,25.90875233138455,21.831380692404814,42.111348335566205,44.29629120264001,52.41267448843064,53.01495339793374
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_19E,66,17.199079071943366,13.979538320795369,22.16384020393457,19.292037842704975,32.395754048113105,37.48704342308549,40.96956733976896,47.60465634924969
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_18E,67,24.0471867676265,22.17222746132036,32.708941622034175,27.796239243995284,46.70471632804161,50.32685415222053,64.80996348400983,71.63889448755941
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_17E,68,13.87726478030053,24.96787972481008,28.565249792976633,18.862555358749194,46.4690311045845,54.30341286576329,60.87777689378754,62.59461895118537
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_16E,69,25.861478952083736,33.73392444294047,42.506396599936416,39.19459871267031,63.46841415752857,66.19247697362275,72.38296739771701,94.4257567056785
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_15E,70,23.445179169376896,32.06540328748008,39.72236793385967,36.006152155277746,53.05641168472385,58.56961632311933,83.6109232298604,85.20811872720512
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_14E,71,40.38534502909124,33.130698938340466,52.23618769839257,51.09838562284385,69.0099099333808,71.06174135467803,77.95085453501956,78.15232660410172
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_13E,72,25.051804781884048,34.364751073004676,42.526803772905446,29.504170020810264,68.52742547163987,73.79489223724659,82.3755826742556,86.3458133360499
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_12E,73,20.936520487896253,27.200564335962483,34.32504319494636,29.11584323578924,50.20405525403858,57.028102055631855,63.44716948034944,77.30842812520861
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_11E,74,23.383382723011735,19.028868420790623,30.14764370471773,25.425548515766195,44.32546519745287,49.42556058284703,55.531167629168515,64.35353161231814
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_10AE,75,17.62192817046516,35.55360206644861,39.68111606727327,37.158456695946256,53.62903479795784,58.87158169886355,72.22834626880429,79.49588454758629
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_09AE,76,15.400445844230791,14.357961115900812,21.055279138657962,18.54057462305883,31.19186995873038,34.808741590459334,38.04149394545502,41.274659862999584
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_09AW,1,45.153973950882424,101.44823923118612,111.04335462631224,61.104130664396905,183.62129845477654,187.30602086652112,191.07135188989298,193.94470174545665
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_10W,2,45.8456211009617,64.53072970091905,79.15829741641758,78.97167879759002,111.73557752257327,115.17391808794044,122.38841393361437,123.037941703997
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_10AW,3,48.52888065932049,44.4255298787095,65.79270448196122,37.51139539746351,107.95260101038599,113.01944771674285,115.86024053413747,120.00332215856254
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_12W,4,48.25548139277968,39.32289972811724,62.248549601388056,62.5769166934671,91.8117654665586,95.55641979929075,100.92199992931833,107.03645218627638
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_13W,5,23.277020643687063,41.44789580162723,47.53680423029278,42.55495782420216,71.2403894250196,74.72027177267003,79.96198709011573,81.39844939781848
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_14W,6,32.65689411364746,34.73035840410255,47.67253431513159,44.02185615509509,65.8862802087624,69.85719011942372,82.06957082361727,83.2864992840914
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_15W,7,25.457980233875052,65.52423212350878,70.29604365086156,35.40920551991257,119.70045944153944,129.36470201199143,136.4177181200006,138.20730016908905
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_16W,8,20.54990985787228,25.082999604308977,32.42615710065626,30.05403662685324,47.074365186542316,51.92053963438882,61.34488239764316,61.64676236701957
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_17W,9,32.83376577285023,84.69789090134141,90.83935764833392,85.62962439660961,133.20229995869872,137.78842361182572,144.62130602552904,146.42155729219184
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_18W,10,69.45426218956058,152.11799039663117,167.22373497385408,152.78470113891427,248.01908998841003,250.57624844082287,257.4285981580181,276.89320463056094
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_19W,11,61.26659585348653,17.23230419673703,63.64391624816416,38.77153199095504,104.44310529861153,108.72839300339469,121.30748434225886,127.57629842708086
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_20W,12,29.065581180238397,34.900689209344876,45.41878594405966,44.27821084653523,56.58986297682653,62.83275743908006,76.48314204466344,77.43611991054024
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_21W,13,62.63134253234268,33.009434520043804,70.79765416125521,35.5010671980268,117.2190565365546,122.84036554826075,134.95965443614773,140.18045006728644
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_22W,14,40.92594338746694,79.9102917623681,89.78077506738813,100.36064108967413,119.10168956900411,121.18397068105303,130.25983946143688,137.49232719827828
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_23W,15,30.271585393622644,19.832955494328406,36.18998488371333,30.388310486066647,53.08461693728954,56.61514634060636,72.92999347243575,74.50256013097416
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_24W,16,80.1301922168275,66.1506293786949,103.90742741451727,56.357566430836215,171.1927758705121,174.5917320839455,181.38054385666277,184.9972748696614
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_25W,17,28.788640279254206,50.63815541789158,58.24953727931957,60.9204417500213,80.32499543150391,85.90776490247019,87.62584709252569,91.55369410233017
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_26W,18,45.47406031696884,41.21813682732286,61.374465091169874,49.726228471426964,89.9552242122084,96.49121705237029,101.56396469492331,110.08106588717065
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_27W,19,17.732508242921362,39.18101162362329,43.00690084667549,39.05747229661885,55.29056157911472,62.94754994245096,79.06618787795132,79.75666147983357
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_28W,20,43.305932618270084,45.71587227998539,62.97098362149098,44.551065481002766,104.40952343264294,107.4318661750578,114.95826401626013,118.41767842285454
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_29W,21,16.841583434358743,84.6769789120397,86.33556445779736,38.660699566093044,147.38066005450912,151.41869020189137,157.45007442081953,161.51192946519015
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_30W,22,31.060447575893512,42.44833162806327,52.59859562403607,50.33318184080674,71.48673491516115,77.8970776909528,93.06554152494817,103.57864433575867
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_31W,23,51.61116936355485,48.275533639489346,70.66993668633792,69.69593048580157,96.49514405833892,98.64517061203506,100.11584726356897,106.39832702961793
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_32W,24,64.75759869926598,44.17200589138007,78.38821782489566,61.158644105521624,124.90105898276913,135.4238662930621,147.36358828546238,151.28490073846743
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_33W,25,22.250377127839318,21.27751640421021,30.78655529062174,27.94747597311133,43.28101406566501,48.179061609000854,55.19363240680495,59.75239863845706
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_34W,26,13.580024541249118,14.537444349121872,19.893575715409828,17.439103666437177,28.178613909160298,33.94984018363589,41.370256899399536,46.27810635691368
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_35W,27,62.611311377093344,47.907841837381014,78.83741257724566,57.857482655464835,125.46930377885292,129.98208096994748,135.5196152078695,136.21051391482615
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_36W,28,36.978525981285564,26.19682905947184,45.31760404654906,42.4588200877198,64.22897848511779,68.18713043932708,74.42510968204095,77.10590279805156
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_37W,29,15.551306154264294,24.937585561172188,29.389220757353236,22.25056957606376,45.59521466700173,50.008278395376976,57.539078334696526,57.73870238141287
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_38W,30,37.86455237378488,46.23693825669254,59.762687237274534,61.31388190425518,84.0106671704814,89.08167074989393,102.82322749467868,112.27024401919948
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_39W,31,50.25559379890227,44.000728457164094,66.79587422020431,63.327011123540075,91.24622845127894,94.2380471541118,104.4880347997729,105.01270232339702
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_40W,32,48.71687562684588,38.49862273014571,62.09249490042788,55.224278340781304,84.80013816021187,94.42310705851312,104.33598443191042,106.27325881514057
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_41W,33,49.44925651139917,83.73482936529976,97.24582571178067,44.14739486448613,166.90157483165495,171.89668933929178,181.39907662394208,184.00388494504202
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_42W,34,87.8489385719996,47.56414759728873,99.89886958761659,97.85256618696737,118.37660906705943,121.52486894013188,125.32096894704964,133.52247606349744
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_43W,35,33.68573122359557,109.98320474971996,115.02623098705419,49.29955970274813,193.96472254021637,197.63505017688817,208.28534649925086,211.38212906285955
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_44W,36,59.11155884275407,93.00306032414666,110.19866432256444,93.22468592284129,150.64576658763724,152.51502182407768,165.6325257101233,170.17534927094607
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_45W,37,44.83794614446754,118.70702185820561,126.89286210381842,93.39624255380866,197.4052204942685,205.3118573051048,210.11587769731747,210.96777636871235
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_47W,38,23.282884426917793,14.14832734248976,27.244593478843733,25.73682504887292,39.650965648039566,41.909283092535006,49.96217829308876,54.01744303496738
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_47E,39,29.90887600887018,50.84399648269345,58.98858230578282,53.53240184792324,80.63607648119613,90.0145836297691,94.40787434588938,101.2286821987467
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_45E,40,109.18222912884653,38.59343922901698,115.80247281067778,127.16956214879903,151.5667701679997,154.98498183464278,166.19628076800328,167.5066395567363
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_44E,41,26.292932832233337,41.27551665614367,48.93860022673235,52.15732993174228,67.98000578910347,72.93812208583213,76.8428137082474,80.55813730270833
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_43E,42,57.38153416414003,21.5601415474068,61.29828844735052,55.72829328689453,85.86798393032106,89.95494756919454,94.01790536528965,94.11302712414982
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_42E,43,98.98342512477535,48.226881959009035,110.10699611250958,100.73896265773152,145.7901917751007,151.60269816951518,156.71089935183798,160.44298831539012
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_41E,44,34.46481977516659,35.463716164265186,49.451986474905915,40.10479654319545,77.30569861403315,81.61756203629285,84.02457778028383,91.2662098819678
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_40E,45,121.0448877493163,87.54664064195158,149.38634187212563,148.4992509607153,212.82966647368875,218.03200774557968,231.10693362053993,244.3711116509216
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_39E,46,20.567095540980375,53.484059936685824,57.30226946904299,55.88425944081285,81.61297045287469,86.01545040656457,97.24092049089252,100.62039155019838
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_38E,47,73.12828099659554,49.95544768568106,88.56236353549885,91.29290923599686,118.0195479574553,124.30213374616596,130.8063837903283,136.37037697919857
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_37E,48,49.84708036556515,37.79764783712009,62.55712271987945,55.157699607699975,86.66287095315437,90.89629053836062,93.94251335913475,102.70601300317612
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_36E,49,170.96818977536284,52.881224065596214,178.9596205118358,198.92840884879632,233.9226728113734,238.6325493577308,250.9376363608527,251.69760196034449
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_35E,50,54.77414116911702,10.937172918990477,55.855423123222856,54.81449611770681,78.92075163565436,86.40364306713391,98.97267210224801,101.90003722501889
