lord_id,lord_name,lord_key,variable,step,observation_index,dx,dpx,dy,dpy,dz,dpz
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,232,8.0124383690372e-11,5.365180887994918e-10,-8.534994542716556e-10,-6.310782029329137e-09,7.052735132018206e-14,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,238,1.920273185254673e-09,-1.7301207341779978e-08,-6.269596408876865e-08,-1.025266493746976e-07,-2.4245319293902945e-10,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,254,-1.0349972810221042e-07,1.4695768473654836e-08,-8.550227985207933e-07,-2.402578701987028e-07,-3.927125009732524e-10,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,273,3.9856516633081374e-08,-1.8150016672978733e-08,-3.0228975465363198e-06,6.76727619661156e-08,5.288059405509152e-09,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,279,-1.0437556721698549e-07,-5.2329647207268945e-08,-2.7808123905783896e-06,-3.737385105713996e-07,7.403829204452941e-09,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,287,-6.42265609240248e-07,-4.865377412546367e-07,-5.183618110270183e-06,5.303198515906309e-07,2.933641562096953e-08,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,295,-4.0934335190261e-06,3.5968316208610665e-07,-9.800049409540391e-07,2.9489215388166234e-07,2.1512812375685392e-07,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,303,-1.955054708348194e-06,-8.862634316209907e-08,8.782130670468083e-07,7.160931664297826e-08,2.1430972523949626e-07,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,309,-2.381451438609669e-06,4.06342902725741e-07,1.616531469447735e-06,2.585988708326409e-07,3.8603887220125394e-07,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,317,9.6311594702074e-07,1.6159271520161354e-07,3.39916942943691e-06,-4.420128178674477e-07,4.4822443274875924e-07,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,325,2.020901715584075e-06,-2.5562968129539017e-07,-2.2367093062674454e-07,-4.307523140601095e-07,3.29282601863436e-07,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,333,-9.185200766214513e-08,-4.131971638487216e-07,-3.3981431720158523e-06,2.4545569607880777e-07,2.511708024725834e-07,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,345,-3.807407215894454e-06,3.1765561126048843e-07,-1.0228948551355664e-06,5.675464324851262e-08,4.375296515607245e-07,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,353,-1.400970738805454e-06,-1.9523082057785503e-07,-4.826733982117581e-07,2.0055411425004034e-07,6.305923610431911e-07,0.0
