sample_index,beamline_index,s_m,element_name,orbit_x_m,orbit_px,orbit_y_m,orbit_py,orbit_z_m,orbit_pz,tune_1,tune_2,chromaticity_1,chromaticity_2,phi_1_turn,phi_2_turn,accumulated_chromaticity_1,accumulated_chromaticity_2,beta_1_m,beta_2_m,dbeta_1_ddelta_m,dbeta_2_ddelta_m,alpha_1,alpha_2,dalpha_1_ddelta,dalpha_2_ddelta
569,332,301.0619147791945,"""q39w""",-0.008967809807103528,0.000877297001425174,7.4400352898291685e-6,2.341158596678767e-6,0.0015146597694598424,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,3.9408499947240543,3.7431373828135066,-0.8005214718327035,3.2678772334928428,10.340778958592074,23.695034517540943,-139.90563254743208,682.408673806932,0.6641894570482777,-1.3179992483425231,-8.366100938265339,-85.70402693457375
570,333,301.66191477919455,"""d166""",-0.008772146394464546,-0.0002210276722122836,8.550923954887995e-6,1.3387057695356393e-6,0.0015145977817390506,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,3.9502024912490774,3.7471333339262762,-0.6834000701925252,3.1440925204364234,10.347370097553132,23.51186717807959,-139.81940035991713,732.8040692520703,-0.6754472709262903,1.6156328373696394,8.207863188576082,4.120527994662453
571,334,301.72531477919455,"""sex_39w""",-0.008786159549225112,-0.0002210276722122836,8.635797902749814e-6,1.3387057695356393e-6,0.0015145962330347326,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,3.9511736280178176,3.7475643737405036,-0.6712504671320175,3.130171285204102,10.433582507490044,23.307622136570135,-140.94360366007703,732.4682573066542,-0.6843698208589902,1.605897707107513,8.164157488302616,4.397779377633263
572,335,301.99731477919454,"""d167""",-0.008843868324171927,-0.00020326278930014505,9.004721246988325e-6,1.3742525300866202e-6,0.0015145901073377217,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,3.955250585871476,3.7494563924835935,-0.6205417339411181,3.067862142764245,10.80459524730971,22.47027392108795,-143.7597616936509,727.5804072246074,-0.6791008038058329,1.473616104679261,0.7243322663130378,16.513923365839176
573,336,302.04601477919454,"""det_39w""",-0.008853767222215344,-0.00020326278930014505,9.071647346586158e-6,1.3742525300866202e-6,0.001514589101252911,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,3.9559657576619047,3.7498024348803867,-0.6117659184600592,3.056286803315242,10.871060409289464,22.327078459362536,-143.89304906231433,726.1091119578941,-0.6856868319351223,1.4667423915602817,0.647722955663935,16.63788218866452
574,337,302.04601477919454,"""d168""",-0.008853767222215344,-0.00020326278930014505,9.071647346586158e-6,1.3742525300866202e-6,0.001514589101252911,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,3.9559657576619047,3.7498024348803867,-0.6117659184600592,3.056286803315242,10.871060409289464,22.327078459362536,-143.89304906231433,726.1091119578941,-0.6856868319351223,1.4667423915602817,0.647722955663935,16.63788218866452
575,338,302.53495477919455,"""b40w""",-0.008953150532468899,-0.00020326278930014505,9.743574392527934e-6,1.3742525300866202e-6,0.0015145790003266819,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,3.9629054041548732,3.7534028142822327,-0.5292992909652208,2.932988971661779,11.573909895919126,20.926522594734834,-144.8532611056688,710.6313384539927,-0.7518094724594478,1.397731440997784,-0.12142193856593764,17.8824084069808
576,339,309.1092167791945,"""d169""",-0.010275546374468425,-0.0001991698344509513,1.876365307906495e-5,1.3681865795234945e-6,0.002233932302459607,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.023210333474949,3.8348190287105535,-0.09017630677737293,-0.6213613691449016,27.235036396693012,8.616669318802824,-89.90740339363937,376.0456480935021,-1.6296154722676397,0.4722852920028078,-10.515994479594113,34.780921615560686
577,340,309.26635677919455,"""q40w""",-0.010306843922874842,-0.0001991698344509513,1.897864992243579e-5,1.3681865795234945e-6,0.002233929185548731,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.024120057857202,3.8377463826882665,-0.08815718770293338,-0.7512764676558138,27.750506414977252,8.471744425562566,-87.07925117347314,365.1973107395121,-1.6507077274997595,0.4499807787955559,-10.76228293452155,35.17750007252065
578,341,309.8663567791946,"""d170""",-0.010004024087302136,0.0012016454332531069,2.059618508757536e-5,4.060476795029394e-6,0.0022338035740968485,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.027532875066473,3.8490515868460395,-0.08200293080490298,-1.235651015898013,27.452457917875428,8.669824841464479,-67.00475868994154,350.3595095961226,2.1337681654063396,-0.7891105257087674,-21.27622569236438,-10.104187393259902
