girder,member_id,member_index,member_name,member_key
GIRDER_2AB,0>>1064,1064,VX2A,Kicker
GIRDER_2AB,0>>1066,1066,DET_S2C,Marker
GIRDER_2AB,0>>1068,1068,QX2A,Quadrupole
GIRDER_2AB,0>>1070,1070,DET_X2A,Marker
GIRDER_2AB,0>>1072,1072,HX2A,Kicker
GIRDER_2AB,0>>1074,1074,DQX2B,SBend
GIRDER_2AB,0>>1076,1076,HX2B,Kicker
GIRDER_2AB,0>>1078,1078,DET_X2B,Marker
GIRDER_2AB,0>>1080,1080,VX2B,Kicker
GIRDER_2AB,0>>1082,1082,QX2B,Quadrupole
GIRDER_2AB,0>>1083,1083,GIRDER_2AB_END,Marker
GIRDER_2CD,0>>1085,1085,GIRDER_2CD_START,Marker
GIRDER_2CD,0>>1086,1086,QX2C,Quadrupole
GIRDER_2CD,0>>1088,1088,VX2C#1,Kicker
GIRDER_2CD,0>>1089,1089,DET_X2C,Marker
GIRDER_2CD,0>>1090,1090,VX2C#2,Kicker
GIRDER_2CD,0>>1092,1092,HX2C,Kicker
GIRDER_2CD,0>>1094,1094,DQX2D,SBend
GIRDER_2CD,0>>1096,1096,HX2D,Kicker
GIRDER_2CD,0>>1098,1098,QX2D,Quadrupole
GIRDER_2CD,0>>1100,1100,DET_X2D,Marker
GIRDER_2CD,0>>1102,1102,DET_S3A,Marker
GIRDER_2CD,0>>1104,1104,VX2D,Kicker
GIRDER_2CD,0>>1105,1105,GIRDER_2CD_END,Marker
GIRDER_3AB,0>>1125,1125,GIRDER_3AB_START,Marker
GIRDER_3AB,0>>1126,1126,VX3A,Kicker
GIRDER_3AB,0>>1128,1128,DET_S3C,Marker
GIRDER_3AB,0>>1130,1130,QX3A,Quadrupole
GIRDER_3AB,0>>1132,1132,DET_X3A,Marker
GIRDER_3AB,0>>1134,1134,HX3A,Kicker
GIRDER_3AB,0>>1136,1136,DQX3B,SBend
GIRDER_3AB,0>>1138,1138,HX3B,Kicker
GIRDER_3AB,0>>1140,1140,DET_X3B,Marker
GIRDER_3AB,0>>1142,1142,VX3B,Kicker
GIRDER_3AB,0>>1144,1144,QX3B,Quadrupole
GIRDER_3AB,0>>1145,1145,GIRDER_3AB_END,Marker
GIRDER_3CD,0>>1147,1147,GIRDER_3CD_START,Marker
GIRDER_3CD,0>>1148,1148,QX3C,Quadrupole
GIRDER_3CD,0>>1150,1150,VX3C#1,Kicker
GIRDER_3CD,0>>1151,1151,DET_X3C,Marker
GIRDER_3CD,0>>1152,1152,VX3C#2,Kicker
GIRDER_3CD,0>>1154,1154,HX3C,Kicker
GIRDER_3CD,0>>1156,1156,DQX3D,SBend
GIRDER_3CD,0>>1158,1158,HX3D,Kicker
GIRDER_3CD,0>>1160,1160,QX3D,Quadrupole
GIRDER_3CD,0>>1162,1162,DET_X3D,Marker
GIRDER_3CD,0>>1164,1164,DET_S4A,Marker
GIRDER_3CD,0>>1166,1166,VX3D,Kicker
GIRDER_3CD,0>>1167,1167,GIRDER_3CD_END,Marker
