sextupole,sextupole_s_m,quadrupole,quadrupole_inventory_index,quadrupole_ring_index,quadrupole_s_m,quadrupole_k1_m2,delta_k1_m2,optics_leverage,delta_log_beta_x,delta_log_beta_y,delta_phi_x_rad,delta_phi_y_rad,max_abs_tune_shift,max_detector_beta_beating,allowed,closed_orbit_seconds,twiss_seconds,selected,selected_rank
SEX_27E,567.0402060000004,Q13E,95,944,683.5109340000012,-0.26698034744,0.00026698034744,0.0048017406009280734,-0.0010594291802498946,-0.0019916055186894373,-0.0005866051611169045,0.004198061987812105,0.0005956869686722377,0.004953193179860316,1,0.053723099999999996,2.3277224,0,
SEX_26E,575.4706000000004,Q13E,95,944,683.5109340000012,-0.26698034744,0.00026698034744,0.005393269552243156,0.00025091433038265453,0.004539686719020859,-1.4520459857758262e-5,0.002900936419736369,0.0005956869686722377,0.004953193179860316,1,0.053723099999999996,2.3277224,0,
SEX_25E,583.6744190000005,Q13E,95,944,683.5109340000012,-0.26698034744,0.00026698034744,0.002954071171064971,0.0008044584352930362,0.0027003006902919322,-0.0008801900571821405,-0.00011412604807696682,0.0005956869686722377,0.004953193179860316,1,0.053723099999999996,2.3277224,0,
SEX_24E,591.8780370000006,Q13E,95,944,683.5109340000012,-0.26698034744,0.00026698034744,0.003961457232103232,-0.0010118746198882235,-0.0037500200395018534,-0.0006963151928104473,0.00034892407627582525,0.0005956869686722377,0.004953193179860316,1,0.053723099999999996,2.3277224,0,
SEX_23E,602.0839950000009,Q13E,95,944,683.5109340000012,-0.26698034744,0.00026698034744,0.004974228167595395,-0.00012781557373154993,0.0031714131634811827,-3.630567075905751e-6,0.0038299783821703344,0.0005956869686722377,0.004953193179860316,1,0.053723099999999996,2.3277224,0,
SEX_22E,610.288114000001,Q13E,95,944,683.5109340000012,-0.26698034744,0.00026698034744,0.005527021260808922,0.0009064104392478568,0.004870807422491858,-0.0008110757076893871,0.0023116607412098206,0.0005956869686722377,0.004953193179860316,1,0.053723099999999996,2.3277224,0,
SEX_21E,618.489572000001,Q13E,95,944,683.5109340000012,-0.26698034744,0.00026698034744,0.0034074343037737076,-0.0005694125523694395,0.0032118804156876578,-0.0009818530408378504,7.85282194976898e-5,0.0005956869686722377,0.004953193179860316,1,0.053723099999999996,2.3277224,0,
SEX_20E,626.693891000001,Q13E,95,944,683.5109340000012,-0.26698034744,0.00026698034744,0.0012665208202863002,-0.0002032914049591381,-0.0011673974743308718,-9.287740577032292e-6,-0.000447039671270121,0.0005956869686722377,0.004953193179860316,1,0.053723099999999996,2.3277224,0,
SEX_19E,634.902548000001,Q13E,95,944,683.5109340000012,-0.26698034744,0.00026698034744,0.005382523483927942,0.0008720063620446331,-0.00492516477782668,-0.0002265553212744403,0.001975497040556421,0.0005956869686722377,0.004953193179860316,1,0.053723099999999996,2.3277224,0,
SEX_18E,641.5627330000011,Q13E,95,944,683.5109340000012,-0.26698034744,0.00026698034744,0.004851990701165948,0.0009903277689742819,0.002190782621492584,-0.0007267894661371451,0.004151302596954047,0.0005956869686722377,0.004953193179860316,1,0.053723099999999996,2.3277224,0,
