sextupole,best_information_quadrupole,best_information_gain_logdet,best_precision_quadrupole,best_precision_improvement,baseline_sigma_x_um,baseline_sigma_y_um
SEX_40E,Q00W,3.254240196055001,Q01W,1.691535443417423,436.98695622627946,233.76030638146116
SEX_40W,Q00E,2.773429043982688,Q01E,1.5497835237947115,339.7358673038731,271.9443087822713
SEX_41E,Q00W,1.525797193908069,Q01E,1.7787002515715682,408.9281163629813,62.96889360895389
SEX_41W,Q00E,1.5370737768392218,Q01E,1.770809459056364,396.2852063996779,63.81798093471912
SEX_42E,Q00W,1.7755035245112012,Q01E,1.6004923748694662,386.5796683518394,237.24660947220897
SEX_42W,Q00E,1.7828792709312609,Q01E,1.5931161933583162,392.3742909644887,237.07575464641937
SEX_43E,Q00E,2.188508381713831,Q01W,1.690562392290191,469.1460205615323,217.52093127923985
SEX_43W,Q00W,2.0720528650213836,Q01E,1.704085020866599,482.26495613518733,226.2259815134074
SEX_44E,Q00E,3.2566968984316134,Q01W,1.7570800310818546,391.26751839123204,214.6598424852336
SEX_44W,Q00W,3.0604281595685308,Q01E,1.725529130339788,401.84928415862316,243.63061644622996
SEX_45E,Q00E,3.776613257427158,Q01W,1.8394788935034456,307.96482709902364,367.3445532349304
SEX_45W,Q00W,3.911077701045542,Q01E,1.6664113900657906,326.67053253876895,338.7916981491382
