index,name,bmad_key,scibmad_kind,bmad_length_m,scibmad_length_m,length_error_m,length_relative,length_relative_percent,local_R_max,bmad_local_R_max_scale,local_R_max_relative,local_R_max_relative_percent,local_R_fro,bmad_local_R_fro_scale,local_R_fro_relative,local_R_fro_relative_percent,local_R_row,local_R_col,vec0_max,orbit_out_max,bmad_orbit_out_max_scale,orbit_out_max_relative,orbit_out_max_relative_percent,bmad_affine_residual,cumulative_R_max,bmad_cumulative_R_max_scale,cumulative_R_max_relative,cumulative_R_max_relative_percent
"528","Q40E","Quadrupole","Quadrupole","0.5999999999999659","0.6","3.4083846855992306e-14","5.680641142665707e-14","5.680641142665707e-12","3.681781514108806e-7","1.04138","3.535483218526192e-7","3.5354832185261925e-5","3.90879196514557e-7","2.6013036473293174","1.5026281030892387e-7","1.5026281030892388e-5","1","2","2.2194536948947725e-10","1.1383223703920198e-10","0.010137956940000001","1.1228321220232167e-8","1.1228321220232167e-6","2.52736661677036e-10","0.0033948127146226775","5.463557609978252","0.0006213557094049185","0.062135570940491845"
"529","D264","Drift","Drift","0.1571400000000267","0.15714","2.6700863742235015e-14","1.6991767686286417e-13","1.699176768628642e-11","2.4027200392114783e-8","1.0","2.4027200392114783e-8","2.402720039211478e-6","4.458853928645435e-8","2.459550104337446","1.812873793781307e-8","1.812873793781307e-6","5","4","4.678078144449587e-16","5.416295884019817e-12","0.010104270930000001","5.360402468958557e-10","5.3604024689585566e-8","3.638825785828859e-12","0.0033519396966091436","5.407616137493869","0.0006198553320692216","0.06198553320692216"
"530","B40E","SBend","SBend","6.574261999999976","6.574262","2.398081733190338e-14","3.647682026043907e-15","3.647682026043907e-13","1.642606217067133e-5","6.575015","2.498254706745358e-6","0.0002498254706745358","2.3064714405574887e-5","9.617793186299856","2.398129587401568e-6","0.0002398129587401568","4","4","3.347510788018403e-10","3.617162836531913e-10","0.008680087900000001","4.1671960908735874e-8","4.167196090873587e-6","3.727109575829557e-10","0.005505411187224141","12.482405070699073","0.0004410537196992127","0.04410537196992127"
"531","D265","Drift","Drift","0.48874000000000706","0.48874","7.049916206369744e-15","1.442467611893776e-14","1.4424676118937762e-12","4.913265027718491e-8","1.0","4.913265027718491e-8","4.913265027718491e-6","8.545979748827297e-8","2.5451406693885508","3.3577632276334645e-8","3.3577632276334646e-6","3","6","1.5755902444098568e-14","6.916011166535618e-12","0.0085730805","8.067124957634095e-10","8.067124957634095e-8","9.830662325849282e-12","0.005745998391555318","13.637164861553895","0.0004213484584141477","0.042134845841414775"
"532","DET_39E","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.449489742783178","0.0","0.0","1","1","0.0","0.0","0.0085730805","0.0","0.0","0.0","0.005745998391555318","13.637164861553895","0.0004213484584141477","0.042134845841414775"
"533","D266","Drift","Drift","0.047000000000025466","0.047","2.5465740627339528e-14","5.418242686665049e-13","5.418242686665049e-11","4.7025483003289463e-8","1.0","4.7025483003289463e-8","4.702548300328947e-6","8.573911951772313e-8","2.450391412695637","3.498996897944679e-8","3.498996897944679e-6","3","6","5.366323145921413e-16","5.892138090708211e-12","0.008562790059999999","6.88109605563331e-10","6.88109605563331e-8","5.490762999029982e-12","0.005769052932969032","13.748213169636331","0.00041962201646031323","0.04196220164603132"
"534","SEX_39E","Sextupole","Sextupole","0.27199999999999136","0.272","8.659739592076221e-15","3.183727791204594e-14","3.183727791204594e-12","4.8134930952126176e-5","1.0005325","4.8109312743090475e-5","0.004810931274309048","6.810607195073897e-5","2.4795164605291795","2.746748127504011e-5","0.002746748127504011","3","4","1.0150160687123681e-8","1.0345860966542997e-8","0.00850551685","1.2163706390803278e-6","0.00012163706390803277","2.717566679772288e-10","0.005803073735803466","14.383554396925238","0.00040345199633297764","0.04034519963329777"
"535","D267","Drift","Drift","0.06529999999997926","0.0653","2.0733414984874798e-14","3.175101835357026e-13","3.175101835357026e-11","2.3170753913361232e-8","1.0","2.3170753913361232e-8","2.3170753913361234e-6","3.6208285649499197e-8","2.451229958806191","1.4771476466097664e-8","1.4771476466097664e-6","5","4","1.3402685412629374e-15","3.834574368102861e-12","0.008492307130000001","4.515350551273409e-10","4.515350551273409e-8","5.817978043776151e-12","0.00583343491407895","14.534256335934444","0.0004013576463252809","0.04013576463252809"
"536","Q39E","Quadrupole","Quadrupole","0.6000000000000227","0.6","2.275957200481571e-14","3.7932620008024745e-14","3.793262000802474e-12","2.118411093210426e-7","1.0376124","2.041620833762613e-7","2.041620833762613e-5","2.424831531191992e-7","2.5997496112924607","9.327173358000778e-8","9.327173358000778e-6","1","2","7.224419007877448e-11","3.3731076959364614e-11","0.00868882914","3.882119951476525e-9","3.8821199514765244e-7","4.1524409778725957e-10","0.0058918318609872955","15.361873595164461","0.0003835360201663096","0.03835360201663096"
"537","D268","Drift","Drift","0.15713999999996986","0.15714","3.0142555118573e-14","1.9181974747727366e-13","1.9181974747727366e-11","3.5586532831644035e-8","1.0","3.5586532831644035e-8","3.5586532831644035e-6","6.827076443953978e-8","2.459550130496693","2.7757419372360123e-8","2.7757419372360125e-6","3","4","3.414487566586876e-14","4.177377194158893e-12","0.0088241962","4.734003074590401e-10","4.734003074590401e-8","2.3192723999990172e-11","0.005849395974218297","15.430021311592384","0.0003790918921041099","0.03790918921041099"
"538","B39E","SBend","SBend","6.574262000000033","6.574262","3.2862601528904634e-14","4.998675369023088e-15","4.998675369023089e-13","6.448968292760426e-5","6.5751859","9.808039484876658e-6","0.000980803948487666","9.094336915870533e-5","9.618033010927842","9.45550603282158e-6","0.000945550603282158","3","3","6.987790241844182e-10","6.934074125484151e-10","0.01446869341","4.7924673838839405e-8","4.79246738388394e-6","4.078547298882237e-10","0.005061529160983014","18.2589092967741","0.0002772087356760823","0.02772087356760823"
"539","D269","Drift","Drift","0.3636399999999753","0.36364","2.4702462297909733e-14","6.793109200833629e-14","6.793109200833629e-12","3.5006420852411266e-8","1.0","3.5006420852411266e-8","3.5006420852411266e-6","7.73610273947548e-8","2.502892872122101","3.090864505485748e-8","3.0908645054857478e-6","5","2","3.2569701479741257e-13","9.609084361539288e-12","0.01477992579","6.501442901723317e-10","6.501442901723317e-8","2.915953399964047e-11","0.004952633402169226","18.414013994076132","0.00026896001077019436","0.026896001077019435"
"540","BUMP_38E","Kicker","Kicker","0.228999999999985","0.229","1.5015766408055242e-14","6.557103234959051e-14","6.557103234959051e-12","4.1535108435963863e-8","1.0","4.1535108435963863e-8","4.153510843596386e-6","5.4120875095005e-8","2.4708063091306856","2.1904135057048068e-8","2.190413505704807e-6","3","4","2.833743785778388e-14","5.665028857257046e-12","0.014975922430000002","3.7827578793468983e-10","3.782757879346898e-8","1.0543940720530998e-11","0.004884068185539547","18.5116901892383","0.0002638369665660719","0.02638369665660719"
"541","D270","Drift","Drift","0.1290000000000191","0.129","1.9095836023552692e-14","1.4802973661666562e-13","1.480297366166656e-11","4.369003347113635e-8","1.0","4.369003347113635e-8","4.369003347113635e-6","8.018412831800482e-8","2.456274122767799","3.2644617135668505e-8","3.2644617135668507e-6","5","4","5.0459723475378916e-15","6.12796272059235e-12","0.01508633101","4.061930443214072e-10","4.0619304432140724e-8","2.121988522396645e-11","0.004845450074896007","18.566713018104295","0.000260975115529132","0.026097511552913198"
"542","DET_38E","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.449489742783178","0.0","0.0","1","1","0.0","0.0","0.01508633101","0.0","0.0","0.0","0.004845450074896007","18.566713018104295","0.000260975115529132","0.026097511552913198"
"543","D271","Drift","Drift","0.04270000000002483","0.0427","2.4827362388180063e-14","5.814370582708578e-13","5.8143705827085776e-11","4.6405164916942584e-8","1.0","4.6405164916942584e-8","4.640516491694258e-6","9.062682831990983e-8","2.450233997487744","3.6987009572486e-8","3.6987009572486e-6","5","2","4.755456105844951e-14","6.891166421337295e-12","0.01512287711","4.5567826619317774e-10","4.5567826619317773e-8","4.034608302831699e-11","0.0048326804065901285","18.58492598776681","0.00026003226538384673","0.026003226538384674"
"544","SEX_38E","Sextupole","Sextupole","0.27199999999999136","0.272","8.659739592076221e-15","3.183727791204594e-14","3.183727791204594e-12","3.860924416737577e-5","1.0004288","3.8592695619494135e-5","0.0038592695619494135","5.4737938116829324e-5","2.479514249801509","2.2076073215232068e-5","0.002207607321523207","1","2","3.244786450849959e-8","3.2680096972298456e-8","0.015352483010000001","2.1286522154762803e-6","0.00021286522154762802","6.778448705113682e-10","0.004809437074616341","18.708793508141433","0.00025706826431770905","0.025706826431770906"
"545","D272","Drift","Drift","0.06169999999997344","0.0617","2.6555146970252963e-14","4.3039136094431755e-13","4.303913609443175e-11","4.329095738894029e-8","1.0","4.329095738894029e-8","4.329095738894029e-6","9.155416408629013e-8","2.4510434326351627","3.73531382052494e-8","3.73531382052494e-6","5","6","2.3455470772424278e-14","5.3696457545139575e-12","0.01540381981","3.4859183116567224e-10","3.485918311656722e-8","3.390910498896581e-11","0.004791647159134271","18.738710910041814","0.0002557084733382857","0.025570847333828573"
"546","Q38E","Quadrupole","Quadrupole","0.6000000000000227","0.6","2.275957200481571e-14","3.7932620008024745e-14","3.793262000802474e-12","4.909815077835944e-7","1.0428488","4.708079520095285e-7","4.7080795200952845e-5","5.163829516027994e-7","2.601948561954373","1.9846009223754e-7","1.9846009223754e-5","1","2","2.012294104814123e-10","9.896045094492933e-11","0.015245253030000001","6.491230466965186e-9","6.491230466965186e-7","6.527199978428877e-10","0.004821115332251935","19.836716632978245","0.0002430399859741356","0.02430399859741356"
"547","D273","Drift","Drift","0.15713999999996986","0.15714","3.0142555118573e-14","1.9181974747727366e-13","1.9181974747727366e-11","4.9239871097173094e-8","1.0","4.9239871097173094e-8","4.923987109717309e-6","9.020297900308914e-8","2.4595501606907857","3.667458401326316e-8","3.6674584013263163e-6","3","4","1.7639525236377e-14","4.595390655663992e-12","0.01503203881","3.057064124000883e-10","3.057064124000883e-8","5.4529008045034466e-11","0.004881940705395493","20.33973008969362","0.00024001993555800575","0.024001993555800575"
"548","B38E","SBend","SBend","6.574262000000033","6.574262","3.2862601528904634e-14","4.998675369023088e-15","4.998675369023089e-13","0.00010200614383282236","6.5751086","1.5513986161813718e-5","0.0015513986161813718","0.00014400243632105292","9.617937261517575","1.497227860876391e-5","0.0014972278608763909","4","4","1.2479007765789836e-9","1.2545242497350524e-9","0.00609590681","2.0579780643579957e-7","2.0579780643579958e-5","6.493930141890369e-10","0.005361983633072498","41.3604225167778","0.00012964044627197452","0.012964044627197451"
"549","D274","Drift","Drift","0.4884399999999687","0.48844","3.1308289294429414e-14","6.409853675872456e-14","6.4098536758724565e-12","4.578131329602015e-8","1.0","4.578131329602015e-8","4.578131329602015e-6","8.739197866001112e-8","2.5450259797268555","3.433834442404806e-8","3.433834442404806e-6","5","2","3.118092539707376e-14","2.851209394451326e-12","0.00543065893","5.250208917928355e-10","5.250208917928356e-8","6.498535899939623e-11","0.005710004971902549","42.917372035380204","0.0001330464728174721","0.01330464728174721"
"550","DET_37E","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.449489742783178","0.0","0.0","1","1","0.0","0.0","0.00543065893","0.0","0.0","0.0","0.005710004971902549","42.917372035380204","0.0001330464728174721","0.01330464728174721"
"551","D275","Drift","Drift","0.048499999999989996","0.0485","1.0005885009434223e-14","2.0630690741105746e-13","2.0630690741105747e-11","4.3105383864665845e-8","1.0","4.3105383864665845e-8","4.3105383864665845e-6","6.45807121877773e-8","2.450449876255158","2.6354635046227206e-8","2.6354635046227206e-6","5","2","3.401088957890469e-14","5.778225337441101e-12","0.00536460266","1.0771022019068046e-9","1.0771022019068045e-7","5.3026842899289717e-11","0.005744616322743923","43.07197039980357","0.00013337249885299237","0.013337249885299237"
"552","SEX_37E","Sextupole","Sextupole","0.2720000000000482","0.272","4.8183679268731794e-14","1.7714587966442374e-13","1.7714587966442373e-11","2.4561117423216317e-6","1.0000276","2.4560439555084597e-6","0.00024560439555084594","3.6613415968805226e-6","2.4795103000736836","1.4766389947126732e-6","0.00014766389947126732","1","2","3.3430515502400855e-9","3.342612747356255e-9","0.00499421668","6.692967008704666e-7","6.692967008704666e-5","3.174027108851507e-10","0.005960071600391359","43.93780762974352","0.00013564790602698878","0.013564790602698879"
"553","D276","Drift","Drift","0.06409999999999627","0.0641","3.733124920302089e-15","5.823907831984877e-14","5.823907831984877e-12","4.859882427044049e-8","1.0","4.859882427044049e-8","4.859882427044049e-6","8.598489675638285e-8","2.45116662059184","3.507917251892962e-8","3.507917251892962e-6","3","4","2.328247724659598e-14","8.958482827087222e-13","0.00490694596","1.8256738305484054e-10","1.8256738305484056e-8","4.143588250293817e-11","0.006005395724820062","44.1415874135611","0.000136048476656621","0.013604847665662098"
"554","Q37E","Quadrupole","Quadrupole","0.5999999999999659","0.6","3.4083846855992306e-14","5.680641142665707e-14","5.680641142665707e-12","1.056286321521327e-6","1.0400431","1.0156178349929218e-6","0.00010156178349929218","1.1151648950916464e-6","2.6007357512321607","4.2878823600718e-7","4.2878823600718e-5","1","2","7.601944793957232e-10","3.855724229478996e-10","0.004275674760000001","9.017814604492966e-8","9.017814604492966e-6","2.3887937873438847e-10","0.0061901821415304425","44.27956200835839","0.0001397977274563366","0.013979772745633659"
"555","D277","Drift","Drift","0.1571400000000267","0.15714","2.6700863742235015e-14","1.6991767686286417e-13","1.699176768628642e-11","4.8905109878427666e-8","1.0","4.8905109878427666e-8","4.890510987842767e-6","8.22334394913756e-8","2.459550122401654","3.343434181006967e-8","3.343434181006967e-6","3","4","2.8938455816215454e-14","4.29503915072571e-12","0.00415676798","1.0332641060051926e-9","1.0332641060051925e-7","2.6842579374519726e-11","0.00617370176347265","43.85179255757919","0.0001407856190910857","0.01407856190910857"
"556","B37E","SBend","SBend","6.574261999999976","6.574262","2.398081733190338e-14","3.647682026043907e-15","3.647682026043907e-13","5.6748696462660675e-5","6.5744391","8.631716804960697e-6","0.0008631716804960697","8.029037166052358e-5","9.617010361304759","8.348787060018352e-6","0.0008348787060018353","4","4","2.4903040006081072e-9","2.467804313702963e-9","0.00082115911","3.00526936089519e-6","0.00030052693608951896","1.3783442410434527e-10","0.0029855114604941946","25.896017101517653","0.00011528844180131572","0.011528844180131571"
"557","D278","Drift","Drift","0.32164000000000215","0.32164","2.1649348980190553e-15","6.730925562800152e-15","6.730925562800152e-13","4.705739750033451e-8","1.0","4.705739750033451e-8","4.705739750033451e-6","9.081259647327168e-8","2.4913667147723295","3.645091504787583e-8","3.645091504787583e-6","3","6","1.4849980963863233e-14","4.389139659360941e-12","0.0010649620399999999","4.121404796138031e-9","4.1214047961380314e-7","3.92293879672434e-11","0.0030717722941862036","25.015718721056444","0.00012279368537992895","0.012279368537992894"
"558","DET_36E","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.449489742783178","0.0","0.0","1","1","0.0","0.0","0.0010649620399999999","0.0","0.0","0.0","0.0030717722941862036","25.015718721056444","0.00012279368537992895","0.012279368537992894"
"559","D279","Drift","Drift","0.0262000000000171","0.0262","1.709743457922741e-14","6.525738389013837e-13","6.525738389013837e-11","4.456194445500798e-8","1.0","4.456194445500798e-8","4.456194445500798e-6","8.989355662893127e-8","2.4497699691505934","3.6694692873592525e-8","3.6694692873592524e-6","3","6","4.759006088424832e-15","6.815089074671543e-12","0.00108482162","6.282220919114373e-9","6.282220919114373e-7","3.712786393432477e-11","0.0030792098656173827","24.94401182145207","0.0001234448527228982","0.012344485272289821"
"560","SEX_36E","Sextupole","Sextupole","0.27199999999999136","0.272","8.659739592076221e-15","3.183727791204594e-14","3.183727791204594e-12","2.521836736490979e-6","1.0000298","2.5217615879956566e-6","0.0002521761587995657","4.7301029515539266e-6","2.4795101567667976","1.907676376579893e-6","0.0001907676376579893","3","4","1.8040505371331125e-9","1.7983069026950016e-9","0.0012910110400000002","1.3929446356206228e-6","0.00013929446356206228","7.016208501773452e-11","0.003152906750671036","24.19894747960581","0.00013029106961483415","0.013029106961483416"
"561","D280","Drift","Drift","0.06369999999998299","0.0637","1.7014167852380524e-14","2.6709839642676714e-13","2.6709839642676715e-11","4.3837865656981556e-8","1.0","4.3837865656981556e-8","4.383786565698156e-6","6.016448139014648e-8","2.451145754961606","2.4545452374001675e-8","2.4545452374001676e-6","1","2","4.725791551562016e-14","5.755033385609898e-12","0.00133930329","4.2970352037363384e-9","4.2970352037363386e-7","3.620500470605248e-11","0.0031710244547751287","24.02429139146482","0.00013199242396392627","0.013199242396392627"
"562","Q36E","Quadrupole","Quadrupole","0.6000000000000227","0.6","2.275957200481571e-14","3.7932620008024745e-14","3.793262000802474e-12","4.2170240721617347e-7","1.0377058","4.0637954150027253e-7","4.0637954150027255e-5","4.825123970950479e-7","2.599786366520159","1.8559694108285358e-7","1.8559694108285358e-5","1","2","1.7816696681194455e-10","9.963287985435831e-11","0.0017386421599999999","5.730499475197261e-8","5.730499475197261e-6","7.437974118996299e-11","0.003221559544417385","23.264409368904822","0.00013847587932850413","0.013847587932850413"
"563","D281","Drift","Drift","0.32269999999999754","0.3227","2.4424906541753444e-15","7.568920527348506e-15","7.568920527348505e-13","3.118963021186971e-8","1.0","3.118963021186971e-8","3.1189630211869712e-6","6.306415691428225e-8","2.4916408123860228","2.5310292157998214e-8","2.5310292157998212e-6","1","2","1.580582776045854e-14","9.32592913484298e-12","0.00192086643","4.855063834315112e-9","4.855063834315112e-7","2.7132529946752304e-11","0.0031837443349775896","23.326728138038494","0.0001364848218806097","0.01364848218806097"
"564","BUMP_36E","Kicker","Kicker","0.23020000000002483","0.2302","2.4841240175987878e-14","1.0791155593390616e-13","1.0791155593390616e-11","2.4445407328453462e-8","1.0","2.4445407328453462e-8","2.444540732845346e-6","4.083601470115982e-8","2.47102930320289","1.6525912763652434e-8","1.6525912763652433e-6","5","6","4.337937216422191e-14","7.407852760030198e-12","0.00205085721","3.612076318092471e-9","3.612076318092471e-7","1.3374515037134493e-11","0.0031567561604366468","23.371183612750876","0.00013507044455867353","0.013507044455867354"
"565","D282","Drift","Drift","0.11899999999997135","0.119","2.864375403532904e-14","2.4070381542299103e-13","2.4070381542299103e-11","3.905732635931381e-8","1.0","3.905732635931381e-8","3.905732635931381e-6","7.623197693781747e-8","2.4552642345038285","3.104837999370068e-8","3.104837999370068e-6","5","6","4.527092719174953e-15","6.6260135399287545e-12","0.00211805487","3.1283483887878482e-9","3.1283483887878483e-7","2.341801058625137e-11","0.003142799948774755","23.39416449952709","0.0001343411921737272","0.013434119217372718"
"566","PINGER_36E","Kicker","Kicker","0.5112000000000307","0.5112","3.0753177782116836e-14","6.015879847831571e-14","6.0158798478315706e-12","4.147143617662467e-8","1.0","4.147143617662467e-8","4.147143617662467e-6","8.560015868233424e-8","2.5539497705341585","3.351677455443102e-8","3.351677455443102e-6","5","4","1.9615568028449643e-14","6.645227770829543e-12","0.0024067224999999998","2.7611109177853047e-9","2.7611109177853047e-7","2.174133399354683e-11","0.003082873209191872","23.49288578013686","0.00013122582036296406","0.013122582036296406"
"567","D283","Drift","Drift","1.5877999999999588","1.5878","4.1300296516055823e-14","2.60110193450415e-14","2.60110193450415e-12","4.639880657464346e-8","1.5878129","2.9221834999982337e-8","2.9221834999982335e-6","9.412316725208262e-8","3.3229955809191263","2.8324794589720323e-8","2.8324794589720324e-6","1","2","3.053099094977205e-13","4.588135643981972e-12","0.00330333137","1.38894198918408e-9","1.38894198918408e-7","3.02001553105502e-11","0.00292383659967399","23.799516544957854","0.00012285277283472515","0.012285277283472515"
"568","B36E","SBend","SBend","6.574262000000033","6.574262","3.2862601528904634e-14","4.998675369023088e-15","4.998675369023089e-13","4.2242457746644035e-5","6.5739279","6.425756167274672e-6","0.0006425756167274672","5.987938734096524e-5","9.616309064966039","6.226857616205029e-6","0.0006226857616205029","3","3","1.6069645971116737e-9","1.5897364507089294e-9","0.0070093540599999995","2.268021328500175e-7","2.268021328500175e-5","1.6927909594899315e-10","0.002403271308203614","25.03675583133072","9.59897250424189e-5","0.00959897250424189"
"569","D284","Drift","Drift","0.6554009999999835","0.655401","1.6542323066914832e-14","2.5240002787477055e-14","2.5240002787477057e-12","4.9240372588476784e-8","1.0","4.9240372588476784e-8","4.9240372588476784e-6","1.0888942764621915e-7","2.6189911886685375","4.157685910412596e-8","4.157685910412596e-6","3","6","4.085515254107517e-13","2.5980424409044467e-12","0.00737839503","3.521148475164316e-10","3.521148475164316e-8","2.6663503002732902e-11","0.0024568726986125","25.156508367854624","9.7663501734284e-5","0.0097663501734284"
"570","DET_35E","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.449489742783178","0.0","0.0","1","1","0.0","0.0","0.00737839503","0.0","0.0","0.0","0.0024568726986125","25.156508367854624","9.7663501734284e-5","0.0097663501734284"
