observable,control,bmad,scibmad,difference,abs_difference
"DET_08E:y","H44E","-0.004633144818","-0.004614309972416243","1.883484558375722e-5","1.883484558375722e-5"
"DET_07E:y","H44E","-0.003191796348","-0.0032469090580511195","-5.511271005111942e-5","5.511271005111942e-5"
"DET_06E:y","H44E","-8.847245092e-5","-0.00015344666501330414","-6.497421409330414e-5","6.497421409330414e-5"
"DET_05E:y","H44E","0.002430162655","0.0022955149686698243","-0.00013464768633017574","0.00013464768633017574"
"DET_04E:y","H44E","0.002679613486","0.0026151415576761757","-6.447192832382447e-5","6.447192832382447e-5"
"DET_03E:y","H44E","0.005588972507","0.0055214448427860436","-6.752766421395679e-5","6.752766421395679e-5"
"DET_02E:y","H44E","0.007412859661","0.007381870212275775","-3.0989448724225675e-5","3.0989448724225675e-5"
"DET_01E:y","H44E","-0.7172515436","-0.7174048462918841","-0.00015330269188407186","0.00015330269188407186"
"DET_00E:y","H44E","0.001064551464","0.0011108757229641507","4.632425896415062e-5","4.632425896415062e-5"
"DET_00W:x","H42E","1.894005841","1.8937321404478502","-0.0002737005521498137","0.0002737005521498137"
"DET_01W:x","H42E","5.934127349","5.933840124973195","-0.00028722402680436687","0.00028722402680436687"
"DET_02W:x","H42E","6.304323626","6.303890145293734","-0.00043348070626603175","0.00043348070626603175"
"DET_03W:x","H42E","1.253585628","1.252799090794781","-0.000786537205218929","0.000786537205218929"
"DET_04W:x","H42E","-1.578910912","-1.5801074902223016","-0.0011965782223015697","0.0011965782223015697"
"DET_05W:x","H42E","-2.738602765","-2.738727195772363","-0.0001244307723631266","0.0001244307723631266"
"DET_06W:x","H42E","-5.746212851","-5.745559011992298","0.0006538390077022171","0.0006538390077022171"
"DET_07W:x","H42E","-2.415680539","-2.414957293796313","0.0007232452036869397","0.0007232452036869397"
"DET_08W:x","H42E","0.7850060594","0.7865286556384872","0.0015225962384871616","0.0015225962384871616"
"DET_09W:x","H42E","3.553153789","3.554470060017292","0.0013162710172918146","0.0013162710172918146"
"DET_10W:x","H42E","8.171050428","8.173012512390539","0.0019620843905396868","0.0019620843905396868"
"DET_11W:x","H42E","3.786768573","3.7872382069846022","0.00046963398460242445","0.00046963398460242445"
"DET_12W:x","H42E","1.644780633","1.6438774841698307","-0.000903148830169398","0.000903148830169398"
"DET_13W:x","H42E","-3.08243521","-3.0835549202404033","-0.0011197102404034709","0.0011197102404034709"
"DET_14W:x","H42E","-8.982721194","-8.98486145392057","-0.0021402599205693207","0.0021402599205693207"
"DET_15W:x","H42E","-2.211874592","-2.2117769357704735","9.765622952651043e-5","9.765622952651043e-5"
"DET_16W:x","H42E","0.5515971158","0.5532596802408916","0.001662564440891523","0.001662564440891523"
"DET_17W:x","H42E","3.057393732","3.058694770894155","0.0013010388941552264","0.0013010388941552264"
"DET_18W:x","H42E","7.867062243","7.869276623489501","0.0022143804895007335","0.0022143804895007335"
"DET_19W:x","H42E","5.765020446","5.766190666633336","0.0011702206333357168","0.0011702206333357168"
"DET_20W:x","H42E","9.793788575","9.795188688368324","0.0014001133683230194","0.0014001133683230194"
"DET_21W:x","H42E","3.299435531","3.2994986941309152","6.316313091536685e-5","6.316313091536685e-5"
"DET_22W:x","H42E","0.9699968348","0.969015387224786","-0.0009814475752140117","0.0009814475752140117"
"DET_23W:x","H42E","-3.224858972","-3.225896993790874","-0.0010380217908743106","0.0010380217908743106"
"DET_24W:x","H42E","-11.37645477","-11.3785983111901","-0.002143541190099185","0.002143541190099185"
"DET_25W:x","H42E","-5.109780905","-5.110326360149428","-0.0005454551494281645","0.0005454551494281645"
"DET_26W:x","H42E","-5.69515939","-5.69503894567258","0.00012044432742008837","0.00012044432742008837"
"DET_27W:x","H42E","0.6198302481","0.6205919005020731","0.0007616524020731541","0.0007616524020731541"
"DET_28W:x","H42E","6.13354224","6.135653276942911","0.0021110369429111486","0.0021110369429111486"
"DET_29W:x","H42E","5.064614416","5.065698991647702","0.001084575647701591","0.001084575647701591"
"DET_30W:x","H42E","8.411439299","8.412471469646144","0.0010321706461446922","0.0010321706461446922"
"DET_31W:x","H42E","1.617393592","1.6170796992563783","-0.00031389274362170205","0.00031389274362170205"
"DET_32W:x","H42E","-2.969239177","-2.97088096438362","-0.0016417873836198638","0.0016417873836198638"
"DET_33W:x","H42E","-5.594834222","-5.596521377928689","-0.0016871559286890658","0.0016871559286890658"
"DET_34W:x","H42E","-8.324814584","-8.326957762075978","-0.0021431780759773034","0.0021431780759773034"
"DET_35W:x","H42E","-6.040374493","-6.0412730227497295","-0.000898529749729704","0.000898529749729704"
"DET_36W:x","H42E","-6.176011547","-6.175830668857772","0.00018087814222766951","0.00018087814222766951"
"DET_37W:x","H42E","-0.2088528827","-0.20795268715059181","0.0009001955494081781","0.0009001955494081781"
"DET_38W:x","H42E","4.667445645","4.669628139587229","0.0021824945872293","0.0021824945872293"
"DET_39W:x","H42E","5.020912181","5.022050849440609","0.0011386684406087255","0.0011386684406087255"
"DET_40W:x","H42E","8.632696553","8.633724669796377","0.0010281167963768212","0.0010281167963768212"
"DET_41W:x","H42E","3.35675384","3.356514517780668","-0.00023932221933220532","0.00023932221933220532"
"DET_42W:x","H42E","1.41302806","1.4114954188774906","-0.0015326411225093928","0.0015326411225093928"
"DET_43W:x","H42E","-2.624357568","-2.6257103760561735","-0.0013528080561733269","0.0013528080561733269"
"DET_44W:x","H42E","-6.402051926","-6.403083540951589","-0.0010316149515885442","0.0010316149515885442"
"DET_45W:x","H42E","-11.48715054","-11.488412466108667","-0.0012619261086666","0.0012619261086666"
"DET_46W:x","H42E","-1.876933026","-1.876596128603718","0.00033689739628184334","0.00033689739628184334"
"DET_47W:x","H42E","4.024445725","4.025183137599592","0.0007374125995927017","0.0007374125995927017"
"DET_48W:x","H42E","10.26077007","10.261504506112193","0.0007344361121930376","0.0007344361121930376"
"DET_49W:x","H42E","2.606170719","2.6060524260927416","-0.00011829290725851038","0.00011829290725851038"
"DET_49E:x","H42E","-2.337183549","-2.338015111924024","-0.0008315629240236433","0.0008315629240236433"
"DET_48E:x","H42E","-9.860143995","-9.862363477903731","-0.002219482903731418","0.002219482903731418"
"DET_47E:x","H42E","-4.146033348","-4.1464067728398755","-0.00037342483987590214","0.00037342483987590214"
"DET_46E:x","H42E","1.296413933","1.2973104207147792","0.0008964877147792372","0.0008964877147792372"
"DET_45E:x","H42E","10.46212843","10.464014432141905","0.001886002141905152","0.001886002141905152"
"DET_44E:x","H42E","6.033812992","6.034482295616934","0.0006693036169345135","0.0006693036169345135"
"DET_43E:x","H42E","2.763004967","2.762162052531955","-0.0008429144680452971","0.0008429144680452971"
"DET_42E:x","H42E","0.7878517421","0.7856333633143467","-0.00221837878565323","0.00221837878565323"
"DET_41E:x","H42E","2.174694088","2.1735586708510692","-0.0011354171489306175","0.0011354171489306175"
"DET_40E:x","H42E","8.117081836","8.11617083164616","-0.0009110043538402834","0.0009110043538402834"
"DET_39E:x","H42E","5.240975401","5.241273906171748","0.00029850517174789815","0.00029850517174789815"
"DET_38E:x","H42E","6.312732977","6.314608185690664","0.0018752086906648202","0.0018752086906648202"
"DET_37E:x","H42E","0.7284181502","0.7297772575324641","0.0013591073324641378","0.0013591073324641378"
"DET_36E:x","H42E","-5.252117575","-5.250166367682797","0.0019512073172025524","0.0019512073172025524"
"DET_35E:x","H42E","-6.22107814","-6.220655195028459","0.00042294497154138355","0.00042294497154138355"
"DET_33E:x","H42E","-6.88239396","-6.8831616038983325","-0.000767643898332615","0.000767643898332615"
"DET_32E:x","H42E","-4.959402626","-4.9612341584466035","-0.00183153244660339","0.00183153244660339"
"DET_31E:x","H42E","0.4347300487","0.43357500504114305","-0.0011550436588569357","0.0011550436588569357"
"DET_30E:x","H42E","7.132061835","7.13064482239283","-0.0014170126071704203","0.0014170126071704203"
"DET_29E:x","H42E","4.9125964","4.912784597531632","0.00018819753163246133","0.00018819753163246133"
"DET_28E:x","H42E","7.145085151","7.147181774887702","0.0020966238877022647","0.0020966238877022647"
"DET_27E:x","H42E","1.283895409","1.2853852037366387","0.0014897947366385722","0.0014897947366385722"
"DET_26E:x","H42E","-4.559359712","-4.556758014087994","0.002601697912005818","0.002601697912005818"
"DET_25E:x","H42E","-4.698922625","-4.697997813229993","0.000924811770007139","0.000924811770007139"
"DET_24E:x","H42E","-11.19531286","-11.195277162854632","3.569714536766355e-5","3.569714536766355e-5"
"DET_23E:x","H42E","-3.929768839","-3.9304937557277952","-0.0007249167277953994","0.0007249167277953994"
"DET_22E:x","H42E","-1.132274721","-1.13464894453258","-0.0023742235325800998","0.0023742235325800998"
"DET_21E:x","H42E","2.251551628","2.2502983685142914","-0.0012532594857086465","0.0012532594857086465"
"DET_20E:x","H42E","8.829335227","8.82798603744972","-0.001349189550278851","0.001349189550278851"
"DET_19E:x","H42E","5.730664818","5.730538997609238","-0.00012582039076214357","0.00012582039076214357"
"DET_18E:x","H42E","8.8887183","8.889573599770296","0.0008552997702953036","0.0008552997702953036"
"DET_17E:x","H42E","4.062647094","4.0637951702406925","0.0011480762406925749","0.0011480762406925749"
"DET_16E:x","H42E","2.745693706","2.748448475650563","0.0027547696505632047","0.0027547696505632047"
"DET_15E:x","H42E","-1.548961691","-1.5480030009919996","0.0009586900080003069","0.0009586900080003069"
"DET_14E:x","H42E","-9.881395545","-9.882083632422528","-0.0006880874225281275","0.0006880874225281275"
"DET_13E:x","H42E","-3.960755089","-3.9617458011654403","-0.0009907121654402218","0.0009907121654402218"
"DET_12E:x","H42E","-0.1646167693","-0.16674297296889512","-0.002126203668895127","0.002126203668895127"
"DET_11E:x","H42E","2.903564395","2.9028257250513376","-0.0007386699486624515","0.0007386699486624515"
"DET_10E:x","H42E","8.771123922","8.77142722584276","0.0003033038427613377","0.0003033038427613377"
"DET_09E:x","H42E","4.568217756","4.568960180831768","0.0007424248317677851","0.0007424248317677851"
"DET_08E:x","H42E","3.177811339","3.179576176146623","0.0017648371466232327","0.0017648371466232327"
"DET_07E:x","H42E","-0.1844990951","-0.18293228439006817","0.0015668107099318374","0.0015668107099318374"
"DET_06E:x","H42E","-2.667405931","-2.6651256221290796","0.0022803088709202335","0.0022803088709202335"
"DET_05E:x","H42E","-2.029839045","-2.029629719646682","0.00020932535331796842","0.00020932535331796842"
"DET_04E:x","H42E","-3.220755686","-3.2221552761329315","-0.0013995901329315608","0.0013995901329315608"
"DET_03E:x","H42E","-0.6984983557","-0.6999216862751838","-0.0014233305751838454","0.0014233305751838454"
"DET_02E:x","H42E","3.146887071","3.1445801770747845","-0.0023068939252155474","0.0023068939252155474"
"DET_01E:x","H42E","3.318112877","3.3161752290708244","-0.001937647929175501","0.001937647929175501"
"DET_00E:x","H42E","1.533405342","1.5329111307752983","-0.0004942112247017239","0.0004942112247017239"
"DET_00W:y","H42E","-0.04795398468","-0.048053976397536786","-9.99917175367876e-5","9.99917175367876e-5"
"DET_01W:y","H42E","0.3880993084","0.3879271659421988","-0.0001721424578012276","0.0001721424578012276"
"DET_02W:y","H42E","0.0004595823996","0.00040948067211970667","-5.010172748029333e-5","5.010172748029333e-5"
"DET_03W:y","H42E","0.0004422013677","0.0005089936908201902","6.679232312019025e-5","6.679232312019025e-5"
"DET_04W:y","H42E","0.000284936383","0.00041404910243224605","0.00012911271943224606","0.00012911271943224606"
"DET_05W:y","H42E","0.0004083851375","0.0006947455201794311","0.0002863603826794311","0.0002863603826794311"
"DET_06W:y","H42E","0.0001101937564","0.00027433829280165955","0.00016414453640165955","0.00016414453640165955"
"DET_07W:y","H42E","-2.432197129e-5","0.00018428557830321346","0.00020860754959321347","0.00020860754959321347"
"DET_08W:y","H42E","-0.0002764031098","-0.00022794111320939014","4.846199659060984e-5","4.846199659060984e-5"
