trial,element_order,element_name,s_m,k2l_m2,source_exposure_h,source_exposure_v,total_projection_numerator,total_contribution_norm_m
1,24,sex_31w,235.74123977919484,-0.50427440000000001,4.5813867016054003e-12,2.497310175677523e-07,2.6233187623508674e-11,4.4414278196288836e-06
1,25,sex_32w,243.94043177919482,0.30627744000000001,4.3541322740826407e-08,3.7355061168325235e-08,1.3285770292321384e-12,2.0873314048203343e-07
1,26,sex_33w,252.37312377919483,-0.49414784,8.1065716337687944e-08,4.625743107161971e-08,-4.1591983174612982e-12,9.5845719003788095e-07
1,27,sex_34w,258.31562377919488,0.17423313600000001,7.0900135912805499e-08,2.3622833039818425e-10,8.7403086397382792e-12,3.0661991261058596e-06
1,28,sex_35w,266.24257577919491,-0.16527236800000006,1.6667167541639096e-08,1.0665928975024578e-08,4.5273123523100323e-14,1.3465147604143136e-07
1,29,sex_36w,277.21423877919494,0.16991948800000006,9.2270954308404906e-09,3.2652280114945862e-08,4.3298461947141741e-12,7.9804960980691809e-07
1,30,sex_37w,285.22943077919501,-0.037644799999999999,9.7031317994840071e-11,3.0688898563462111e-08,-4.4058135444624008e-12,6.1110599742826198e-07
1,31,sex_38w,293.43187277919503,0.20518374400000003,2.2931345889794207e-08,4.1380646300978796e-08,4.2508033098668704e-12,7.2495467823162621e-07
1,32,sex_39w,301.86131477919503,-0.45719936,3.1126742799317499e-08,9.161376911760728e-08,-3.5524965538466993e-12,1.3996391687279258e-06
1,33,sex_40w,310.06725677919508,0.24519304000000003,3.9493078320007499e-08,8.5657232175177536e-10,1.6368738993698533e-12,1.4005339917586372e-06
1,34,sex_41w,318.27219977919515,-0.49659312,1.0523275790222455e-08,1.5339726619657921e-07,1.5797432372528237e-11,2.8830791310899678e-06
1,35,sex_42w,326.47714177919516,0.11078288,3.4935904997133641e-10,2.5417379286957677e-08,-6.5926268254864663e-12,9.1572154127589671e-07
1,36,sex_43w,334.67708377919519,-0.022612475200000003,2.5766592043098919e-10,1.559944234873284e-08,2.1458063930650059e-12,3.3852129495975781e-07
1,37,sex_44w,345.68227077919528,-0.10419966400000001,7.3039752071936911e-09,6.303838843165326e-08,4.6809757578932035e-13,1.3615911828342021e-06
1,38,sex_45w,352.02348077919538,0.039331744000000002,9.1505955461574777e-09,2.3451144767391412e-09,-5.3512797731356349e-13,2.9482190726557281e-07
1,39,sex_45e,416.40351263697164,0.039202544000000006,4.310987583754008e-09,2.3050291455781599e-10,-1.3324086256898849e-13,1.7440242061444121e-07
1,40,sex_44e,422.74312263697163,-0.104066112,3.8455920164389226e-09,6.26075689704913e-09,7.798346197729192e-14,6.2255418229956453e-08
1,41,sex_43e,433.74671063697161,-0.0224741904,3.8191424611380595e-10,7.1527071447337924e-09,9.2403382848415546e-13,1.5410534191145489e-07
1,42,sex_42e,441.95415263697163,0.110769824,7.3056805109026281e-10,2.7032101115778011e-08,-6.0538530638062695e-12,9.4254701097942921e-07
1,43,sex_41e,450.15579463697162,-0.49661216000000002,1.5088336039712045e-09,4.0145406995402303e-07,3.4470475264324958e-11,7.9148664996127952e-06
1,44,sex_40e,458.35913663697164,0.24519358400000002,1.7963955017339582e-08,3.8116308436210388e-08,-1.1313258462974003e-13,7.6715659275567443e-07
1,45,sex_39e,466.56317863697171,-0.45728368000000003,1.6056502485161139e-08,2.2118084848604491e-08,-4.1792619104358837e-13,1.4238258470690986e-07
1,46,sex_38e,474.99622063697171,0.205352384,1.642171634986432e-08,3.9234484205312216e-10,-3.2628156774752135e-12,6.1048873487291703e-07
1,47,sex_37e,483.19826263697172,-0.037763935999999998,3.5216445895841352e-10,5.4389650813928049e-09,-5.3082845862002037e-13,9.6460313366021414e-08
1,48,sex_36e,491.21360463697175,0.16982945599999999,2.031382769046058e-11,1.7354691094181494e-08,1.4391733596931425e-12,5.7485891918041891e-07
1,49,sex_35e,502.18641763697173,-0.165141808,7.5272131106999349e-10,6.252082965527195e-08,2.4553417444774225e-12,1.5301504367392257e-06
1,50,sex_34e,510.10486963697173,0.17428128000000001,3.5626314003857128e-09,1.9956614721778345e-08,-2.6037409538506333e-12,7.5618628753475083e-07
1,51,sex_33e,516.05336963697164,-0.49391936000000003,3.5444500184324086e-09,5.7242017406011664e-08,6.7589500888928587e-12,1.6112776373467954e-06
1,52,sex_32e,524.4857116369717,0.30635088000000005,1.494915440905611e-09,1.1214592147881261e-09,4.7344771034009065e-14,9.8416241787807318e-09
1,53,sex_31e,532.68725363697183,-0.50422272000000001,2.7199917282106693e-10,1.8860364264716171e-08,1.007652275997205e-12,3.3357631589238084e-07
1,54,sex_30e,541.11599563697189,0.28501520000000002,3.5281209116780906e-11,1.539697303808282e-08,3.7650809342193644e-13,5.8540545980360307e-07
1,55,sex_29e,550.40073763697194,-0.145252624,1.2778647922662799e-13,4.6427210246375689e-08,-3.0782809128667555e-12,9.7331686755400333e-07
1,56,sex_28e,558.82987963697201,0.14307091200000002,1.7457996727067253e-12,1.2801336498851401e-08,2.209311920263323e-12,5.0988390407386353e-07
1,57,sex_27e,567.03492163697217,-0.40346848000000007,1.4819645873932873e-11,4.5830929727629885e-08,-2.9843040267107424e-12,8.5153476192567012e-07
1,58,sex_26e,575.46526363697228,0.23959555200000002,1.8048469938440237e-11,4.5494559225968559e-09,1.2235351611412003e-13,1.7528672438975899e-07
1,59,sex_25e,583.66900563697232,-0.39789247999999999,1.2971672628477277e-10,2.7033145263633386e-07,8.28360286450863e-12,5.8813276920471602e-06
1,60,sex_24e,591.8725476369724,0.13653937599999999,1.1147439836465831e-09,1.1210805469889897e-08,-1.3752162766815602e-12,4.5002517499020733e-07
1,61,sex_23e,602.07849063697256,-0.52328991999999996,1.931659127784151e-09,8.2640186128000605e-09,3.967531677190257e-13,1.149456135264158e-07
1,62,sex_22e,610.28253263697263,0.26098780799999999,2.7339460829122208e-09,1.3107419449292718e-08,-6.0978782845584067e-13,3.6901637934240867e-07
1,63,sex_21e,618.48397463697256,-0.23266553600000003,1.3629580864385259e-10,7.8378517426586781e-08,-5.2085437213585779e-13,1.6633672919263172e-06
1,64,sex_20e,626.68821663697258,0.033397248000000004,1.342070433002568e-11,1.1482752142230625e-09,1.0174629896958642e-13,4.9868511999198546e-08
1,65,sex_19e,634.89685863697264,-0.21855716800000005,2.3239782346151498e-14,1.6027179550588867e-09,-1.0764658493076154e-13,3.889682045197145e-08
1,66,sex_18e,641.55715863697264,0.078795680000000007,1.1642201260057722e-10,2.3045186802826577e-09,2.6053972051934949e-13,8.7718836701239949e-08
1,67,sex_17e,649.75740063697265,-0.12589873600000001,5.9102014989805117e-11,2.5987053070372238e-08,-1.5077491549490893e-12,6.1782828308142002e-07
1,68,sex_16e,657.96494263697275,0.11064116800000003,1.1886256323007876e-11,2.8114331127809817e-09,1.5767620071702064e-13,1.2028180459022351e-07
1,69,sex_15e,666.17098463697289,-0.34512176,6.7548469280857079e-14,1.8537359159271887e-11,1.8350990692367816e-16,2.5347857669056051e-10
1,70,sex_14e,676.29422663697289,-0.003429376,9.1229534441831205e-13,8.9275356363016298e-12,9.6125304369137584e-16,3.4427993921945719e-10
1,71,sex_13e,684.49771863697299,0.32600287999999999,3.5195558917307053e-10,9.1959598838257757e-09,-3.6848907703851624e-13,1.850720046572235e-07
1,72,sex_12e,693.16336063697304,0.123680304,1.928231331031481e-09,1.6488714468449592e-09,-2.8559205033211016e-15,8.3679371013700103e-09
1,73,sex_11e,701.36620363697307,-0.19755985600000003,1.9215862267409979e-09,7.2444009575401564e-09,-2.2758929811422802e-13,8.9786047397486733e-08
1,74,sex_10e,709.57139563697319,-0.052495728000000005,1.2420684718396863e-09,3.042890446835279e-11,1.447797963593627e-13,4.7726554755438276e-08
1,75,sex_09e,716.0820656369732,-0.24212868800000004,3.0920543453309547e-10,2.8790684379169881e-09,-1.4890703487597976e-13,6.0957958548338189e-08
1,76,sex_08e,725.51569563697308,0.043414736000000002,6.8845963942625715e-10,2.2124560326406615e-09,2.7649172227355274e-14,5.5097869913117038e-08
2,1,sex_08w,42.907498779194896,0.043392432000000002,1.0777838006970921e-09,3.6402423906054663e-11,-1.0286309921076886e-14,3.7635340401589797e-08
2,2,sex_09w,52.349828779194894,-0.24198398400000001,3.6207447700282921e-09,1.6442103554820857e-09,4.2678723854295267e-14,5.0628361900114697e-08
2,3,sex_10w,58.855398779194893,-0.052531632000000002,1.4575005225024933e-09,4.0292337084005266e-11,5.5409018983978103e-14,5.5899715602306331e-08
2,4,sex_11w,67.328070779194874,-0.19752585600000003,9.8453844579761342e-11,1.734948984145477e-11,1.0705203337492409e-15,1.511269359721615e-09
2,5,sex_12w,75.264033779194875,0.12366072000000002,7.3134063941743555e-10,8.279968013861073e-13,5.8765282847071886e-16,2.4556675408867802e-08
2,6,sex_13w,83.932825779194872,0.32583968000000002,3.6838093239135584e-09,8.9232513230607661e-13,5.7517491325920768e-14,7.7532405214926745e-08
2,7,sex_14w,92.133917779194874,-0.0034363392000000001,1.9290424935281778e-10,7.1512542310510607e-12,-7.3213757319602963e-15,7.5195622340317323e-09
2,8,sex_15w,102.25810977919487,-0.34508368000000006,1.4351961086531297e-09,8.1648999800106563e-09,1.7716321584399154e-14,1.0108735234878742e-07
2,9,sex_16w,110.46430177919487,0.11048177600000003,4.4383626768810915e-11,1.4157116746307006e-09,2.8221223197584021e-14,6.1520701930967413e-08
2,10,sex_17w,118.66539277919487,-0.125842432,3.7765251900219104e-10,6.9342074224916548e-09,-1.3440965197220715e-13,1.6230216457045666e-07
2,11,sex_18w,126.86413477919487,0.078568559999999996,1.9398414431158516e-09,5.8707455704587141e-11,-8.30261472530384e-14,8.0714189606698639e-08
2,12,sex_19w,133.52943477919487,-0.21847203200000001,2.1836761973514261e-09,2.1837547921151923e-09,4.4821537311751414e-15,4.5149836150259467e-09
2,13,sex_20w,141.73732677919489,0.033388272000000004,9.5463387551496546e-10,4.0344007689243852e-10,-2.1498393473234718e-14,2.6217329458419871e-08
2,14,sex_21w,149.93926877919489,-0.23265928000000002,1.4056482503673741e-09,1.053271316963801e-08,-5.5403110683891739e-14,1.9165530731733518e-07
2,15,sex_22w,158.14596077919489,0.26101228800000004,1.7049471986528705e-09,2.0448412241161664e-10,1.9602826428619191e-14,5.4399984835584528e-08
2,16,sex_23w,166.3497027791949,-0.52340416000000001,7.5601083325250088e-10,3.6513675296551176e-08,6.4115381897674557e-13,6.0596146317279225e-07
2,17,sex_24w,176.55229577919491,0.13662179200000002,7.0780591629888702e-09,4.7857345832870982e-09,1.2207472418579054e-13,1.1877877511786027e-07
2,18,sex_25w,184.75808777919491,-0.39794144000000004,6.9502119013002393e-09,3.7266883279999312e-08,3.9098741226990768e-13,6.4638263918077831e-07
2,19,sex_26w,192.96452977919492,0.23971496000000006,1.2958684249184279e-08,3.0420827829404214e-09,-4.3331210039767949e-15,3.8741303343385196e-07
2,20,sex_27w,201.39422177919491,-0.40337600000000007,4.3191847934671813e-09,1.3765666419058757e-07,-2.1405088352669269e-12,2.5576859103285768e-06
2,21,sex_28w,209.59741377919488,0.14284324800000006,2.7782450199281099e-09,5.4159157557366422e-09,1.3243253723541613e-13,1.1414473995320255e-07
2,22,sex_29w,218.02560577919488,-0.14515660800000002,1.2519578036959121e-10,1.5800115982442173e-10,-1.4572042094842782e-15,1.5310942799662022e-09
