matrix,mode,singular_value,energy_fraction,cumulative_energy_fraction
bump_152x152,135,2.6809972152777706e-16,1.0741215572797084e-35,0.9999999999999999
bump_152x152,136,2.467736166386529e-16,9.10035132982798e-36,0.9999999999999999
bump_152x152,137,2.406879805597641e-16,8.657041774733524e-36,0.9999999999999999
bump_152x152,138,2.3216093109837516e-16,8.054507324539469e-36,0.9999999999999999
bump_152x152,139,2.0933790889411436e-16,6.548720729280234e-36,0.9999999999999999
bump_152x152,140,1.9871696174219695e-16,5.901067521376587e-36,0.9999999999999999
bump_152x152,141,1.6835624409345145e-16,4.235641198028937e-36,0.9999999999999999
bump_152x152,142,1.491689472467782e-16,3.3251983513308135e-36,0.9999999999999999
bump_152x152,143,1.3526464571966176e-16,2.7341938731308975e-36,0.9999999999999999
bump_152x152,144,1.1918447799296702e-16,2.1227561335700686e-36,0.9999999999999999
bump_152x152,145,9.852783042792596e-17,1.4507031251056844e-36,0.9999999999999999
bump_152x152,146,9.180821775372765e-17,1.2595743855612741e-36,0.9999999999999999
bump_152x152,147,7.434059793670231e-17,8.258721228545055e-37,0.9999999999999999
bump_152x152,148,6.857499621969417e-17,7.027361447059899e-37,0.9999999999999999
bump_152x152,149,5.109806282720989e-17,3.901841099253705e-37,0.9999999999999999
bump_152x152,150,3.563722586142545e-17,1.897878850314989e-37,0.9999999999999999
bump_152x152,151,2.5474234851704805e-17,9.697571799020993e-38,0.9999999999999999
bump_152x152,152,5.190368169576762e-18,4.025844877201942e-39,0.9999999999999999
periodic_kick_152x152,1,455.4983785265452,0.2971939220283604,0.2971939220283604
periodic_kick_152x152,2,308.7696791071766,0.1365637851315387,0.43375770715989914
periodic_kick_152x152,3,264.70932019814575,0.10037018350065181,0.534127890660551
periodic_kick_152x152,4,238.1530904270532,0.08124164262693115,0.6153695332874821
periodic_kick_152x152,5,218.93996020772252,0.06866197989620572,0.6840315131836878
periodic_kick_152x152,6,218.29637895574925,0.06825890487415885,0.7522904180578467
periodic_kick_152x152,7,213.95532770685992,0.06557109910136284,0.8178615171592095
periodic_kick_152x152,8,166.8375262816741,0.03987068861125477,0.8577322057704643
periodic_kick_152x152,9,118.05451274959219,0.019963258887776107,0.8776954646582403
periodic_kick_152x152,10,111.99936591453462,0.017967902426967414,0.8956633670852078
periodic_kick_152x152,11,81.21659568840579,0.009448346582358078,0.9051117136675658
periodic_kick_152x152,12,77.14290716651315,0.008524290772908841,0.9136360044404747
periodic_kick_152x152,13,77.08261515732002,0.00851097144658853,0.9221469758870632
periodic_kick_152x152,14,75.68081926090802,0.008204231420203423,0.9303512073072666
periodic_kick_152x152,15,72.95245637158975,0.0076233540796146766,0.9379745613868813
periodic_kick_152x152,16,60.33916597441014,0.005215126635377007,0.9431896880222583
periodic_kick_152x152,17,59.70278951785065,0.005105702425777257,0.9482953904480356
periodic_kick_152x152,18,53.0015503423152,0.004023864976682432,0.952319255424718
periodic_kick_152x152,19,50.60566827189312,0.0036682977656977045,0.9559875531904156
periodic_kick_152x152,20,48.36279970997261,0.0033503418396827176,0.9593378950300984
periodic_kick_152x152,21,47.01378878215509,0.0031660426165294278,0.9625039376466278
periodic_kick_152x152,22,43.32812451288715,0.002689094312253245,0.9651930319588811
periodic_kick_152x152,23,41.86015221461869,0.0025099661188323612,0.9677029980777134
periodic_kick_152x152,24,36.51612214669016,0.00191000962140581,0.9696130076991193
periodic_kick_152x152,25,36.124537529016706,0.0018692648715756027,0.9714822725706949
periodic_kick_152x152,26,34.80363527130803,0.0017350638854182591,0.9732173364561131
periodic_kick_152x152,27,33.19745125280992,0.0015786132234688831,0.9747959496795819
periodic_kick_152x152,28,31.88336557053738,0.0014561112934073342,0.9762520609729892
periodic_kick_152x152,29,31.306430425563075,0.0014038908925187042,0.9776559518655079
periodic_kick_152x152,30,30.865480548387094,0.0013646219057938357,0.9790205737713017
periodic_kick_152x152,31,29.509860325769704,0.0012473851242784599,0.9802679588955802
periodic_kick_152x152,32,29.08406979666585,0.0012116483887075597,0.9814796072842877
periodic_kick_152x152,33,28.238631870547398,0.0011422299838671317,0.9826218372681549
periodic_kick_152x152,34,27.40272562609087,0.001075607389709563,0.9836974446578645
periodic_kick_152x152,35,26.02281452628997,0.0009700068148212141,0.9846674514726856
periodic_kick_152x152,36,25.89125897305841,0.0009602240740470226,0.9856276755467327
periodic_kick_152x152,37,24.325641167195624,0.0008476076053493727,0.9864752831520821
periodic_kick_152x152,38,24.18876523464145,0.000838095775656505,0.9873133789277386
periodic_kick_152x152,39,22.769793846410494,0.00074265045234974,0.9880560293800884
periodic_kick_152x152,40,21.92037121018141,0.0006882751053224665,0.9887443044854108
periodic_kick_152x152,41,20.67195400775839,0.0006121097720137486,0.9893564142574246
periodic_kick_152x152,42,20.353116295752805,0.0005933734099308194,0.9899497876673554
periodic_kick_152x152,43,19.969406214756713,0.0005712109912515756,0.990520998658607
periodic_kick_152x152,44,19.22449541473378,0.0005293905104143479,0.9910503891690213
periodic_kick_152x152,45,18.577411307859002,0.0004943523987775585,0.9915447415677989
periodic_kick_152x152,46,18.272228655750887,0.0004782437413965163,0.9920229853091954
periodic_kick_152x152,47,17.206779464167557,0.0004240972317429232,0.9924470825409384
periodic_kick_152x152,48,17.118952222938415,0.0004197789070133535,0.9928668614479518
periodic_kick_152x152,49,17.051113990121806,0.0004164585361127416,0.9932833199840645
periodic_kick_152x152,50,17.025908754700946,0.00041522821449492303,0.9936985481985594
periodic_kick_152x152,51,16.992933054530162,0.00041362134797485865,0.9941121695465343
periodic_kick_152x152,52,16.347065443225016,0.0003827770184045354,0.9944949465649388
periodic_kick_152x152,53,16.060490635621687,0.0003694739892329968,0.9948644205541718
periodic_kick_152x152,54,16.036579611446236,0.00036837465481780976,0.9952327952089896
periodic_kick_152x152,55,15.548056454976443,0.00034627287315497184,0.9955790680821445
periodic_kick_152x152,56,15.151434821965026,0.0003288317748545212,0.995907899856999
periodic_kick_152x152,57,14.351198118284156,0.000295013963627294,0.9962029138206263
periodic_kick_152x152,58,14.24351162665108,0.0002906032062077195,0.9964935170268341
periodic_kick_152x152,59,13.75343215301162,0.000270949548368986,0.9967644665752031
periodic_kick_152x152,60,13.669933748732515,0.00026766961374864983,0.9970321361889518
periodic_kick_152x152,61,13.352397776848482,0.0002553787613916099,0.9972875149503434
periodic_kick_152x152,62,12.906321316625995,0.0002386004173349436,0.9975261153676783
periodic_kick_152x152,63,12.673525803350945,0.00023007061822361333,0.997756185985902
periodic_kick_152x152,64,12.472369027996859,0.0002228251240326315,0.9979790111099346
periodic_kick_152x152,65,11.980150111267752,0.00020558469137405572,0.9981845958013087
periodic_kick_152x152,66,11.342406867963701,0.00018427936058193673,0.9983688751618907
periodic_kick_152x152,67,11.216969193748103,0.0001802259431615025,0.9985491011050521
periodic_kick_152x152,68,11.153464907113163,0.00017819104018881635,0.9987272921452409
periodic_kick_152x152,69,9.329809076574513,0.00012468429836763695,0.9988519764436086
periodic_kick_152x152,70,8.632232393999793,0.00010673638755542357,0.998958712831164
periodic_kick_152x152,71,8.231204139575649,9.70494320021012e-05,0.9990557622631661
periodic_kick_152x152,72,8.06895711415383,9.32612145820061e-05,0.999149023477748
periodic_kick_152x152,73,7.380768258986812,7.803139874004123e-05,0.9992270548764881
periodic_kick_152x152,74,6.711207984447623,6.451603202995798e-05,0.9992915709085181
periodic_kick_152x152,75,6.318379136132342,5.718440640429589e-05,0.9993487553149224
periodic_kick_152x152,76,6.087358463903808,5.3079155675331056e-05,0.9994018344705977
periodic_kick_152x152,77,5.519513529991258,4.363830337866811e-05,0.9994454727739764
