target,target_index,rmse_2d_um,median_2d_um,p90_2d_um,max_2d_um,bias_x_um,bias_y_um
SEX_28W,20,6.842437473270081,7.130841822979206,9.155599021646019,11.397674854641346,0.9378295103636423,-2.8625369975081374
SEX_29W,21,2.8787557737111804,2.8102089242136423,3.4597829446839072,4.240614828499044,0.9845664618669993,-0.132341982207172
SEX_30W,22,2.7423331769386388,2.599465396130754,3.6795411123158335,4.478075242862256,-0.8731826794167971,-0.06894879188849601
SEX_31W,23,2.194819774568374,2.0875436650407893,2.857339619146451,3.063802246408362,-0.7074545733021056,0.7687672304794607
SEX_32W,24,2.55812468822719,2.5094896744889894,3.5162224381536644,4.290496980635649,0.24341218791023697,-0.915208672103059
SEX_33W,25,6.279241060914711,6.213507885244173,9.086567800426383,9.979110122133141,-0.9215511514617676,0.6714652511545934
SEX_34W,26,3.7134466537786452,3.854348784377435,5.132672443727643,5.177095995535791,-0.05881854592241698,-1.165015517124703
SEX_35W,27,1.9136206536820688,1.5034113826290136,3.0458328801899275,3.1088861002136894,0.6087424008219212,-0.378944069443506
SEX_36W,28,5.207602560518237,5.518855908661978,6.690799244266142,7.7622523737568345,-1.6606243701855388,1.877438930675325
SEX_37W,29,5.940449025852843,4.711464780607109,8.930721368094376,9.029453299768946,1.979151153049403,0.5359410856970909
SEX_38W,30,3.5763562400721205,2.69927669529661,4.764881551105575,7.755597907300938,-0.8534595131136883,0.5093392898373916
SEX_39W,31,4.83331551681479,2.619252212263027,7.706881038802328,8.410721182849093,-0.4953972822345765,2.7564785914585417
SEX_40W,32,7.092177117864154,6.747413985068942,9.948483370324498,10.924538157814974,-1.6374582144720704,0.6494075965687975
SEX_41W,33,3.535623106703354,2.9055338515544644,4.7386411425495245,6.915966590948418,1.0871274203313361,-1.3246446382431944
SEX_42W,34,4.787574932411851,4.442569018351875,6.659378543876974,7.323018762088175,1.7575504472164214,0.7618802944068284
SEX_43W,35,6.434073086365767,6.250508368380298,8.126496229814759,8.19488725172133,1.6655439025747327,-0.513943414182763
SEX_44W,36,9.13085598844304,8.896665943278292,13.120761319425325,13.121386558532143,1.1675463872625589,1.8266298670831922
SEX_45W,37,3.51912661884204,2.333270855594154,5.365697395273052,5.978241147871589,1.0452717805676923,1.887788904535662
SEX_47W,38,7.279951150520341,3.7224034304259845,11.100537170464579,15.412939943005028,0.540460426909679,-1.4814195574836528
SEX_47E,39,6.590196554094339,5.785862750703888,9.039226598580015,11.492197139109521,-1.6529767197154173,2.9630363191018434
SEX_45E,40,3.914014413225704,3.064820409521357,5.685238025352008,6.998905833360194,1.1989807899152236,-2.0255201451676195
SEX_44E,41,6.5073175197396225,4.968519473890365,10.425461510821336,11.359587781506777,0.11432561395341898,-2.430979908760434
SEX_43E,42,5.286687052515791,5.235316910218908,6.473440024104239,6.6254862086425454,-0.6104995734615621,-0.841612520861935
SEX_42E,43,4.180304029040297,3.8026424133143077,5.612048227657265,5.930072281451134,0.3341093587704029,0.14278041866775423
SEX_41E,44,2.3763331425117555,2.1823230031301124,3.196660868811165,4.042967147074373,-0.7462171503684462,1.164628056184394
