rho,trial,fd_x_qhh_rmse_m,gtpsa_x_qhh_rmse_m,relative_difference_x_qhh_rmse_m,fd_x_qhv_rmse_m,gtpsa_x_qhv_rmse_m,relative_difference_x_qhv_rmse_m,fd_x_qvv_rmse_m,gtpsa_x_qvv_rmse_m,relative_difference_x_qvv_rmse_m,fd_y_qhh_rmse_m,gtpsa_y_qhh_rmse_m,relative_difference_y_qhh_rmse_m,fd_y_qhv_rmse_m,gtpsa_y_qhv_rmse_m,relative_difference_y_qhv_rmse_m,fd_y_qvv_rmse_m,gtpsa_y_qvv_rmse_m,relative_difference_y_qvv_rmse_m
0.40000000000000002,3,2.1368627566464541e-08,2.1368636374952787e-08,4.1221573951372635e-07,8.8381563467221133e-10,8.8381252522521559e-10,3.5182201055015706e-06,1.3107843347193779e-07,1.310785132855502e-07,6.0889928036352191e-07,3.3953292216286792e-10,3.3953294392707101e-10,6.4100416417042388e-08,1.2910457317646389e-07,1.2910418063531223e-07,3.040499151376285e-06,1.936776544283752e-09,1.9368083475271299e-09,1.6420439027165356e-05
0.56999999999999995,3,4.3391670708841153e-08,4.3391687238888489e-08,3.8094963316460013e-07,1.794720259854834e-09,1.7946918090354527e-09,1.5852760478465739e-05,2.6617092413247868e-07,2.6617130604047031e-07,1.4348202941892095e-06,6.8946411672918575e-10,6.8946408426190841e-10,4.7090599911075265e-08,2.6216379571295707e-07,2.6216217680258078e-07,6.1752248018088947e-06,3.9328150707233643e-09,3.9329314506972761e-09,2.9591152393750419e-05
0.80000000000000004,3,8.5474491689142203e-08,8.5474545499811147e-08,6.2955197513368069e-07,3.5353696211300966e-09,3.5352501009008623e-09,3.3808139685437552e-05,5.2431257974358693e-07,5.2431405314220079e-07,2.8101451888046085e-06,1.3581324403139656e-09,1.358131775708284e-09,4.8935286943835612e-07,5.1642300620806471e-07,5.164167225412489e-07,1.2167822112514569e-05,7.7467822761246127e-09,7.7472333901085194e-09,5.8229042703508631e-05
1.1299999999999999,3,1.7053488261203748e-07,1.7053507366985749e-07,1.1203432578258755e-06,7.0538465773941677e-09,7.0533763341254821e-09,6.6669244119370018e-05,1.0460826008881452e-06,1.0460884600894936e-06,5.6010572450863045e-06,2.7096878847721402e-09,2.7096851006279799e-09,1.0274788608182845e-06,1.0303570634834577e-06,1.0303320515826882e-06,2.4275572841913089e-05,1.545514688658954e-08,1.5456941118483695e-08,0.00011607936398291572
0.10000000000000001,4,7.0756115359512168e-10,7.0755860141338299e-10,3.607025246517841e-06,4.1508345754847289e-11,4.1508376380604328e-11,7.3782112694986469e-07,1.425947103414526e-09,1.4259483472112972e-09,8.7225934486710658e-07,3.7978716707900661e-11,3.7977925051827594e-11,2.0845163920508543e-05,2.3217565314880393e-09,2.3217563453003305e-09,8.0192613323663711e-08,5.3166785227361362e-12,5.3168675865816348e-12,3.5559254094602926e-05
0.14000000000000001,4,1.3868168727237778e-09,1.3868148587702306e-09,1.4522151493352282e-06,8.1357699367472131e-11,8.1356417705984471e-11,1.5753661773697002e-05,2.7948579684009634e-09,2.7948587605341422e-09,2.8342511974053075e-07,7.443820241318743e-11,7.4436733101582081e-11,1.9739066239563441e-05,4.5506431380050995e-09,4.5506424367886475e-09,1.5409174897221837e-07,1.0420900864814366e-11,1.0421060469700005e-11,1.5315608819562691e-05
0.20000000000000001,4,2.8302302096013481e-09,2.830234405653532e-09,1.4825811513925163e-06,1.6603376647841393e-10,1.6603350552241731e-10,1.571706841917666e-06,5.7037922483055289e-09,5.7037933888451887e-09,1.9996160134559639e-07,1.519116555231762e-10,1.5191170020731038e-10,2.9414544181912374e-07,9.2870289273687082e-09,9.2870253812013219e-09,3.8184103528995561e-07,2.1267568159096694e-11,2.1267470346326539e-11,4.5991727535973053e-06
0.28000000000000003,4,5.5472565773329582e-09,5.5472594350809225e-09,5.1516392873803968e-07,3.2542523441949799e-10,3.2542567082393789e-10,1.3410264740128358e-06,1.1179440064216299e-08,1.1179435042136569e-08,4.4922482319272045e-07,2.97746820711293e-10,2.9774693240632833e-10,3.7513412622093847e-07,1.8202583858327186e-08,1.820256974715459e-08,7.752296951325949e-07,4.1684145045115794e-11,4.1684241878800021e-11,2.3230285561736658e-06
0.40000000000000002,4,1.1320936588036891e-08,1.1320937622614128e-08,9.1386179424943919e-08,6.6413294016347429e-10,6.6413402208966924e-10,1.6290781061810351e-06,2.2815191702534458e-08,2.2815173555380755e-08,7.9539845089894826e-07,6.0764701785097539e-10,6.0764680082924151e-10,3.5715111735903849e-07,3.7148158043511375e-08,3.7148101524805288e-08,1.5214426516369397e-06,8.5069701247530437e-11,8.5069881385306157e-11,2.1175270587768738e-06
0.56999999999999995,4,2.2988572041328204e-08,2.2988578959920806e-08,3.0095781971131788e-07,1.3486084630787767e-09,1.3486071486058341e-09,9.7468928884432801e-07,4.6329133999338613e-08,4.632906180089503e-08,1.5583834590416052e-06,1.2339037518693707e-09,1.233902784933878e-09,7.8363993053928354e-07,7.5434108502565751e-08,7.5433863658807713e-08,3.2458069381910846e-06,1.7274473609227622e-10,1.7274502788803728e-10,1.6891702448555502e-06
