lambda2,rho,trial,active_rms_rad,max_closure_norm,y_even_rmse_m,y_odd_nl_rmse_m,y_odd_over_rho3_rmse_m
0,1.1299999999999999,10,5.6500000000000001e-06,3.3128805200055334e-14,4.2514714743843397e-10,1.3809576402933242e-09,9.5707291670391218e-10
0,1.6000000000000001,10,8.0000000000000013e-06,2.2709453195137918e-14,8.5236101779071157e-10,3.920216286857637e-09,9.5708405440860261e-10
0,2.2599999999999998,10,1.13e-05,9.8533549467995868e-14,1.70060345266832e-09,1.1048031603316927e-08,9.5710501194098853e-10
0,0.40000000000000002,11,2.0000000000000003e-06,2.2309406172992698e-14,4.9549099570791254e-11,6.4744793375562457e-11,1.0116373964931631e-09
0,0.56999999999999995,11,2.8499999999999998e-06,4.5012440727692458e-14,1.0061548997371347e-10,1.8734901217419928e-10,1.0116419744493546e-09
0,0.80000000000000004,11,4.0000000000000007e-06,4.626554076787498e-14,1.9819608225012372e-10,5.1796543922682185e-10,1.0116512484898862e-09
0,1.1299999999999999,11,5.6500000000000001e-06,8.1890378843118594e-14,3.9543348328529524e-10,1.4597315378570409e-09,1.0116671791936926e-09
0,1.6000000000000001,11,8.0000000000000013e-06,6.1908732538257768e-14,7.9279415836415969e-10,4.143925223712382e-09,1.0117004940704055e-09
0,2.2599999999999998,11,1.13e-05,6.4902486643080811e-14,1.5817750581934729e-09,1.1678958970072738e-08,1.0117630511804326e-09
0,0.40000000000000002,12,2.0000000000000003e-06,6.2767346010404323e-14,7.2484268256019637e-10,3.8111085143455014e-09,5.9548570536648445e-08
0,0.56999999999999995,12,2.8499999999999998e-06,4.1826526454190879e-14,1.4719135793568896e-09,1.1028345637790582e-08,5.955055341071522e-08
0,0.80000000000000004,12,4.0000000000000007e-06,8.1351446401671066e-14,2.8995407713870082e-09,3.0491829678282498e-08,5.955435484039549e-08
0,1.1299999999999999,12,5.6500000000000001e-06,5.8694244906644231e-14,5.7854855684952459e-09,8.5941888724598286e-08,5.9562039927034511e-08
0,1.6000000000000001,12,8.0000000000000013e-06,8.5917886605388662e-14,1.1600878951763042e-08,2.4402950922554742e-07,5.9577516900768397e-08
0,2.2599999999999998,12,1.13e-05,1.3457834723589598e-14,2.3152768361698561e-08,6.8806909666774863e-07,5.9608299887981338e-08
0,0.40000000000000002,13,2.0000000000000003e-06,2.4237290556897351e-14,1.4453963555720892e-10,8.8261106296492479e-11,1.3790797858826947e-09
0,0.56999999999999995,13,2.8499999999999998e-06,3.3013453425848138e-14,2.9350521635603951e-10,2.5539577444090238e-10,1.3790789848477126e-09
0,0.80000000000000004,13,4.0000000000000007e-06,7.0115058030135915e-14,5.7815580911799535e-10,7.0608868010005215e-10,1.379079453320414e-09
0,1.1299999999999999,13,5.6500000000000001e-06,1.6987367679648313e-14,1.1535089071763195e-09,1.9898759410088397e-09,1.3790838438286589e-09
0,1.6000000000000001,13,8.0000000000000013e-06,7.6206098035125407e-14,2.3126054727007528e-09,5.6487590434267463e-09,1.3790915633366077e-09
