lambda2,trial,detector,c3_y_m,c5_y_m
0,55,DET_17W,-8.5633379240026246e-09,-2.3117306569834293e-13
0,55,DET_18W,-4.7184179869493023e-09,-1.9855568423243183e-13
0,55,DET_19W,-4.8239273910595978e-09,-2.8951157784059865e-13
0,55,DET_20W,2.889520990869085e-09,4.3847340351291799e-14
0,55,DET_21W,1.1439941806933888e-08,3.5218091772625443e-13
0,55,DET_22W,5.9000652077417107e-09,2.3126374833927428e-13
0,55,DET_23W,6.3890067773178083e-09,3.3101537927926339e-13
0,55,DET_24W,-3.3299199643211752e-09,-5.846480102572609e-14
0,55,DET_25W,-1.22559652362684e-08,-3.5735737133111199e-13
0,55,DET_26W,-3.3476072775607627e-09,-1.382594269817329e-13
0,55,DET_27W,1.3812708434657841e-09,-6.8852206865123571e-14
0,55,DET_28W,4.9450403243379683e-09,1.2155048842810624e-13
0,55,DET_29W,1.245754182596991e-08,3.9668021779861851e-13
0,55,DET_30W,6.6804600741520124e-09,2.5420594059331966e-13
0,55,DET_31W,8.1341587473750254e-09,3.7049042365891532e-13
0,55,DET_32W,1.7413645754988626e-09,1.3558108224368343e-13
0,55,DET_33W,-2.7026417352973314e-09,2.2973035940404141e-14
0,55,DET_34W,-3.5351450953672238e-09,-2.8804740970297417e-14
0,55,DET_35W,-1.0669831858314261e-08,-2.7419495468926715e-13
0,55,DET_36W,-9.3237725598286568e-09,-2.9243953515977014e-13
0,55,DET_37W,-1.5171526109461204e-08,-5.1548014396732598e-13
0,55,DET_38W,-6.0492183568876875e-09,-2.3115221841523207e-13
0,55,DET_39W,-3.2668689872194933e-09,-1.8140521655991493e-13
0,55,DET_40W,3.2682652824372653e-09,5.7208959647054772e-14
0,55,DET_41W,1.1293653859665284e-08,3.0386697650309564e-13
0,55,DET_42W,8.5161799609135979e-09,2.5827266361719753e-13
0,55,DET_43W,1.284263020516783e-08,4.246477781431806e-13
0,55,DET_44W,9.9219789419150178e-09,3.6544111447404098e-13
0,55,DET_45W,2.9434386662761627e-09,1.2859376314709166e-13
0,55,DET_46W,-4.5737143833125196e-09,-8.5822754246699578e-14
0,55,DET_47W,-1.4328892323406979e-08,-4.1059230422442879e-13
0,55,DET_48W,-4.6185094495516042e-09,-1.4325018418889234e-13
0,55,DET_49W,-2.8204152457632882e-09,-1.0747714720473783e-13
0,55,DET_49E,1.0779856308072332e-09,8.5712552242593878e-15
0,55,DET_48E,4.2625646163173354e-09,1.1976773082889283e-13
0,55,DET_47E,1.5941108090428078e-08,4.8836831403061644e-13
0,55,DET_46E,7.2359274415951827e-09,2.3724689815846882e-13
