index,name,bmad_key,scibmad_kind,bmad_length_m,scibmad_length_m,length_error_m,length_relative,length_relative_percent,local_R_max,bmad_local_R_max_scale,local_R_max_relative,local_R_max_relative_percent,local_R_fro,bmad_local_R_fro_scale,local_R_fro_relative,local_R_fro_relative_percent,local_R_row,local_R_col,vec0_max,orbit_out_max,bmad_orbit_out_max_scale,orbit_out_max_relative,orbit_out_max_relative_percent,bmad_affine_residual,cumulative_R_max,bmad_cumulative_R_max_scale,cumulative_R_max_relative,cumulative_R_max_relative_percent
"11","D005","Drift","Drift","1.0634200000000003","1.06342","2.220446049250313e-16","2.088023592983311e-16","2.088023592983311e-14","4.7909396228007495e-8","1.0634271","4.5051885764437916e-8","4.505188576443792e-6","1.0100406368640932e-7","2.8743271659650005","3.514007204273809e-8","3.5140072042738094e-6","3","4","2.5893866260395316e-12","5.715464722593627e-12","0.01465127314","3.9010020958449124e-10","3.901002095844912e-8","5.311372299415069e-11","0.0002823870082302449","6.154850224982249","4.5880402919318686e-5","0.004588040291931868"
"12","HV01W","Kicker","Kicker","0.17269999999999985","0.1727","1.3877787807814457e-16","8.035777537819611e-16","8.035777537819611e-14","4.9651783924927137e-8","1.0","4.9651783924927137e-8","4.965178392492714e-6","9.745501407162163e-8","2.4616359228621643","3.958953197201879e-8","3.958953197201879e-6","3","2","9.093967628472481e-14","4.131706370265331e-12","0.01429428046","2.890461245550048e-10","2.890461245550048e-8","1.3853755642667664e-10","0.00030226254004173114","6.004655878775058","5.033802871371079e-5","0.005033802871371079"
"13","D006","Drift","Drift","0.22231999999999985","0.22232","1.3877787807814457e-16","6.242257920031695e-16","6.242257920031695e-14","3.922212571466296e-8","1.0","3.922212571466296e-8","3.922212571466296e-6","9.026337283274983e-8","2.4695857485361428","3.6550005557107636e-8","3.6550005557107637e-6","5","6","2.0036069033020832e-13","4.966997299571396e-12","0.01383471699","3.5902413494700593e-10","3.5902413494700595e-8","8.949034299921476e-11","0.0003279211520519354","5.811307750168761","5.642811672508869e-5","0.005642811672508869"
"14","Q02W","Quadrupole","Quadrupole","0.5999999999999996","0.6","3.3306690738754696e-16","5.551115123125786e-16","5.551115123125786e-14","1.7460056096485488e-6","1.0338346","1.6888635857694729e-6","0.00016888635857694728","1.961741398386099e-6","2.5996525851083008","7.546167551862987e-7","7.546167551862987e-5","1","2","1.906985071589703e-9","9.550230536947701e-10","0.013049419730000001","7.318509738017065e-8","7.318509738017064e-6","4.601896219980409e-10","0.0003857081506026816","5.480633445110694","7.037656403508871e-5","0.007037656403508871"
"15","D007","Drift","Drift","0.09432000000000063","0.09432","6.245004513516506e-16","6.621081969377083e-15","6.621081969377083e-13","4.54865484583733e-8","1.0","4.54865484583733e-8","4.54865484583733e-6","8.316960124664484e-8","2.4531189393350905","3.390361548029452e-8","3.390361548029452e-6","1","2","1.2285149575789802e-15","2.193916421688695e-12","0.01299593896","1.6881553756456663e-10","1.6881553756456662e-8","2.6714401524241538e-11","0.00039266573672946947","5.458043462099535","7.194258152323755e-5","0.0071942581523237546"
"16","DET_02W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.449489742783178","0.0","0.0","1","1","0.0","0.0","0.01299593896","0.0","0.0","0.0","0.00039266573672946947","5.458043462099535","7.194258152323755e-5","0.0071942581523237546"
"17","D008","Drift","Drift","2.0920000000000005","2.092","4.440892098500626e-16","2.122797370220184e-16","2.122797370220184e-14","3.6295532357399907e-8","2.092001","1.734967256583525e-8","1.734967256583525e-6","5.5205266005202e-8","3.8409551225374114","1.4372796412349724e-8","1.4372796412349724e-6","3","4","2.0600026422744986e-13","1.133936718258682e-11","0.01180974548","9.601703272767585e-10","9.601703272767586e-8","1.180444800000474e-11","0.0005466775154943093","6.822535089434626","8.01282086978041e-5","0.008012820869780411"
"18","SK_Q02W","Quadrupole","Quadrupole","0.17269999999999897","0.1727","1.0269562977782698e-15","5.9464753779865426e-15","5.946475377986543e-13","8.328590880846143e-8","1.0","8.328590880846143e-8","8.328590880846143e-6","1.0483513891820219e-7","2.4616357568025475","4.2587591859802196e-8","4.25875918598022e-6","1","2","3.1482878803945624e-11","1.3541440538333838e-11","0.011711822160000001","1.1562197882907262e-9","1.1562197882907262e-7","1.1263792998902726e-11","0.0005594168615941086","6.998794586359022","7.99304586941926e-5","0.00799304586941926"
"19","D009","Drift","Drift","0.1073000000000004","0.1073","3.885780586188048e-16","3.621417135310376e-15","3.621417135310376e-13","4.8253746276483156e-8","1.0","4.8253746276483156e-8","4.825374627648316e-6","9.455545492572036e-8","2.4541855286129675","3.852824239378524e-8","3.852824239378524e-6","1","2","2.7822096911390167e-14","3.6776836018551345e-12","0.01165098155","3.15654400968057e-10","3.15654400968057e-8","2.9340798887722563e-11","0.0005673319272370136","7.108306132508343","7.981253433113136e-5","0.007981253433113136"
"20","SK_Q03W","Quadrupole","Quadrupole","0.17270000000000074","0.1727","7.494005416219807e-16","4.339319870422568e-15","4.339319870422568e-13","8.328590880846143e-8","1.0","8.328590880846143e-8","8.328590880846143e-6","1.0483513891820219e-7","2.4616357568025475","4.2587591859802196e-8","4.25875918598022e-6","1","2","3.14828805386691e-11","1.3541437068886886e-11","0.01155305823","1.1721084408389488e-9","1.1721084408389487e-7","2.1263793006378543e-11","0.000580071273336813","7.2845656294327386","7.96301801432166e-5","0.007963018014321659"
"21","D010","Drift","Drift","0.43227999999999867","0.43228","1.3322676295501878e-15","3.0819552825719253e-15","3.081955282571925e-13","4.3015515565836756e-8","1.0","4.3015515565836756e-8","4.301551556583676e-6","5.9581770223764654e-8","2.524625195215373","2.360024384478259e-8","2.360024384478259e-6","5","6","7.241974944989467e-15","4.0148095792173506e-12","0.01130794938","3.5504311562609333e-10","3.550431156260933e-8","4.87177899204886e-12","0.0006118566733510633","7.725755397564918","7.919700299389682e-5","0.007919700299389681"
"22","B03W","SBend","SBend","2.945368","2.945367833837","1.661630002480763e-7","5.641502190832394e-8","5.641502190832394e-6","1.1855087754142346e-5","2.9455876","4.024693665244363e-6","0.0004024693665244363","1.677105526696101e-5","4.832558203596737","3.470430062172616e-6","0.0003470430062172616","3","3","2.204507157432229e-10","2.2930892086417756e-10","0.00963787707","2.3792472055692817e-8","2.3792472055692816e-6","2.7825185558438825e-10","0.0007805006290412253","10.730451030480992","7.273698252050449e-5","0.007273698252050449"
"23","D011","Drift","Drift","0.3772099999999998","0.37721","1.6653345369377348e-16","4.4148737757157437e-16","4.414873775715744e-14","4.63786024194436e-8","1.0","4.63786024194436e-8","4.637860241944361e-6","8.520539970846441e-8","2.5069054800754977","3.398827773351007e-8","3.398827773351007e-6","5","4","2.770829475267388e-14","3.4793626313422976e-12","0.00942399241","3.69202613920855e-10","3.69202613920855e-8","6.846075030660093e-12","0.000805769348836527","11.114912820348103","7.249443714586791e-5","0.007249443714586791"
"24","B03AW","SBend","SBend","1.643548000000001","1.6435479453577","5.4642300906238006e-8","3.3246550089342066e-8","3.3246550089342066e-6","1.0655413699156568e-5","1.6437157","6.482516227810301e-6","0.0006482516227810302","1.5072363172710117e-5","3.376945929540393","4.463311965069421e-6","0.0004463311965069421","3","3","2.1990385589209552e-10","2.1609560531775634e-10","0.008492028890000001","2.5446875901732395e-8","2.5446875901732395e-6","1.7593541098807897e-10","0.0009210421676441038","12.788403136049737","7.20216713412593e-5","0.00720216713412593"
"25","D012","Drift","Drift","0.5500699999999998","0.55007","1.1102230246251565e-16","2.018330439080766e-16","2.018330439080766e-14","4.320792383033423e-8","1.0","4.320792383033423e-8","4.320792383033423e-6","7.348339241385192e-8","2.570049541238394","2.8592208529351343e-8","2.8592208529351345e-6","5","4","3.989637053444263e-14","7.217457859663712e-12","0.00818012794","8.82316011754666e-10","8.82316011754666e-8","1.475201037715035e-11","0.0009701004382058898","13.347643636100143","7.267952791173929e-5","0.00726795279117393"
"26","DET_03W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.449489742783178","0.0","0.0","1","1","0.0","0.0","0.00818012794","0.0","0.0","0.0","0.0009701004382058898","13.347643636100143","7.267952791173929e-5","0.00726795279117393"
"27","D013","Drift","Drift","0.05940000000000012","0.0594","1.1796119636642288e-16","1.985878726707452e-15","1.985878726707452e-13","3.852864058115904e-8","1.0","3.852864058115904e-8","3.852864058115904e-6","7.06183722465549e-8","2.450929766898958","2.8812891009890046e-8","2.8812891009890047e-6","3","6","1.2269789857518652e-15","4.607564330072478e-12","0.008146446920000001","5.65591892431121e-10","5.65591892431121e-8","2.0850899132285328e-11","0.0009761873643858721","13.408033913090282","7.280615269273886e-5","0.007280615269273886"
