girder,parameter,step,observation_index,dx,dpx,dy,dpy,dz,dpz
GIRDER_4AB,z_offset,1e-05,31,0.003434316253199439,-0.0019804577045660168,0.0,0.0,-0.0002719941039563438,0.0
GIRDER_4AB,z_offset,1e-05,1177,-0.015105732555028454,-0.0013844867438865766,-4.632686098758341e-19,4.827547986252945e-19,0.00016317407090437838,1.7256318039009996e-06
GIRDER_4AB,x_pitch,1e-06,11,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_4AB,x_pitch,1e-06,12,-2.1175823681357508e-16,0.0,0.0,0.0,4.4932450873880463e-14,0.0
GIRDER_4AB,x_pitch,1e-06,14,-2.1175823681357508e-16,0.0,0.0,0.0,4.4932450873880463e-14,0.0
GIRDER_4AB,x_pitch,1e-06,16,-0.2296797386589088,-1.0835075347221996,0.0,0.0,2.76212150143707e-14,0.0
GIRDER_4AB,x_pitch,1e-06,18,-0.2459323516797514,-1.0835075347221996,0.0,0.0,2.718972568765755e-14,0.0
GIRDER_4AB,x_pitch,1e-06,20,-0.49243031582919666,-1.0835075347221996,0.0,0.0,1.5841501347125544e-13,0.0
GIRDER_4AB,x_pitch,1e-06,22,-4.960111444301512,-3.354309912234165,0.0,0.0,0.17559850769965824,0.0
GIRDER_4AB,x_pitch,1e-06,24,-6.279193817295019,-3.354309912234164,0.0,0.0,0.1755985076998592,0.0
GIRDER_4AB,x_pitch,1e-06,26,-6.6582308373796115,-3.354309912234164,0.0,0.0,0.17559850769983207,0.0
GIRDER_4AB,x_pitch,1e-06,28,-7.67458674079228,-3.354309912234163,0.0,0.0,0.17559850770004762,0.0
GIRDER_4AB,x_pitch,1e-06,30,-8.156160099416564,1.8417585645130592,0.0,0.0,0.17559850770061503,0.0
GIRDER_4AB,x_pitch,1e-06,31,-8.156160099416564,1.8417585645130592,0.0,0.0,0.17559850770061503,0.0
GIRDER_4AB,x_pitch,1e-06,1177,10.93517791826665,1.6528397678957971,-2.1992227005675083e-15,1.320188367964473e-15,-0.22733272309228797,-0.0024052171607552193
GIRDER_4AB,y_pitch,1e-06,11,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_4AB,y_pitch,1e-06,12,0.0,0.0,-4.2351647362715017e-16,0.0,0.0,0.0
GIRDER_4AB,y_pitch,1e-06,14,0.0,0.0,-4.2351647362715017e-16,0.0,0.0,0.0
GIRDER_4AB,y_pitch,1e-06,16,0.0,0.0,0.2398394714402765,1.1828591924200105,0.0,0.0
GIRDER_4AB,y_pitch,1e-06,18,0.0,0.0,0.25758235932658907,1.1828591924200105,0.0,0.0
GIRDER_4AB,y_pitch,1e-06,20,0.0,0.0,0.5266828256023294,1.1828591924200103,0.0,0.0
GIRDER_4AB,y_pitch,1e-06,22,0.0,0.0,1.6648306406625673,-0.488111169261526,0.0,0.0
GIRDER_4AB,y_pitch,1e-06,24,0.0,0.0,1.4728809233504492,-0.4881111692615255,0.0,0.0
GIRDER_4AB,y_pitch,1e-06,26,0.0,0.0,1.4177243612238903,-0.4881111692615255,0.0,0.0
GIRDER_4AB,y_pitch,1e-06,28,0.0,0.0,1.2698266769376305,-0.48811116926152504,0.0,0.0
GIRDER_4AB,y_pitch,1e-06,30,0.0,0.0,0.9857909996337908,-0.9739744758353983,0.0,0.0
GIRDER_4AB,y_pitch,1e-06,31,0.0,0.0,0.9857909996337908,-0.9739744758353983,0.0,0.0
GIRDER_4AB,y_pitch,1e-06,1177,-1.8386674053405268e-16,1.9765092996042462e-17,-1.2335960101451136,-0.8376097127017,-5.816113682013476e-20,7.573064690121713e-23
GIRDER_4AB,tilt,1e-06,11,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_4AB,tilt,1e-06,12,0.0,0.0,1.8611563782443123e-18,6.6174449004242214e-18,0.0,0.0
GIRDER_4AB,tilt,1e-06,14,0.0,0.0,2.6016484626017826e-18,6.6174449004242214e-18,0.0,0.0
GIRDER_4AB,tilt,1e-06,16,0.0,0.0,-0.0017944213664242243,-0.010775120612867574,0.0,0.0
GIRDER_4AB,tilt,1e-06,18,0.0,0.0,-0.0019560481756172375,-0.010775120612867574,0.0,0.0
GIRDER_4AB,tilt,1e-06,20,0.0,0.0,-0.004407388115044583,-0.010775120612867567,0.0,0.0
GIRDER_4AB,tilt,1e-06,22,0.0,0.0,-0.0328767275763491,-0.007739806549664713,0.0,0.0
GIRDER_4AB,tilt,1e-06,24,0.0,0.0,-0.0359204065020047,-0.007739806549664723,0.0,0.0
GIRDER_4AB,tilt,1e-06,26,0.0,0.0,-0.03679500464211681,-0.007739806549664723,0.0,0.0
GIRDER_4AB,tilt,1e-06,28,0.0,0.0,-0.03914016602666514,-0.007739806549664737,0.0,0.0
GIRDER_4AB,tilt,1e-06,30,0.0,0.0,-0.04696408809103441,-0.03251191202276181,0.0,0.0
GIRDER_4AB,tilt,1e-06,31,0.0,0.0,-0.04696408809103441,-0.03251191202276181,0.0,0.0
GIRDER_4AB,tilt,1e-06,1177,-1.0346851094172593e-17,-7.933479460499089e-19,-0.005156569491873205,0.05955967806973491,-3.7865323450608567e-22,0.0
GIRDER_4CD,x_offset,1e-05,33,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_4CD,x_offset,1e-05,34,0.09024296365744534,0.4909373183589262,0.0,0.0,4.2137242147941267e-13,0.0
GIRDER_4CD,x_offset,1e-05,36,0.17959355559984697,0.4909373183589262,0.0,0.0,4.2137242147941267e-13,0.0
GIRDER_4CD,x_offset,1e-05,37,0.17959355559984697,0.4909373183589262,0.0,0.0,4.2137242147941267e-13,0.0
GIRDER_4CD,x_offset,1e-05,38,0.27385352072589636,0.4909373183589262,0.0,0.0,4.2137242147941267e-13,0.0
GIRDER_4CD,x_offset,1e-05,40,0.40542472204767427,0.4909373183589262,0.0,0.0,4.2137242147941267e-13,0.0
GIRDER_4CD,x_offset,1e-05,42,1.4823515469769912,0.4910471051857805,0.0,0.0,-0.07478945623817315,0.0
GIRDER_4CD,x_offset,1e-05,44,1.6094099854453439,0.4910471051857805,0.0,0.0,-0.07478945623817315,0.0
GIRDER_4CD,x_offset,1e-05,46,1.7559811016100169,0.049963320698353846,0.0,0.0,-0.07478945623769809,0.0
GIRDER_4CD,x_offset,1e-05,48,1.7571802213067775,0.049963320698353846,0.0,0.0,-0.07478945623769809,0.0
GIRDER_4CD,x_offset,1e-05,50,1.761177286962646,0.049963320698353846,0.0,0.0,-0.07478945623769809,0.0
GIRDER_4CD,x_offset,1e-05,52,1.7662285786852503,0.049963320698353846,0.0,0.0,-0.0747894562376981,0.0
GIRDER_4CD,x_offset,1e-05,53,1.7662285786852503,0.049963320698353846,0.0,0.0,-0.0747894562376981,0.0
GIRDER_4CD,x_offset,1e-05,1177,-0.705075733293141,0.1623910273233009,-1.718809382917713e-16,-2.884449994774187e-17,-0.07309586554117416,-0.0007743053513740053
GIRDER_4CD,y_offset,1e-05,33,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_4CD,y_offset,1e-05,34,0.0,0.0,-0.09310063968774887,-0.5222047304344795,0.0,0.0
GIRDER_4CD,y_offset,1e-05,36,0.0,0.0,-0.1881419006281204,-0.5222047304344795,0.0,0.0
GIRDER_4CD,y_offset,1e-05,37,0.0,0.0,-0.1881419006281204,-0.5222047304344795,0.0,0.0
GIRDER_4CD,y_offset,1e-05,38,0.0,0.0,-0.28840520887290716,-0.5222047304344795,0.0,0.0
GIRDER_4CD,y_offset,1e-05,40,0.0,0.0,-0.42835607663125586,-0.5222047304344795,0.0,0.0
GIRDER_4CD,y_offset,1e-05,42,0.0,0.0,0.18511228780323966,1.0147399906206862,0.0,0.0
GIRDER_4CD,y_offset,1e-05,44,0.0,0.0,0.44767626038986025,1.0147399906206862,0.0,0.0
GIRDER_4CD,y_offset,1e-05,46,0.0,0.0,0.8849704981034382,0.8358874915928065,0.0,0.0
GIRDER_4CD,y_offset,1e-05,48,0.0,0.0,0.9050317979023665,0.8358874915928065,0.0,0.0
GIRDER_4CD,y_offset,1e-05,50,0.0,0.0,0.9719027972321271,0.8358874915928065,0.0,0.0
GIRDER_4CD,y_offset,1e-05,52,0.0,0.0,1.0564110226351122,0.8358874915928065,0.0,0.0
GIRDER_4CD,y_offset,1e-05,53,0.0,0.0,1.0564110226351122,0.8358874915928065,0.0,0.0
GIRDER_4CD,y_offset,1e-05,1177,-4.135903062765138e-18,-4.135903062765138e-19,1.2997059368317734,1.3044026054866165,-2.2333876538931747e-18,-6.462348535570528e-22
GIRDER_4CD,z_offset,1e-05,33,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_4CD,z_offset,1e-05,34,-0.0031573420975197913,-0.017176486671935946,0.0,0.0,1.4738373282224826e-14,0.0
GIRDER_4CD,z_offset,1e-05,36,-0.006283462671812194,-0.017176486671935946,0.0,0.0,1.4738373282224826e-14,0.0
GIRDER_4CD,z_offset,1e-05,37,-0.006283462671812194,-0.017176486671935946,0.0,0.0,1.4738373282224826e-14,0.0
GIRDER_4CD,z_offset,1e-05,38,-0.009581348112823934,-0.017176486671935946,0.0,0.0,1.4738373282224826e-14,0.0
GIRDER_4CD,z_offset,1e-05,40,-0.014184646540902837,-0.017176486671935946,0.0,0.0,1.4738373282224826e-14,0.0
GIRDER_4CD,z_offset,1e-05,42,0.022911882003456834,-0.017180327798280496,0.0,0.0,-0.0001811920328470659,0.0
GIRDER_4CD,z_offset,1e-05,44,0.01846647218565169,-0.017180327798280496,0.0,0.0,-0.0001811920328470659,0.0
GIRDER_4CD,z_offset,1e-05,46,0.01333836982057459,-0.0017480730839314117,0.0,0.0,-0.00018119203286163488,0.0
GIRDER_4CD,z_offset,1e-05,48,0.013296416066560235,-0.0017480730839314117,0.0,0.0,-0.00018119203286163488,0.0
GIRDER_4CD,z_offset,1e-05,50,0.013156570219845723,-0.0017480730839314117,0.0,0.0,-0.00018119203286163488,0.0
GIRDER_4CD,z_offset,1e-05,52,0.012979840031060256,-0.0017480730839314117,0.0,0.0,-0.00018119203286163488,0.0
