trial,q_hh_norm_m,q_hv_norm_m,q_vv_norm_m,q_total_norm_m,hh_relative_closure,hv_relative_closure,vv_relative_closure,total_relative_closure,total_signed_projection
18,9.4272143314407588e-07,7.6839393371752901e-08,4.2956770029827755e-06,4.2710732167758152e-06,0.45288529997196125,0.081949319606714019,0.10933351372715443,0.19997650128829872,0.99298175769363128
19,2.0480280229919695e-06,7.5887477744216031e-08,5.9659132283318235e-06,6.9512037419896965e-06,0.18798318318096247,0.097388398213094571,0.051353028615518034,0.098466062766060597,0.98267220729958071
20,2.0827224937678592e-06,4.8373574967265023e-08,4.1685140327963059e-06,4.6672323561585197e-06,0.42429032741500355,0.14292485249669273,0.12370954145518118,0.29903739428070886,0.92847838735080945
21,9.9663722778097471e-07,8.7117281573603008e-08,3.1368630753634203e-06,3.1871528468109798e-06,0.34146355760513913,0.17083872237010397,0.2157897218917284,0.28991956597542645,0.9409544334574228
22,1.098330542675849e-06,3.1097718985452717e-08,4.0845285271453266e-06,4.2805033610877015e-06,0.50974600469070863,0.87241199175522322,0.21530920276207202,0.30877674453955944,0.92073340249718749
23,1.0000503048092431e-06,7.3799699168517568e-08,3.0885581513891429e-06,2.928626021086289e-06,0.95630406827746917,0.36993070352879764,0.22775954446172297,0.47690237654615386,0.98567469984276967
24,2.0939321564825917e-06,4.8302264258288876e-08,6.6137974318706201e-06,7.4724706636705376e-06,0.44003307629794619,0.44150379583372368,0.19195867653783535,0.29272031276889676,0.94034647055692488
25,5.7172677438462717e-07,4.0037492137035493e-08,7.726438027029311e-06,7.7804231854707341e-06,0.32921930631344476,0.48803456466171513,0.23277420993266959,0.25749904752797126,0.92979153780186785
26,1.524151255442864e-06,3.2898995679652379e-08,7.3143039285807972e-06,7.2661268646122869e-06,0.48859859248417142,0.49579078654436959,0.20525972124816333,0.28279789820433454,0.91790713380855815
27,1.429849598463845e-06,6.047532356219121e-08,2.646156974829732e-06,2.2348474449401997e-06,0.82412162119818111,0.69810741301399537,0.11373303643789261,0.57463687643415151,0.93798719042970669
28,1.4121757007697291e-06,5.8383822858366312e-08,1.6673458552347182e-06,2.3168797169051978e-06,0.64646283003526817,0.3121420458314883,0.16043284684241438,0.44479865046922473,0.79966678967633487
29,1.0554188043345203e-06,4.68739409556977e-08,3.8850444194123267e-06,4.0436181746424539e-06,0.45772034402961398,0.3380938568121109,0.24828030594251554,0.31471950439813667,0.97949001750024212
30,1.78922793350985e-06,3.9682326008253174e-08,2.2913938099771686e-06,3.3703923119125367e-06,0.45454719213723516,0.39924809945312967,0.25985022966688065,0.42045652615337747,0.87505500537286995
31,1.5327223187119272e-06,3.5062453447584407e-08,1.034816716480737e-05,1.0180366564373638e-05,0.48249687684022219,0.2952610762983916,0.18142816881048218,0.23923157834890668,0.95984760249083034
32,2.4703366956172923e-06,6.5438858279565933e-08,6.8769264635090754e-06,6.8575655740241354e-06,0.53093899144926759,0.058686121076644358,0.15416316429605187,0.33902262738226108,0.91063041321454652
33,1.6501589659310383e-06,4.0054151764450776e-08,3.8546552211979463e-06,3.9366759629300216e-06,0.49384859505694095,0.62400281830684379,0.45912508498428067,0.60197816944953575,0.76592864701967767
34,2.2962431433573001e-06,4.903230750644407e-08,6.099427319113123e-06,6.0028955068021709e-06,0.37875749889303562,0.41362663003925204,0.12239596514816736,0.26874344826017382,0.92567086404422971
35,6.4070021097900331e-07,6.640516337568594e-08,6.99817110790164e-06,7.1224131299272998e-06,0.69731690121130174,0.22841250678197197,0.26868262810887716,0.30704824261169061,0.9128832352732027
36,3.0409796028212159e-06,2.4598527730649673e-08,3.4385622816527777e-06,3.8775357235923435e-06,0.37222610130018163,0.22715108257194205,0.12772466459887535,0.40400076894849868,0.88693284129669459
37,3.125383597382273e-06,4.9947082692232822e-08,4.2185206291717475e-06,4.8308477266026827e-06,0.34072220968634165,0.34525043179501258,0.21179263372874202,0.40021187560328331,0.88600587183853763
38,1.1656792768152333e-06,2.2862672184483639e-08,3.3407288164485564e-06,3.7297467307044298e-06,0.67502459507792834,0.72954786716328279,0.2166459449843057,0.4077214709296143,0.93401592927552524
39,1.0349789681945029e-06,2.549806492183148e-08,2.1890768105707319e-06,2.3802122751404345e-06,0.43113290385355307,0.22658920934855578,0.089178875314303199,0.25612761477938484,1.003554324908523
40,1.2302644573862051e-06,5.5903849183461239e-08,4.1351623485263666e-06,4.2541171886754018e-06,0.84746346542576845,0.71566957275853738,0.24580890520944529,0.41700345707993131,0.87569330720533167
41,1.0965818715036151e-06,2.5721760006028694e-08,3.9545065032358144e-06,3.9447721966628298e-06,0.33590145052798576,0.27978616900974379,0.18136086842150795,0.27299066298308799,0.91601751480221705
42,3.2674998716660004e-07,5.8376499799924181e-08,4.0511323350867202e-06,4.0482243780867571e-06,0.72510379012746784,0.11854284608930055,0.2418993832908751,0.29929310155032812,0.94592405550289238
43,1.3285971383039074e-06,5.9608080819277437e-08,4.0032454179454192e-06,4.2843235335443944e-06,0.53610798049395625,0.20025802724389991,0.13384966159648326,0.2902725654192625,0.95318710972250364
44,5.7194136843031848e-07,3.8377328890157743e-08,2.9110921014235542e-06,2.7903841054182173e-06,0.39841110524580342,0.26499773731244169,0.21450777931298151,0.29870750259198303,0.92491498838437447
45,1.7838723402391297e-06,3.9832236921146522e-08,8.3508356325553896e-06,8.5303480402384119e-06,0.49136238619272027,0.15559076793747534,0.16372972574341171,0.26327484801499484,0.93483967638905685
46,2.1270139645661369e-06,6.1417071178399372e-08,4.4609317136323712e-06,4.5489756790065878e-06,0.32553813863008929,0.34252538184455861,0.31458243736037017,0.44524597585968739,0.80111956257523531
47,1.2206272986358676e-06,2.2806778780646464e-08,3.3746563773407852e-06,3.4766155877064392e-06,0.71512134093556257,0.62909568407888217,0.13893196098678257,0.33562825288467785,0.82619344484497248
48,4.9342933816330402e-06,7.9922092386919114e-08,2.6647522645606671e-06,5.3684138038037347e-06,0.59465796696576467,0.16375741439456454,0.098478259574025909,0.58543821083623215,0.58194666537145612
49,7.2401729731425127e-07,4.4298282905943633e-08,2.4253810742846313e-06,2.4048095777251213e-06,0.57536859904805193,0.38833403380446252,0.26684802146175024,0.39791498196841152,0.90985102494554282
50,1.9898173871793809e-06,2.7454957197777319e-08,2.6697657545520638e-06,2.733428300766556e-06,0.42282560136419151,0.11075422252246879,0.10277679734688946,0.40259762484281297,0.96991001559920509
