acquisition,method,target,target_index,relative_x_rmse_um,relative_y_rmse_um,relative_rmse_2d_um,relative_median_2d_um,relative_p90_2d_um,relative_p95_2d_um,relative_p99_2d_um,relative_max_2d_um,absolute_x_rmse_um,absolute_y_rmse_um,absolute_rmse_2d_um,absolute_median_2d_um,absolute_p90_2d_um,absolute_p95_2d_um,absolute_p99_2d_um,absolute_max_2d_um
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_32E,53,6.026705294115247,5.535002883897965,8.182752203682789,7.319522141956584,11.064095897245245,12.594440936740968,13.585189231342577,13.832876304992979,6.065404435355476,5.5561744339087875,8.225582368711137,7.344210448641815,11.035028475584893,12.620385582432446,13.562453068377652,13.797969939863954
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_31E,54,6.657168681775004,6.756835396733124,9.485395059571932,4.580454925856362,15.781612157250134,20.247372452199222,22.402623693356226,22.94143650364548,6.7037511291121366,6.672221433204643,9.458267180344805,4.546001747592824,15.546183860554127,19.989257138774388,22.58631012993483,23.235573377724943
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_30E,55,14.293938318243466,16.869724067151694,22.11117958743011,12.398696405520106,34.16413708180505,42.9061154100642,51.849814546451064,54.08573933054778,14.249889187561505,16.95828356330637,22.150456502548415,12.561783665214353,34.3847437179823,42.88322151650813,51.60303935278867,53.782993811858816
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_29E,56,16.055659641987237,6.346134676480255,17.264345683267667,9.592317562812951,27.899861204216073,43.24186226651264,43.77084211764544,43.903087080428634,16.031522893903134,6.369314730765408,17.250446267771903,9.714749052992511,28.174236303414112,43.131357068035385,43.466627260194514,43.550444808234296
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_28E,57,21.80986941985542,16.771186286741592,27.512598815374275,26.831426202074546,38.60420799364374,39.66223643558321,41.04877061281758,41.39540415712617,21.789660295619576,16.708584146257177,27.458442781247754,26.624786409264054,38.53596213940324,39.57162632195637,40.98556446132382,41.33904899616568
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_27E,58,8.434145709734857,9.036846430204266,12.361205736340386,8.053613582219192,19.086317460967198,22.4989109879766,23.821034373920526,24.151565220406507,8.39898487925331,9.064380736021686,12.357424696492663,8.192871989670593,19.210858371694187,22.490377360643826,23.734806654897756,24.04591397846124
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_26E,59,17.7492487840026,10.33033940814718,20.536595255395582,19.72068456885598,28.172401544777152,30.227614627177562,32.25096733906905,32.756805517041926,17.76243534189338,10.267336423160959,20.516391166608972,19.624026887892157,28.117087592179914,30.125389243385314,32.37471736168317,32.93704939125763
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_25E,60,11.040993438659997,8.853341433526474,14.152215043982682,10.555987513618428,21.490223602281112,23.341209897408852,25.00758613429484,25.42418019351634,11.076859904409286,8.869783463745826,14.190485687095032,10.374570204045726,21.858782908790413,23.7555995225647,25.380781838488353,25.78707741746927
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_24E,61,54.58269588235611,38.887343670379316,67.01862567618025,45.25975070512129,98.88263224266728,120.49106222697417,143.16990735372275,148.83961863540992,54.58030222018362,38.79897035672714,66.9654350481558,44.96674320433122,98.6740602932176,120.24256841017731,143.12039950009964,148.83985727258025
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_23E,62,8.870393793382325,7.164840676748782,11.402579882327931,9.266708291148401,14.574021240688987,17.629832814148834,24.67793159239374,26.439956286954974,8.804752697740124,7.165457886024075,11.351980302341376,9.268992607028643,14.606381360148898,17.570008113175735,24.593095361990812,26.348867174194584
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_22E,63,19.017123021548805,12.442547304399048,22.725931255702804,17.32550747638918,32.30292961922237,41.444501597252646,48.43924619575279,50.18793234537783,19.111477630698356,12.436861423981629,22.80184420848467,17.11655188680577,32.728430211649155,41.98805522126197,48.64480979047977,50.30899843278422
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_21E,64,18.369607437116226,14.258672930278633,23.2540798813115,16.649724386447758,35.54479755278095,46.948293959706646,52.910507103407475,54.401060389332685,18.452271776300588,14.364602875938562,23.384356939840824,16.860109503021064,35.94779655857485,47.26884403632433,52.89464066684926,54.3010898244805
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_20E,65,30.194559879752436,12.977599078063431,32.86532403861109,30.855598291289148,42.90682922492948,48.06737248140036,56.768580422310094,58.94388240753754,30.294050442408682,12.998450958231043,32.964969581674715,30.88661687985344,43.18498190529006,48.36933693346013,56.76880794128711,58.86867569324386
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_19E,66,12.220225396987178,11.168490441166863,16.555032089597592,11.888872383986026,25.74450412533044,31.411749029900307,32.64648173248115,32.95516490812636,11.720622043711819,12.702856517190002,17.28396785428218,13.986198572791118,26.64640114250058,33.31028533944019,33.333912376709804,33.33981913602721
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_18E,67,44.33987619019872,16.703655698368397,47.381818604310524,45.648688147153564,64.5590114111075,67.90557607150699,72.33708005364014,73.44495604917343,44.30150786262811,16.707570840077782,47.34729688460279,45.562880471093536,64.56944027684101,68.03434841245611,72.52654338631457,73.6495921297792
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_17E,68,12.644228640435118,14.969079858869618,19.594638800774455,9.45565922029234,35.27993960635111,39.77487683413288,40.85312102170737,41.122682068600994,12.82095774607018,15.01243963576086,19.742094654414984,9.527045307345583,35.426031429376664,39.844000553016286,40.85111004157118,41.10288741370991
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_16E,69,16.71775511157773,10.851657650571019,19.930925962831726,16.886766730334866,31.30200322406484,32.1515075036437,32.52633578587976,32.62004285643877,16.669342481814873,10.814775548432937,19.87023776755127,16.470863349363487,30.945658285779906,32.187651007777994,32.542740185929624,32.631512480467535
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_15E,70,13.557382131910193,7.6979098666866195,15.590395331301544,10.182184256820975,27.67704235508272,30.75981544486881,31.235310719453324,31.354184538099453,14.574686141788725,8.584531151218764,16.914953479625467,15.031046421948211,28.74842407287165,30.29050873680611,31.27540655220788,31.521631006058325
