sample_id,Q1,Q2,Qx_fractional,Qy_fractional,slip_tps_constant,xi_1,xi_2,slip_factor,bmad_physics_seconds,xi_1_finite_difference,xi_2_finite_difference
99,10.5300927243068,9.57845425530626,0.5300927243067992,0.5784542553062604,0.0,-1.16945874273355,-0.93016599134188,8.842032426065359,0.6794409609865397,-1.1694587449539995,-0.930165991963605
100,10.5298928037869,9.57770580162865,0.5298928037869004,0.5777058016286496,0.0,-1.17557393162215,-0.930463157455819,8.84172076887055,0.6968596030492336,-1.1755739349972316,-0.930463154968919
101,10.5299903661655,9.57885252595757,0.5299903661654994,0.5788525259575703,0.0,-1.16711840245642,-0.942625919098106,8.842174996809195,0.6825886990409344,-1.1671184049433236,-0.9426259190092877
102,10.5300827757184,9.57850384331079,0.5300827757183999,0.5785038433107896,0.0,-1.16761359221229,-0.926183839577987,8.84228799756154,0.6370947640389204,-1.167613594965644,-0.9261838409990729
103,10.5299351150477,9.57904726104225,0.5299351150476994,0.5790472610422501,0.0,-1.16572536512649,-0.925975650378774,8.842612395135026,0.6840117210522294,-1.165725365037673,-0.9259756504675919
104,10.5299267645701,9.57808073459895,0.5299267645700994,0.5780807345989505,0.0,-1.16379986385695,-0.958907189829716,8.84261942580096,0.7194174230098724,-1.1637998650115833,-0.9589071904514411
105,10.5300488592534,9.57880404338011,0.5300488592533998,0.57880404338011,0.0,-1.16899767199641,-0.938364122582413,8.84282689611664,0.6789512941613793,-1.1689976699535976,-0.9383641225824134
106,10.5301406361307,9.57738602220941,0.5301406361306995,0.57738602220941,0.0,-1.17232703651382,-0.937736507289344,8.8413417880828,0.67954231495969,-1.1723270399777164,-0.9377365084439758
107,10.5302271137075,9.57782018461367,0.5302271137075003,0.5778201846136692,0.0,-1.17614122085996,-0.930878776372879,8.841825306023782,0.6341253858990967,-1.1761412250343994,-0.9308787760176073
108,10.5301270829756,9.57823663262164,0.5301270829756,0.5782366326216408,0.0,-1.17148902321063,-0.924870850393944,8.841660211695133,0.6722632620949298,-1.1714890249869825,-0.924870851459758
