trial,family,element_count,contribution_norm_m,projection_numerator
26,normal_sextupole,76,8.3155140005590725e-06,6.4330685617048174e-11
26,octupole,2,3.2289368326142898e-09,1.9634725103171843e-15
26,other_sextupole,6,1.8313789737453141e-09,1.4489389030673111e-15
26,quadrupole,122,1.9419776584063965e-07,1.2880294530302796e-14
26,rfcavity,4,1.1810150106154218e-08,1.0935967293407141e-14
26,sbend,98,1.2671299898186922e-06,2.7165019275958841e-13
26,wiggler,3,2.5239039452098587e-09,9.8115251713511369e-16
27,drift,562,9.3121775503954289e-07,-4.7699405877291631e-13
27,kicker,82,2.6236744995516125e-07,2.7185435666315449e-13
27,marker,222,2.0681368895997537e-20,1.1525302819716863e-25
27,normal_sextupole,76,1.4887305938541055e-05,2.0808132618093694e-10
27,octupole,2,6.4227027509879955e-09,-2.1927299698052868e-14
27,other_sextupole,6,2.1532414852013207e-09,-4.7349447509941844e-15
27,quadrupole,122,2.8524597128193284e-07,4.4242226857769192e-14
27,rfcavity,4,1.8994567984943301e-08,4.5210611448084576e-14
27,sbend,98,1.6279622752385132e-06,-3.7820780542259176e-12
27,wiggler,3,3.2475727080178619e-09,2.3688531295548695e-14
28,drift,562,7.0535096564232452e-07,-2.1775478973494021e-12
28,kicker,82,2.1040362446647965e-07,7.2008191318048802e-13
28,marker,222,2.9912627652629155e-20,1.7634561624099523e-25
28,normal_sextupole,76,1.938927081579574e-05,3.6025067339404056e-10
28,octupole,2,7.2627234366922056e-09,-5.6385143626453949e-14
28,other_sextupole,6,1.1204730616874633e-09,-5.3772785506675127e-15
28,quadrupole,122,2.1567682813389486e-07,-1.7781922058620722e-13
28,rfcavity,4,1.1207915648364595e-08,8.6678656962648785e-14
28,sbend,98,1.6746895010784689e-06,-6.3118794366685607e-12
28,wiggler,3,9.2821125729382566e-10,8.7690725424616529e-15
29,drift,562,5.7780089062130666e-07,2.1195075476413384e-12
29,kicker,82,2.5525350063394085e-07,1.0027265264942563e-12
29,marker,222,2.3672209400535365e-20,1.311396166122522e-25
29,normal_sextupole,76,1.2814383574703898e-05,1.6890932395603006e-10
29,octupole,2,1.9706967726895795e-09,-6.7688786891195444e-15
29,other_sextupole,6,1.8885547344510686e-09,7.8617890492489244e-15
29,quadrupole,122,2.2817470176367751e-07,8.1055909413348668e-13
29,rfcavity,4,3.769431742052926e-09,6.876229454260862e-15
29,sbend,98,1.16766413552003e-06,5.7364808191492218e-12
29,wiggler,3,5.9246773109439294e-09,6.9901605437647778e-15
30,drift,562,7.7411818481214157e-07,3.4712118545429296e-12
30,kicker,82,1.2189556044821282e-07,6.4860093426019044e-13
30,marker,222,3.8591479393493724e-20,1.0805668073936282e-25
30,normal_sextupole,76,1.865238228503061e-05,3.5332035679166887e-10
30,octupole,2,9.0597547158041088e-09,4.4060824261329354e-14
30,other_sextupole,6,1.3114922495769884e-09,5.2827291487024413e-15
30,quadrupole,122,1.7614985469378764e-07,8.4192570025792866e-13
