trial,q_total_norm_m,all_element_total_relative_closure,all_element_total_signed_projection,family_partition_absolute_error_m,family_partition_relative_closure
28,1.8770647140147955e-05,2.1112740038612719e-14,0.99999999999999378,1.0863197548536402e-19,2.8710714049751043e-14
29,1.3363890049076505e-05,1.2239239446392307e-14,0.99999999999999767,5.4633625097902372e-20,1.8507274481517033e-14
30,1.9123319078843377e-05,1.6082191180441701e-14,0.99999999999999734,9.4867690092481638e-20,2.4990344809929087e-14
31,1.1330694555502735e-05,8.7625409031551869e-15,0.99999999999999578,3.6845933205562065e-20,1.3289287098979323e-14
32,1.2835500287319574e-05,1.0923212183562885e-14,0.99999999999999734,4.1504614415460717e-20,1.4670373924938482e-14
33,5.2587547067349292e-06,5.3436842116086603e-15,1.0000000000000016,1.5352472168984194e-20,1.3595563389262147e-14
34,2.3302324295702005e-05,1.988516583636024e-14,0.99999999999999012,1.32560656245298e-19,2.400486697313147e-14
35,8.6282078338362542e-06,1.9723575256315102e-14,0.99999999999999423,4.3410438546782892e-20,2.6949578614330834e-14
36,1.6012199650240989e-05,8.848163856894757e-15,1.0000000000000018,6.0986372202309624e-20,1.6751342701930875e-14
37,9.256912276047784e-06,1.219367629382044e-14,1.0000000000000056,3.4728350837426314e-20,1.7700250914964346e-14
38,1.2868675954264951e-05,1.0498321885104268e-14,0.99999999999999512,3.7322389238392609e-20,1.203764175600483e-14
39,1.9806974231537975e-05,1.7568639216215443e-14,0.99999999999999378,1.0460856898590609e-19,2.4101457838516688e-14
40,1.2423772795030655e-05,1.1271610609289135e-14,1.0000000000000007,4.8280877993495119e-20,1.6132580805959272e-14
41,9.6563451781006381e-06,1.4870483496303753e-14,0.99999999999999623,3.8116482626443515e-20,2.0266241340439979e-14
42,5.5997331901086373e-06,1.7900270830760956e-14,0.99999999999999545,3.5575383784680614e-20,2.6199307917532089e-14
43,1.598905716621242e-05,1.2536244763607774e-14,0.99999999999999167,6.7339119306716877e-20,1.5615871596033875e-14
44,1.1495142099546086e-05,1.2445143598050857e-14,1.0000000000000004,4.7433845046240819e-20,1.6579984096264996e-14
45,1.0809724254918292e-05,1.1924861984084463e-14,0.99999999999999489,4.1504614415460717e-20,1.3669442199774363e-14
46,1.0240158682688097e-05,1.2843309454190884e-14,1.000000000000006,2.9646153153900512e-20,1.465321139441634e-14
47,1.396218915733637e-05,7.34237129682059e-15,0.99999999999999512,3.8857636455291028e-20,1.1315303549628102e-14
48,2.0474391598058038e-05,1.2050414833523704e-14,1.0000000000000016,8.2956289271718039e-20,1.9054968635499205e-14
49,1.4574850654734464e-05,1.0151706352987431e-14,1.0000000000000029,6.0774613965496049e-20,1.5388886612840655e-14
50,1.073182393602235e-05,1.1711225390037687e-14,0.99999999999999645,3.5998900258307764e-20,1.5801824495458704e-14
51,1.1033117371170033e-05,3.5991640620328661e-15,1.0000000000000018,2.0699367648526965e-20,8.4660193506311625e-15
52,1.1752034251898791e-05,1.6775541105692218e-15,0.99999999999999967,1.8052389688357276e-20,7.6731260212746517e-15
53,1.0546593763181049e-05,1.7134897855785691e-14,0.99999999999999323,5.5480658045156672e-20,2.4860299964867203e-14
54,1.4176957785393622e-05,1.492604181012341e-14,1.0000000000000013,6.3527471044072525e-20,2.0981560471127946e-14
55,2.4700200266101298e-06,1.5033912900274327e-14,1,1.0561442061077057e-20,1.8964061605203235e-14
56,1.116636896340669e-05,1.3853426724595385e-14,0.99999999999999878,4.5104504441291493e-20,1.8811681952917639e-14
57,6.8726036613136069e-06,3.9454256662285821e-15,0.99999999999999933,1.4611318340136681e-20,8.4020516524830539e-15
58,2.9817907951961665e-05,8.8038327859214649e-15,0.99999999999999856,7.7927031147395631e-20,1.3296110636650033e-14
59,9.4027981760117748e-06,1.7678302711820572e-14,1.0000000000000033,4.7142677470622153e-20,2.4861579180522144e-14
60,2.4310142327751089e-05,2.0306474802626895e-14,1.0000000000000009,1.2980779916672153e-19,2.698389087441842e-14
