element_order,element_index,element_name,element_type,s_m,k2l_m2,eta_total,magnitude_total
53,53,girder_4cd_end,Marker,11.586100000000023,0,2.5116038573850873e-18,5.8592172747510308e-17
54,54,d022,Drift,11.801050000000023,0,1.5948888202751081e-05,0.0001230131216907867
55,55,det_s5a,Marker,12.016000000000023,0,0,0
56,56,d023!s1,Drift,12.895500000000011,0,6.518210654517958e-05,0.00050333007198857024
57,57,sector_5,Marker,13.775,0,-2.9512304745346342e-18,1.6762007696848322e-17
58,58,d023!s2,Drift,14.662000000000011,0,6.5737951683426195e-05,0.0005076222556610262
59,59,det_s5c,Marker,15.549000000000023,0,-5.9930582406836552e-34,1.7171468181850788e-31
60,60,d024,Drift,15.744950000000022,0,1.4511240817100284e-05,0.00011213956864814018
61,61,girder_5ab_start,Marker,15.940900000000022,0,6.169190670235478e-18,3.1423621365870339e-17
62,62,vx5a,Kicker,15.979000000000021,0,2.8215273035588643e-06,2.1804121283461765e-05
63,63,d025,Drift,16.07305000000002,0,4.1434239536458262e-06,3.2019437947759634e-05
64,64,det_ix5a,Marker,16.129000000000019,0,-1.581379803951721e-33,1.0193208493992944e-31
65,65,d026,Drift,16.149000000000019,0,1.4800735752686107e-06,1.1445614811582129e-05
66,66,qx5a,Quadrupole,16.369000000000018,0,8.611467067150757e-05,0.00063991380849887558
67,67,d027,Drift,16.576500000000017,0,7.882637786575809e-06,6.0773973900352767e-05
68,68,det_x5a,Marker,16.584000000000017,0,-1.9032536957487347e-18,3.0731971721484595e-16
69,69,d028,Drift,16.613250000000015,0,3.0757028480396939e-05,0.00023704271735181936
70,70,hx5a,Kicker,16.727000000000018,0,8.8853637832262455e-05,0.00068479007234967704
71,71,d029,Drift,16.856375000000014,0,4.7187065061798025e-05,0.00036366810055253569
72,72,dqx5b,SBend,18.075000000000017,0,0.00043610090083914105,0.0051527394262145965
73,73,d030,Drift,19.365375000000018,0,0.00012549198693305615,0.00094967643895180502
74,74,hx5b,Kicker,19.566500000000019,0,9.0924526438106688e-05,0.00068808282179144611
75,75,d031,Drift,19.703000000000017,0,5.5953554731137603e-05,0.00042343558264088243
76,76,det_x5b,Marker,19.755000000000017,0,2.3152167170651962e-33,1.772522915416107e-31
77,77,d032,Drift,19.772500000000019,0,1.8818790294245523e-05,0.00014249036543807504
78,78,vx5b,Kicker,19.924000000000017,0,0.00014409816568183541,0.0010910690839259069
79,79,d033,Drift,20.08750000000002,0,3.1723103638906411e-05,0.00024019804459562237
80,80,qx5b,Quadrupole,20.298000000000016,0,0.00013421811881381254,0.0010608175507544407
81,81,girder_5ab_end,Marker,20.479000000000017,0,5.8497356170001333e-18,5.9526633660621029e-17
82,82,d034,Drift,20.662500000000019,0,0.00010046184875612349,0.0008704134162626654
83,83,girder_5cd_start,Marker,20.846000000000018,0,5.6244214136791761e-18,5.9597495345209086e-17
84,84,qx5c,Quadrupole,21.027000000000015,0,0.00013317165829642645,0.0010692146936807844
85,85,d035,Drift,21.261000000000017,0,5.6466108137349523e-05,0.00043580111927923822
86,86,vx5c!s1,Kicker,21.352000000000018,0,4.0485134136199072e-05,0.00031246117986058215
87,87,det_x5c,Marker,21.390000000000018,0,-1.1048354711484347e-19,1.9333188678303597e-17
88,88,vx5c!s2,Kicker,21.486000000000018,0,0.000102317082568091,0.0007894434485113018
89,89,d036,Drift,21.629500000000018,0,5.0625639812331619e-05,0.00039061003962798411
90,90,hx5c,Kicker,21.761500000000019,0,9.0060348718767988e-05,0.00069487470207503217
91,91,d037,Drift,21.96112500000002,0,0.00012270056386096587,0.00094671538551940946
92,92,dqx5d,SBend,23.250000000000021,0,0.00074318691415762575,0.0045910307871635872
93,93,d038,Drift,24.468625000000017,0,4.4311083165291876e-05,0.0003465075539012509
94,94,hx5d,Kicker,24.59800000000002,0,8.3438139887790475e-05,0.00065247661960237627
95,95,d039,Drift,24.719250000000017,0,3.628818509914798e-05,0.0002837694174010269
96,96,qx5d,Quadrupole,24.956000000000017,0,8.2322513760535839e-05,0.00062811408325397851
97,97,d040,Drift,25.168000000000017,0,9.1247568053029835e-07,6.9982253763588869e-06
98,98,det_x5d,Marker,25.180000000000017,0,0,0
99,99,d041,Drift,25.220000000000017,0,3.030805654265144e-06,2.3327750727897432e-05
100,100,det_s6a,Marker,25.260000000000016,0,1.1103713526898384e-33,7.1337320034911616e-32
101,101,d042,Drift,25.272450000000013,0,9.3997996897040093e-07,7.2608626729131222e-06
102,102,vx5d,Kicker,25.323000000000015,0,2.8765652062486011e-06,2.2219989384579738e-05
103,103,girder_5cd_end,Marker,25.361100000000015,0,9.6482393527189278e-20,1.7409632957834005e-17
104,104,d043!s1,Drift,26.455550000000009,0,8.2631411810422923e-05,0.00063828523312217786
105,105,sector_6,Marker,27.550000000000001,0,0,0
106,106,d043!s2,Drift,28.632950000000008,0,8.1763157220618085e-05,0.0006315784121793262
107,107,girder_6ab_start,Marker,29.715900000000016,0,0,0
108,108,vx6a,Kicker,29.754000000000016,0,2.8765652062466783e-06,2.2219989384578749e-05
109,109,d044,Drift,29.848050000000015,0,4.2242473304336399e-06,3.2630141891531759e-05
110,110,det_s6c,Marker,29.904000000000014,0,0,0
111,111,d045,Drift,29.924000000000014,0,1.5043303701548069e-06,1.1663887342330642e-05
112,112,qx6a,Quadrupole,30.144000000000013,0,8.5968916320906279e-05,0.00062209954535399719
113,113,d046,Drift,30.351500000000012,0,8.0255105408432833e-06,5.9746307027672926e-05
114,114,det_x6a,Marker,30.359000000000012,0,0,0
115,115,d047,Drift,30.38825000000001,0,3.1303562981828401e-05,0.00023303085420123366
116,116,hx6a,Kicker,30.502000000000013,0,9.0432515280884453e-05,0.00067320024547017575
117,117,d048,Drift,30.631375000000009,0,4.8025551754234805e-05,0.00035751314811213237
118,118,dqx6b,SBend,31.850000000000009,0,0.00046624729279795297,0.0048232404618997601
119,119,d049,Drift,33.137875000000008,0,0.00011626197116893212,0.0008860819779103492
120,120,hx6b,Kicker,33.336500000000008,0,8.6082248094402952e-05,0.00065606946009572585
121,121,d050,Drift,33.475500000000011,0,5.5520503208888123e-05,0.00042314539142268077
122,122,det_x6b,Marker,33.530000000000008,0,6.0909596176557529e-17,3.2606446213681027e-16
123,123,d051,Drift,33.547500000000007,0,1.7830844618239054e-05,0.00013586815115197506
124,124,vx6b,Kicker,33.699000000000005,0,0.00013653332450481271,0.001040361843106621
125,125,d052,Drift,33.862500000000004,0,3.0057709499220558e-05,0.00022903488337048099
126,126,qx6b,Quadrupole,34.073000000000008,0,0.00013707905128248883,0.001059588044707499
127,127,girder_6ab_end,Marker,34.254000000000005,0,-4.8170261371449135e-19,7.9542206637478546e-17
128,128,d053,Drift,34.4375,0,0.00010917640048359737,0.00088007371777577327
129,129,girder_6cd_start,Marker,34.621000000000002,0,6.8752724797657908e-19,5.8165681035515899e-17
130,130,qx6c,Quadrupole,34.802000000000007,0,0.00013300405664810042,0.0010613345974673735
131,131,d054,Drift,35.036000000000008,0,5.1778688055559798e-05,0.0004118875439509831
132,132,vx6c!s1,Kicker,35.12700000000001,0,3.7124342379442213e-05,0.00029531559754976064
133,133,det_x6c,Marker,35.165000000000006,0,3.6103361348218695e-17,2.02249331947337e-16
134,134,vx6c!s2,Kicker,35.26100000000001,0,9.3734641060577527e-05,0.00074607857841633898
135,135,d055,Drift,35.402000000000008,0,4.3938112997159378e-05,0.00034972433363265491
136,136,hx6c,Kicker,35.531500000000008,0,8.2506012183519356e-05,0.00065670458204354686
137,137,d056,Drift,35.733625000000011,0,0.00011484934536199192,0.00091414054985647798
138,138,dqx6d,SBend,37.025000000000006,0,0.00067379814337697531,0.0039405616687790421
139,139,d057,Drift,38.243124999999999,0,3.9528932077371162e-05,0.00033237496615917
140,140,hx6d,Kicker,38.372,0,7.5271994603673989e-05,0.00063291683696790402
141,141,d058,Drift,38.493250000000003,0,3.2736636706331423e-05,0.00027526264803041776
142,142,qx6d,Quadrupole,38.729999999999997,0,7.1162703416203005e-05,0.0005768662864788594
143,143,d059,Drift,38.942,0,8.1471529930830562e-07,6.0440655446796946e-06
144,144,det_x6d,Marker,38.954000000000001,0,-2.446762706936894e-18,7.9354430107505768e-17
145,145,d060,Drift,38.994,0,2.7134698347862909e-06,2.0148231666633286e-05
146,146,det_s7a,Marker,39.033999999999999,0,-1.6222544477182363e-18,1.5460084123256119e-17
147,147,d061,Drift,39.04645,0,8.4385286708239333e-07,6.2715489809641973e-06
148,148,vx6d,Kicker,39.097000000000001,0,2.5823931113145162e-06,1.9192451098377085e-05
149,149,girder_6cd_end,Marker,39.135100000000001,0,3.1637634894813768e-33,1.710149962357672e-31
