trial,element_order,element_index,element_name,s_m,k2l_m2,projection_numerator,contribution_norm_m
49,58,646,sex_26e,575.4652636369724,0.23959555200000002,-5.7917373709686979e-13,2.3159485365986553e-07
49,59,654,sex_25e,583.66900563697243,-0.39789247999999999,3.5292227576347795e-12,1.6792688430521278e-06
49,60,662,sex_24e,591.87254763697251,0.13653937599999999,-1.2321715812122389e-13,1.2670052614903941e-07
49,61,672,sex_23e,602.07849063697267,-0.52328991999999996,2.1161597402715819e-13,1.0786577430007411e-07
49,62,680,sex_22e,610.28253263697275,0.26098780799999999,6.7795852108164324e-13,2.6242666792269896e-07
49,63,688,sex_21e,618.48397463697268,-0.23266553600000003,-1.590758370779194e-12,7.4135362972536539e-07
49,64,696,sex_20e,626.6882166369727,0.033397248000000004,8.2595833774133474e-15,9.0339147162266376e-09
49,65,704,sex_19e,634.89685863697275,-0.21855716800000005,-2.0290029783655795e-13,1.0974444262302914e-07
49,66,710,sex_18e,641.55715863697276,0.078795680000000007,-1.0772355308089447e-14,4.4603569074252492e-09
49,67,718,sex_17e,649.75740063697276,-0.12589873600000001,4.6243889969253181e-14,2.9814496742604152e-08
49,68,726,sex_16e,657.96494263697286,0.11064116800000003,-1.6375846572830479e-16,3.5031239079138769e-08
49,69,734,sex_15e,666.170984636973,-0.34512176,2.4698712816202552e-13,1.7154404096307816e-07
49,70,742,sex_14e,676.29422663697301,-0.003429376,-8.5861344179550751e-15,3.7842248705763302e-09
49,71,750,sex_13e,684.4977186369731,0.32600287999999999,1.8400870159990014e-12,7.8706645078857275e-07
49,72,758,sex_12e,693.16336063697315,0.123680304,3.0400979866881777e-13,1.5665493295268147e-07
49,73,766,sex_11e,701.36620363697318,-0.19755985600000003,-1.5876655534070235e-13,1.4676718677118556e-07
49,74,774,sex_10e,709.57139563697331,-0.052495728000000005,5.0281661528838514e-16,1.4414047850832085e-09
49,75,780,sex_09e,716.08206563697331,-0.24212868800000004,1.0243213450108123e-13,1.3802374161229694e-07
49,76,796,sex_08e,725.51569563697319,0.043414736000000002,-1.0903996244472728e-13,6.7629156835738967e-08
50,1,72,sex_08w,42.907498779194889,0.043392432000000002,-5.4230560896663203e-14,6.1088060274293836e-08
50,2,84,sex_09w,52.349828779194887,-0.24198398400000001,8.7496848000649812e-14,1.8332093061099789e-07
50,3,92,sex_10w,58.855398779194886,-0.052531632000000002,3.4062009436005834e-13,2.2938789112065941e-07
50,4,102,sex_11w,67.328070779194888,-0.19752585600000003,2.2491109239533762e-12,9.8393259395124191e-07
50,5,108,sex_12w,75.264033779194889,0.12366072000000002,1.0237238790619356e-12,3.585502655156708e-07
50,6,116,sex_13w,83.932825779194886,0.32583968000000002,1.2468960727273548e-11,4.1194053826187857e-06
50,7,124,sex_14w,92.133917779194888,-0.0034363392000000001,-6.2181258723073952e-14,2.2604068421120214e-08
50,8,132,sex_15w,102.25810977919488,-0.34508368000000006,4.5144808148210379e-13,2.5139965770976593e-07
50,9,140,sex_16w,110.46430177919488,0.11048177600000003,-3.5089361362338783e-14,6.7566899076272249e-08
50,10,150,sex_17w,118.66539277919489,-0.125842432,5.5999403015994309e-13,4.6617145554256948e-07
50,11,158,sex_18w,126.86413477919488,0.078568559999999996,-3.9437152307091367e-13,1.7157978104343686e-07
50,12,164,sex_19w,133.52943477919487,-0.21847203200000001,1.2117233680124151e-12,6.1987568774013886e-07
50,13,172,sex_20w,141.73732677919489,0.033388272000000004,7.4622598235861592e-15,4.6531168039092796e-08
50,14,180,sex_21w,149.93926877919489,-0.23265928000000002,7.6275068478573006e-13,6.3511803598550669e-07
50,15,188,sex_22w,158.14596077919489,0.26101228800000004,3.1525978850471237e-13,1.7021150367849151e-07
50,16,196,sex_23w,166.3497027791949,-0.52340416000000001,-1.6938031059229974e-12,9.5359756127883309e-07
50,17,206,sex_24w,176.55229577919491,0.13662179200000002,-7.481945993404397e-14,3.3820127343094083e-07
50,18,214,sex_25w,184.75808777919491,-0.39794144000000004,-2.3471398916145264e-12,3.2704187599590031e-06
50,19,222,sex_26w,192.96452977919492,0.23971496000000006,1.192742248897885e-13,7.6443502820821962e-08
50,20,232,sex_27w,201.39422177919491,-0.40337600000000007,-2.6586097747657289e-13,3.28323822804944e-07
50,21,240,sex_28w,209.59741377919488,0.14284324800000006,-4.88252422681526e-14,3.1890752594961082e-07
50,22,250,sex_29w,218.02560577919488,-0.14515660800000002,6.0674206806174997e-13,7.2736437261599407e-07
50,23,260,sex_30w,227.30979777919487,0.28505872000000004,-4.2025507319993922e-13,3.3156701961902421e-07
50,24,268,sex_31w,235.74123977919484,-0.50427440000000001,3.5014278842878347e-15,2.7184277283686391e-09
50,25,276,sex_32w,243.94043177919482,0.30627744000000001,-4.0776489622643943e-13,3.5684456352369055e-07
50,26,284,sex_33w,252.37312377919483,-0.49414784,3.1263979193077082e-12,3.8413518551244526e-06
50,27,292,sex_34w,258.31562377919482,0.17423313600000001,-7.9633379189980838e-13,1.4163798822908345e-06
50,28,298,sex_35w,266.24257577919485,-0.16527236800000006,4.2199579922296329e-13,1.8181864975068749e-06
50,29,310,sex_36w,277.21423877919489,0.16991948800000006,4.6902242355905005e-14,3.7561555807718863e-07
50,30,318,sex_37w,285.22943077919496,-0.037644799999999999,2.3177596725660761e-14,9.5515528395735886e-08
50,31,326,sex_38w,293.43187277919498,0.20518374400000003,-1.1139830219070672e-14,2.6223460765901475e-08
50,32,334,sex_39w,301.86131477919497,-0.45719936,1.4162653855492075e-14,2.1692822396779391e-06
50,33,342,sex_40w,310.06725677919502,0.24519304000000003,-2.1518820239161249e-13,9.829211520537991e-07
50,34,350,sex_41w,318.27219977919509,-0.49659312,3.7519064344893636e-13,1.3237180437760927e-06
50,35,358,sex_42w,326.47714177919511,0.11078288,2.5256868181105592e-14,1.4056163286092127e-07
50,36,366,sex_43w,334.67708377919513,-0.022612475200000003,-9.5507732569572781e-16,4.4352716439146517e-08
50,37,376,sex_44w,345.68227077919522,-0.10419966400000001,-1.3983246085213866e-14,6.8686979149477587e-08
50,38,388,sex_45w,352.02348077919532,0.039331744000000002,1.9231582884231355e-14,5.1488220969015222e-08
50,39,480,sex_45e,416.40351263697158,0.039202544000000006,-1.7205077964731142e-14,2.460249037301021e-08
50,40,492,sex_44e,422.74312263697158,-0.104066112,2.9940225893754528e-14,5.5213927909984423e-08
50,41,502,sex_43e,433.74671063697156,-0.0224741904,-1.4693407192032332e-16,1.7673440373271882e-09
50,42,510,sex_42e,441.95415263697157,0.110769824,-3.6093178899989587e-14,1.0025186129856592e-07
50,43,518,sex_41e,450.15579463697156,-0.49661216000000002,1.2215119232702099e-12,1.3170617812399416e-06
50,44,526,sex_40e,458.35913663697158,0.24519358400000002,-2.9984169362631967e-13,2.4733561811931632e-07
50,45,534,sex_39e,466.56317863697166,-0.45728368000000003,2.5068221839686124e-13,2.1375135564824637e-07
50,46,544,sex_38e,474.99622063697166,0.205352384,3.3600888507416571e-16,2.9906797532838166e-09
50,47,552,sex_37e,483.19826263697166,-0.037763935999999998,-4.5168074557903966e-15,4.4245509888177497e-08
50,48,560,sex_36e,491.2136046369717,0.16982945599999999,7.4619316716415061e-14,1.4936051888223977e-07
50,49,572,sex_35e,502.18641763697167,-0.165141808,-1.2158075586391681e-13,1.0191934516191754e-07
50,50,578,sex_34e,510.10486963697167,0.17428128000000001,-3.7738727368113347e-14,3.015511934082773e-08
50,51,584,sex_33e,516.05336963697175,-0.49391936000000003,4.7208083019345783e-13,3.1008446359192872e-07
50,52,592,sex_32e,524.48571163697181,0.30635088000000005,6.3292686820609373e-14,4.4301322476278114e-08
50,53,600,sex_31e,532.68725363697195,-0.50422272000000001,-2.7563187759225674e-13,2.5251705774126464e-07
50,54,608,sex_30e,541.115995636972,0.28501520000000002,-8.9494214681191228e-14,2.0554541156535538e-07
50,55,618,sex_29e,550.40073763697205,-0.145252624,-1.4448031649312145e-13,2.5799015214314282e-07
50,56,628,sex_28e,558.82987963697212,0.14307091200000002,-3.9263407046538723e-14,2.9607287159664318e-08
50,57,636,sex_27e,567.03492163697229,-0.40346848000000007,1.5506823173116229e-12,9.3844921142327686e-07
50,58,646,sex_26e,575.4652636369724,0.23959555200000002,-1.3039226977397037e-13,2.195540897539694e-07
50,59,654,sex_25e,583.66900563697243,-0.39789247999999999,1.2491792379476745e-13,1.1449962491674269e-07
50,60,662,sex_24e,591.87254763697251,0.13653937599999999,-3.4760328561381887e-13,2.2448133842325643e-07
50,61,672,sex_23e,602.07849063697267,-0.52328991999999996,1.7772425927199474e-12,1.5665652229443947e-06
50,62,680,sex_22e,610.28253263697275,0.26098780799999999,1.1914834249098742e-15,9.4933035956003688e-09
50,63,688,sex_21e,618.48397463697268,-0.23266553600000003,-2.6787759153841347e-13,3.2141321928738366e-07
50,64,696,sex_20e,626.6882166369727,0.033397248000000004,7.9914965006772269e-14,5.5574224238090364e-08
50,65,704,sex_19e,634.89685863697275,-0.21855716800000005,-8.8239423254967407e-13,8.4027329425833989e-07
