index,element_id,name,key,s,length,p0c,x,px,y,py,z,pz,beta_a,alpha_a,phi_a,beta_b,alpha_b,phi_b,eta_x,etap_x,eta_y,etap_y
13,0>>13,D004,Drift,2.3540000000000227,0.1119,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.835233766909186,-0.20910531756303347,0.20462427065465555,4.783494478553777,-0.9063509006155401,0.7263247401395228,-0.00015868365276054441,1.177781695744039e-05,3.3738266833896994e-20,-1.440092854959162e-19
14,0>>14,DET_S4C,Marker,2.3540000000000227,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.835233766909186,-0.20910531756303347,0.20462427065465555,4.783494478553777,-0.9063509006155401,0.7263247401395228,-0.00015868365276054441,1.177781695744039e-05,3.3738266833896994e-20,-1.440092854959162e-19
15,0>>15,D005,Drift,2.3940000000000228,0.04,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.852103293038306,-0.2126328356649618,0.20800160987058808,4.856611802927056,-0.9215822087164521,0.7346237378078243,-0.0001582125400822468,1.177781695744039e-05,2.7977895414060347e-20,-1.440092854959162e-19
16,0>>16,QX4A,Quadrupole,2.7940000000000227,0.4,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,9.321237174993037,6.011574819473979,0.24452277309534928,7.084890201255962,-5.099153487548235,0.8057086030145852,-0.0001346042233251408,0.00010383082999966499,-2.850290209788796e-20,-1.4416769226552775e-19
17,0>>17,D006,Drift,2.809000000000023,0.015,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,9.141786408204673,5.951809633083641,0.24614771985387843,7.238722307867984,-5.156320286586536,0.8078031690469559,-0.00013304676087514582,0.00010383082999966499,-3.0665417481870874e-20,-1.4416769226552775e-19
18,0>>18,DET_X4A,Marker,2.809000000000023,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,9.141786408204673,5.951809633083641,0.24614771985387843,7.238722307867984,-5.156320286586536,0.8078031690469559,-0.00013304676087514582,0.00010383082999966499,-3.0665417481870874e-20,-1.4416769226552775e-19
19,0>>19,D007,Drift,2.867500000000023,0.0585,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,8.459060108408844,5.718725406161324,0.25280018302414475,7.855054386599197,-5.379270802835911,0.8155612564165214,-0.0001269726573201654,0.00010383082999966499,-3.909922747940425e-20,-1.4416769226552775e-19
20,0>>20,HX4A,Kicker,3.036500000000023,0.169,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,6.639927820359278,5.045370972830185,0.2753519607809821,9.782097314446597,-6.023350072000772,0.8348419665350321,-0.00010942524705022203,0.00010383082999966499,-6.346356747227843e-20,-1.4416769226552775e-19
21,0>>21,D008,Drift,3.126250000000023,0.08975,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,5.766377884849482,4.687775940927998,0.2898569181692237,10.8939874616493,-6.365398086246608,0.8435361840952561,-0.0001001064300577521,0.00010383082999966499,-7.640261785310954e-20,-1.4416769226552775e-19
22,0>>22,DQX4B,SBend,5.473750000000023,2.3475,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,2.556106573583873,-2.365840885798848,2.3378493224180423,9.023021706053067,6.38630683346351,0.9964833712716832,0.10700588450468669,0.10877064389035457,-2.190528116722596e-19,4.813352057305145e-20
23,0>>23,D009,Drift,5.698000000000023,0.22425,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,3.7469775760180366,-2.9446206635173766,2.4103735659237127,6.3916432154514515,5.347822444581597,1.0260167628545154,0.1313977013970987,0.10877064389035457,-2.082588696837528e-19,4.813352057305145e-20
24,0>>24,HX4B,Kicker,5.867000000000022,0.169,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,4.815974094875178,-3.3808025249864126,2.4501676685121123,4.716343009030615,4.565196528322764,1.056802272910089,0.1497799402145686,0.10877064389035457,-2.001243047069071e-19,4.813352057305145e-20
25,0>>25,D010,Drift,5.980000000000023,0.113,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,5.612991715161741,-3.6724507518858274,2.4719033553715697,3.743740844071735,4.0419022766230706,1.0836975004326386,0.1620710229741787,0.10877064389035457,-1.9468521688215228e-19,4.813352057305145e-20
26,0>>26,DET_X4B,Marker,5.980000000000023,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,5.612991715161741,-3.6724507518858274,2.4719033553715697,3.743740844071735,4.0419022766230706,1.0836975004326386,0.1620710229741787,0.10877064389035457,-1.9468521688215228e-19,4.813352057305145e-20
27,0>>27,D011,Drift,6.015000000000023,0.035,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,5.873224941049958,-3.7627842734918406,2.4779992186279602,3.466480564870351,3.879819986273608,1.0934132788918987,0.1658779955103411,0.10877064389035457,-1.930005436620955e-19,4.813352057305145e-20
28,0>>28,VX4B,Kicker,6.283000000000023,0.268,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,8.075452021808166,-4.454480953217886,2.516923690557541,1.7195084357151198,2.638732734454867,1.2034060946927632,0.19502852807295612,0.10877064389035457,-1.8010076014851771e-19,4.813352057305145e-20
29,0>>29,D012,Drift,6.342000000000023,0.059,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,8.610065088251034,-4.606757461068023,2.523999383820388,1.4242582145553448,2.365508302151487,1.2411162591613212,0.20144599606248703,0.10877064389035457,-1.7726088243470769e-19,4.813352057305145e-20
30,0>>30,QX4B,Quadrupole,6.704000000000023,0.362,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,10.385601092181277,0.005509040058471193,2.5611301257421566,0.4168518794423276,0.585448500997634,1.7466820358020212,0.22143830723965985,-9.015954738136878e-06,-1.758021945096581e-19,-3.995168919956852e-20
31,0>>31,GIRDER_4AB_END,Marker,6.704000000000023,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,10.385601092181277,0.005509040058471193,2.5611301257421566,0.4168518794423276,0.585448500997634,1.7466820358020212,0.22143830723965985,-9.015954738136878e-06,-1.758021945096581e-19,-3.995168919956852e-20
32,0>>32,D013,Drift,7.071000000000023,0.367,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,10.394526671227412,-0.029829418930774017,2.5964596863722433,0.4209885805076898,-0.5967201660258687,2.81433755527571,0.22143499838427094,-9.015954738136878e-06,-1.9046446444589975e-19,-3.995168919956852e-20
33,0>>33,GIRDER_4CD_START,Marker,7.071000000000023,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,10.394526671227412,-0.029829418930774017,2.5964596863722433,0.4209885805076898,-0.5967201660258687,2.81433755527571,0.22143499838427094,-9.015954738136878e-06,-1.9046446444589975e-19,-3.995168919956852e-20
34,0>>34,QX4C,Quadrupole,7.433000000000023,0.362,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,8.632984407049067,4.594813482137998,2.6335251532853627,1.438396633001933,-2.3835342848752807,3.3144713202286145,0.20143665612373224,-0.10878542211669893,-2.231054367659072e-19,-1.4313266133397307e-19
35,0>>35,D014,Drift,7.539000000000023,0.106,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,7.687663558986612,4.323307725998363,2.646537045519424,1.995896210006294,-2.8758956868639736,3.377072317961206,0.18990540137936215,-0.10878542211669893,-2.3827749886730833e-19,-1.4313266133397307e-19
36,0>>36,VX4C#1,Kicker,7.615000000000023,0.07600000000000073,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,7.045315286969408,4.128643221596359,2.6568640391876124,2.45986140589912,-3.2289095222520965,3.4113786659228698,0.18163770929849296,-0.10878542211669893,-2.491555811286904e-19,-1.4313266133397307e-19
37,0>>37,DET_X4C,Marker,7.615000000000023,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,7.045315286969408,4.128643221596359,2.6568640391876124,2.45986140589912,-3.2289095222520965,3.4113786659228698,0.18163770929849296,-0.10878542211669893,-2.491555811286904e-19,-1.4313266133397307e-19
38,0>>38,VX4C#2,Kicker,7.807000000000023,0.19199999999999928,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,5.554338820011614,3.6368592104755133,2.687561541346848,3.870992952282704,-4.120733948495763,3.4736395581261976,0.16075090825208685,-0.10878542211669893,-2.766370521048131e-19,-1.4313266133397307e-19
39,0>>39,D015,Drift,7.906000000000023,0.099,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,4.859344733280146,3.383283079741326,2.70661862511147,4.732423124093272,-4.580580918277656,3.4967719719811927,0.14998115146253366,-0.10878542211669893,-2.9080718557687645e-19,-1.4313266133397307e-19
40,0>>40,HX4C,Kicker,8.075000000000022,0.169,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,3.788950485356862,2.9504106949526627,2.7460144982704735,6.413323002793753,-5.365572210127553,3.527453112664255,0.13159641512481154,-0.10878542211669893,-3.149966053423179e-19,-1.4313266133397307e-19
41,0>>41,D016,Drift,8.301250000000023,0.22625,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,2.5850040338166456,2.370899588098017,2.8183709950672164,9.079013471074461,-6.416485108240211,3.557107663839908,0.10698371337090841,-0.10878542211669893,-3.4738036996912935e-19,-1.4313266133397307e-19
42,0>>42,DQX4D,SBend,10.648750000000023,2.3475,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,5.629338112419449,-4.572815043600556,4.853782303408529,10.92747582140662,6.395827845055431,3.7093431603531264,-0.00020519254144582555,-0.00017333663440774472,-2.2206358191709785e-19,2.274977338062606e-19
43,0>>43,D017,Drift,10.738500000000023,0.08975,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,6.481510509623278,-4.922142028308397,4.868641100643797,9.810315699234975,6.051638697247027,3.7180115510499525,-0.00022074950438392063,-0.00017333663440774472,-2.0164566030798596e-19,2.274977338062606e-19
44,0>>44,HX4D,Kicker,10.907500000000024,0.169,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,8.256360286893361,-5.579927659680266,4.8917454057361125,7.874392585588386,5.40352765569137,3.737240849776338,-0.0002500433955988295,-0.00017333663440774472,-1.6319854329472793e-19,2.274977338062606e-19
45,0>>45,D018,Drift,10.981000000000023,0.0735,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,9.097636412789901,-5.866006025986966,4.900226149443989,7.100791522416216,5.121656877263319,3.7470703722520176,-0.00026278363822779873,-0.00017333663440774472,-1.4647745985996778e-19,2.274977338062606e-19
46,0>>46,QX4D,Quadrupole,11.381000000000023,0.4,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.567381363289368,0.20711021137418584,4.93764600355316,4.85979508247771,0.9334425534265325,3.818052167944499,-0.00029760215539529944,2.8322439337436227e-06,-7.010936676329194e-20,1.6214843330653595e-19
47,0>>47,D019,Drift,11.405000000000022,0.024,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.557492004284395,0.2049464138330098,4.939721692275609,4.8152116347465626,0.9242011020379606,3.82301347783933,-0.0002975341815408896,2.8322439337436227e-06,-6.621780436393508e-20,1.6214843330653595e-19
48,0>>48,DET_X4D,Marker,11.405000000000022,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.557492004284395,0.2049464138330098,4.939721692275609,4.8152116347465626,0.9242011020379606,3.82301347783933,-0.0002975341815408896,2.8322439337436227e-06,-6.621780436393508e-20,1.6214843330653595e-19
49,0>>49,D020,Drift,11.485000000000023,0.08,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.525277590748761,0.197733755362423,4.946653331758335,4.669803845457442,0.8933962640760541,3.839884973383873,-0.0002973076020261901,2.8322439337436227e-06,-5.324592969941221e-20,1.6214843330653595e-19
50,0>>50,DET_IX4D,Marker,11.485000000000023,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.525277590748761,0.197733755362423,4.946653331758335,4.669803845457442,0.8933962640760541,3.839884973383873,-0.0002973076020261901,2.8322439337436227e-06,-5.324592969941221e-20,1.6214843330653595e-19
51,0>>51,D021,Drift,11.509900000000023,0.0249,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.515486348736442,0.19548881541345287,4.9488147203043775,4.625551452851264,0.8838082582604108,3.8452425741422274,-0.0002972370791522399,2.8322439337436227e-06,-4.920843371007946e-20,1.6214843330653595e-19
52,0>>52,VX4D,Kicker,11.586100000000023,0.0762,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.486217351625555,0.18861875822021895,4.955440370317715,4.493094904834071,0.8544666501016949,3.8619581230170295,-0.00029702126216448865,2.8322439337436227e-06,-3.6852723092121424e-20,1.6214843330653595e-19
53,0>>53,GIRDER_4CD_END,Marker,11.586100000000023,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.486217351625555,0.18861875822021895,4.955440370317715,4.493094904834071,0.8544666501016949,3.8619581230170295,-0.00029702126216448865,2.8322439337436227e-06,-3.6852723092121424e-20,1.6214843330653595e-19
54,0>>54,D022,Drift,12.016000000000023,0.4299,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.34070544749168,0.1498597347639032,4.993116097513689,3.8295890494658855,0.6889291521039002,3.96578244144123,-0.00029580368049737224,2.8322439337436227e-06,3.2854888386358384e-20,1.6214843330653595e-19
55,0>>55,DET_S5A,Marker,12.016000000000023,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.34070544749168,0.1498597347639032,4.993116097513689,3.8295890494658855,0.6889291521039002,3.96578244144123,-0.00029580368049737224,2.8322439337436227e-06,3.2854888386358384e-20,1.6214843330653595e-19
56,0>>56,D023#1,Drift,13.775,1.7589999999999777,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.092455769758914,-0.008728593358121761,5.1505972352821825,2.5973445904395334,0.011607777416490994,4.557432342833471,-0.0002908217634179173,2.8322439337436227e-06,3.180739825725515e-19,1.6214843330653595e-19
57,0>>57,SECTOR_5,Marker,13.775,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.092455769758914,-0.008728593358121761,5.1505972352821825,2.5973445904395334,0.011607777416490994,4.557432342833471,-0.0002908217634179173,2.8322439337436227e-06,3.180739825725515e-19,1.6214843330653595e-19
58,0>>58,D023#2,Drift,15.549000000000023,1.7740000000000222,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.407159623605793,-0.16866929494338578,5.308965409153517,3.7679747740884117,-0.6714895043887928,5.160373662215371,-0.00028579736267945604,2.8322439337436227e-06,6.057253032583499e-19,1.6214843330653595e-19
59,0>>59,DET_S5C,Marker,15.549000000000023,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.407159623605793,-0.16866929494338578,5.308965409153517,3.7679747740884117,-0.6714895043887928,5.160373662215371,-0.00028579736267945604,2.8322439337436227e-06,6.057253032583499e-19,1.6214843330653595e-19
60,0>>60,D024,Drift,15.940900000000022,0.3919,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.553209623869003,-0.2040023056261728,5.343109815562916,4.35342799549498,-0.822394704354682,5.257287465319416,-0.0002846874062818219,2.8322439337436227e-06,6.692712742711814e-19,1.6214843330653595e-19
61,0>>61,GIRDER_5AB_START,Marker,15.940900000000022,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.553209623869003,-0.2040023056261728,5.343109815562916,4.35342799549498,-0.822394704354682,5.257287465319416,-0.0002846874062818219,2.8322439337436227e-06,6.692712742711814e-19,1.6214843330653595e-19
62,0>>62,VX5A,Kicker,16.01710000000002,0.0762,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.584823073604555,-0.21087236281940672,5.349696427579035,4.4809967789803276,-0.8517363125133979,5.27454081877623,-0.0002844715892940707,2.8322439337436227e-06,6.816269848891394e-19,1.6214843330653595e-19
63,0>>63,D025,Drift,16.12900000000002,0.1119,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.633145234608937,-0.22096106885514,5.359335684016832,4.676436942809229,-0.8948245796126145,5.298987983035285,-0.00028415466119788475,2.8322439337436227e-06,6.997713945761408e-19,1.6214843330653595e-19
64,0>>64,DET_IX5A,Marker,16.12900000000002,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.633145234608937,-0.22096106885514,5.359335684016832,4.676436942809229,-0.8948245796126145,5.298987983035285,-0.00028415466119788475,2.8322439337436227e-06,6.997713945761408e-19,1.6214843330653595e-19
65,0>>65,D026,Drift,16.16900000000002,0.04,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.65096637328676,-0.22456739809043338,5.3627715110811565,4.748639005937476,-0.9102269985935677,5.307476329302327,-0.00028404137144053503,2.8322439337436227e-06,7.062573319084022e-19,1.6214843330653595e-19
66,0>>66,QX5A,Quadrupole,16.569000000000017,0.4,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,9.174051980882936,5.899890465556787,5.399901153460453,6.938157156178147,-5.00577976907947,5.380123719836667,-0.0002486850344617268,0.00017030582099200676,8.625925781043281e-19,6.355070664551764e-19
67,0>>67,D027,Drift,16.584000000000017,0.015,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,8.997933500351747,5.841341569855869,5.401552124550648,7.0891755880504235,-5.062115689072264,5.382262527133622,-0.0002461304471468467,0.00017030582099200676,8.721251841011557e-19,6.355070664551764e-19
68,0>>68,DET_X5A,Marker,16.584000000000017,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,8.997933500351747,5.841341569855869,5.401552124550648,7.0891755880504235,-5.062115689072264,5.382262527133622,-0.0002461304471468467,0.00017030582099200676,8.721251841011557e-19,6.355070664551764e-19
69,0>>69,D028,Drift,16.642500000000016,0.0585,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,8.327854467232775,5.613000876622287,5.408310171720656,7.694296163818234,-5.281825777044158,5.390183492080823,-0.0002361675566188143,0.00017030582099200676,9.093023474887835e-19,6.355070664551764e-19
70,0>>70,HX5A,Kicker,16.811500000000017,0.169,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,6.542141171608704,4.953349985058607,5.431208202644083,9.58682062385344,-5.916543808962965,5.409862037093719,-0.00020738587287116514,0.00017030582099200676,1.0167030417197085e-18,6.355070664551764e-19
71,0>>71,D029,Drift,16.901250000000015,0.08975,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,5.684455850235809,4.603032425781446,5.445926098718564,10.679092861331421,-6.253620396919846,5.418732283212299,-0.00019210092543713253,0.00017030582099200676,1.0737398009340606e-18,6.355070664551764e-19
72,0>>72,DQX5B,SBend,19.248750000000015,2.3475,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,2.540341743567223,-2.3289477601082007,7.473596437189679,8.890880127953075,6.273604347935741,5.574376038221759,0.10700566940003801,0.10879746370825902,9.780487889599887e-19,-6.999276383963214e-19
73,0>>73,D030,Drift,19.482000000000017,0.23325,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,3.764376263218547,-2.9187886585469927,7.549095530012913,6.211205274511171,5.214819461032764,5.605769027403039,0.13238267780998944,0.10879746370825902,8.147906673040468e-19,-6.999276383963214e-19
74,0>>74,HX5B,Kicker,19.651000000000018,0.169,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,4.823151678254635,-3.346154625690212,7.588767947020048,4.578242406670674,4.4476827155382175,5.6374663148177415,0.15076944917668522,0.10879746370825902,6.965028964150685e-19,-6.999276383963214e-19
75,0>>75,D031,Drift,19.755000000000017,0.104,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,5.546503262295365,-3.609149067009116,7.608876809886146,3.702221153550376,3.9755985644646503,5.662730131900603,0.16208438540234416,0.10879746370825902,6.237104220218511e-19,-6.999276383963214e-19
76,0>>76,DET_X5B,Marker,19.755000000000017,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,5.546503262295365,-3.609149067009116,7.608876809886146,3.702221153550376,3.9755985644646503,5.662730131900603,0.16208438540234416,0.10879746370825902,6.237104220218511e-19,-6.999276383963214e-19
77,0>>77,D032,Drift,19.790000000000017,0.035,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,5.802241468049616,-3.697656811683747,7.615046498760145,3.429489860625015,3.8167240905456614,5.6725527913553835,0.16589229663213323,0.10879746370825902,5.992129546779799e-19,-6.999276383963214e-19
78,0>>78,VX5B,Kicker,20.058000000000018,0.268,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,7.9658135263552685,-4.375373256620923,7.6544771882621285,1.7097543256570396,2.6001995473945456,5.7834559230458,0.19505001690594664,0.10879746370825902,4.1163234758776573e-19,-6.999276383963214e-19
79,0>>79,D033,Drift,20.11700000000002,0.059,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,8.490910298042607,-4.524572026215302,7.661651224113639,1.4187319803133975,2.332382577073964,5.8213471706100774,0.20146906726473393,0.10879746370825902,3.703366169223828e-19,-6.999276383963214e-19
80,0>>80,QX5B,Quadrupole,20.479000000000017,0.362,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,10.228075497209149,0.022760397498915452,7.699328676940776,0.4245104599281806,0.5799524531488445,6.322968501336313,0.22146870990212564,4.048637993303572e-06,1.4362605197684694e-19,-5.716998160561844e-19
81,0>>81,GIRDER_5AB_END,Marker,20.479000000000017,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,10.228075497209149,0.022760397498915452,7.699328676940776,0.4245104599281806,0.5799524531488445,6.322968501336313,0.22146870990212564,4.048637993303572e-06,1.4362605197684694e-19,-5.716998160561844e-19
82,0>>82,D034,Drift,20.846000000000018,0.367,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,10.224544744698491,-0.013139818450800936,7.735224207739494,0.42282186402273525,-0.5753513743874128,7.37061502274127,0.22147019575226917,4.048637993303572e-06,-6.618778051577272e-20,-5.716998160561844e-19
83,0>>83,GIRDER_5CD_START,Marker,20.846000000000018,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,10.224544744698491,-0.013139818450800936,7.735224207739494,0.42282186402273525,-0.5753513743874128,7.37061502274127,0.22147019575226917,4.048637993303572e-06,-6.618778051577272e-20,-5.716998160561844e-19
84,0>>84,QX5C,Quadrupole,21.208000000000016,0.362,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,8.481843945935875,4.529296787866783,7.772928313098379,1.412960696596939,-2.3250243947595832,7.874452773711712,0.20147326138859506,-0.10879082750717003,-2.8568879285196905e-19,-6.594890067226792e-19
85,0>>85,D035,Drift,21.314000000000018,0.106,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,7.55013358100884,4.260423635973172,7.786174659541651,1.956804919345775,-2.805581480229437,7.9382441022359815,0.18994143367283503,-0.10879082750717003,-3.55594627564573e-19,-6.594890067226792e-19
86,0>>86,VX5C#1,Kicker,21.39000000000002,0.07599999999999985,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,6.9172002385799525,4.067646659143792,7.796691350360319,2.4094391319413453,-3.1501318433965015,7.973252365056288,0.18167333078229012,-0.10879082750717003,-4.0571579207549654e-19,-6.594890067226792e-19
