trial,element_order,element_index,element_name,element_type,s_m,k2l_m2,projection_numerator,contribution_norm_m
1,165,165,hs7c,SBend,43.069000000000003,0,-1.6992106810405901e-15,5.5476604120616031e-10
1,166,166,d067,Drift,43.155500000000004,0,-9.7318429914324715e-16,3.1772964178230363e-10
1,167,167,det_s7c,Marker,43.187000000000005,0,0,0
1,168,168,det_9w,Marker,43.187000000000005,0,0,0
1,169,169,d068,Drift,43.192250000000008,0,-1.5887980698723483e-16,5.2835567973045734e-11
1,170,170,q09w,Quadrupole,43.268000000000001,0,-2.1272107254720693e-15,7.1119795462842414e-10
1,171,171,d069,Drift,43.803249999999998,0,-1.3908273656679628e-14,4.708945484939273e-09
1,172,172,rf_w1,RFCavity,45.167999999999999,0,-2.6933209229991086e-14,9.1188178439083982e-09
1,173,173,d070,Drift,46.667499999999997,0,-1.7940169809717064e-14,6.0740307323431732e-09
1,174,174,rf_w2,RFCavity,48.166999999999994,0,-2.6932188030811672e-14,9.1184720949402777e-09
1,175,175,d071,Drift,49.342999999999989,0,-8.2590477457142942e-15,2.7962784276538238e-09
1,176,176,det_9aw,Marker,49.618999999999993,0,0,0
1,177,177,d072,Drift,49.667999999999992,0,-1.4321808816640737e-15,4.9406365676997439e-10
1,178,178,q09aw,Quadrupole,50.016999999999996,0,-2.3656922365188713e-14,7.9437619140534364e-09
1,179,179,d073,Drift,50.346999999999994,0,-4.3578669879715102e-15,1.4633192856861952e-09
1,180,180,sex_09aw,Sextupole,50.512999999999991,0.61250385707040012,-6.9223602277789586e-12,2.358611031843586e-06
1,181,181,d074,Drift,50.74199999999999,0,-1.2566285379000337e-14,4.219607389413939e-09
1,182,182,hkick_9aw,Kicker,50.866999999999997,0,-4.3238831411752108e-15,1.451907918942765e-09
1,183,183,d075,Drift,50.925499999999992,0,-3.5807157262656582e-15,1.2023612453677401e-09
1,184,184,det_i10w,Marker,50.951999999999991,0,0,0
1,185,185,d076,Drift,51.206299999999992,0,-3.3961879543603214e-14,1.1507018105324845e-08
1,186,186,det_10w,Marker,51.460599999999992,0,0,0
1,187,187,d077,Drift,51.502799999999993,0,-5.5618600759551157e-15,1.9037672412437749e-09
1,188,188,q10w,Quadrupole,51.844999999999999,0,-1.0610930117958756e-14,3.6662965380638588e-09
1,189,189,d078,Drift,52.183999999999997,0,-3.4061560712850223e-16,1.1997281111976203e-10
1,190,190,sex_10w,Sextupole,52.358999999999995,-0.24066952067328001,4.7157249778339879e-12,1.6019826259007952e-06
1,191,191,d079,Drift,53.219000000000001,0,-7.0702168326999748e-15,2.4902963073129764e-09
1,192,192,det_i10aw1,Marker,53.942999999999998,0,1.0781540905176276e-42,2.5150433456947939e-36
1,193,193,d080,Drift,53.950699999999998,0,-7.7707902723331186e-17,2.666837549865743e-11
1,194,194,sk_q10aw,Quadrupole,54.034399999999998,0,-7.6698709187092474e-16,2.6322032961629807e-10
1,195,195,d081,Drift,54.161700000000003,0,-5.1771628700230266e-16,1.776737224874654e-10
1,196,196,det_i10aw2,Marker,54.213000000000001,0,4.3173347439657643e-41,1.481655019250832e-35
1,197,197,d082,Drift,54.4129425,0,-2.0815738644095022e-15,6.971030222069091e-10
1,198,198,fdbk_10w1_v,Kicker,55.252135000000003,0,-6.6551438179741598e-15,2.2287563021682589e-09
1,199,199,d083,Drift,56.039134999999995,0,-1.5382049262443639e-15,5.1513295837939758e-10
1,200,200,fdbk_10w2_h,Kicker,56.825634999999998,0,-6.6499383867463121e-15,2.2270130434240625e-09
1,201,201,d084,Drift,57.524985000000001,0,-6.3089826416498785e-16,2.1128295957888969e-10
1,202,202,det_i10aw3,Marker,57.585585000000002,0,-3.1340633379530406e-27,1.0495736240879013e-21
1,203,203,d085,Drift,57.626585000000006,0,-4.3607241498926293e-16,1.4361517404481823e-10
1,204,204,det_i10aw4,Marker,57.667585000000003,0,-3.2018119342263693e-27,1.0544780233439399e-21
1,205,205,d086,Drift,57.861285000000002,0,-2.1033263512109662e-15,6.8160401045664028e-10
1,206,206,q10aw,Quadrupole,58.354985000000006,0,-4.4519879587083868e-16,3.5940781501684919e-10
1,207,207,d087,Drift,58.752985000000002,0,-5.2891549259305033e-16,4.7314919152226625e-10
1,208,208,det_10aw,Marker,58.850985000000001,0,-1.4938406149578918e-27,5.4681072913773331e-22
1,209,209,d088,Drift,58.909685000000003,0,-2.9333621631979816e-16,2.8166538332148772e-10
1,210,210,sex_10aw,Sextupole,59.104385000000001,-0.11116394997904001,1.9669517117753623e-12,7.2557208508611789e-07
1,211,211,d089,Drift,59.384204500000003,0,-7.1869621742468914e-16,6.9010178188386424e-10
1,212,212,b11w,SBend,62.815155000000004,0,-1.6331682942077072e-14,1.3845940244574898e-08
