scenario,rho,trials,converged_trials,mean_x_rmse_m,max_trial_x_rmse_m,mean_x_max_abs_m,global_x_max_abs_m,mean_y_rmse_m,max_trial_y_rmse_m,mean_y_max_abs_m,global_y_max_abs_m,mean_newton_iterations,max_closure_norm,source_chunk
vertical,3.2000000000000002,600,600,5.6567445225959342e-06,2.3030984962309313e-05,1.7870764484765263e-05,7.0063540129196994e-05,2.1867224056722248e-07,1.9663947285316333e-06,6.8393552642157639e-07,4.1365971842848134e-06,4.9699999999999998,9.9998781001829465e-14,chunk_3
vertical,4.5300000000000002,600,600,1.1336856262228144e-05,4.6155180049077536e-05,3.5816741255004782e-05,0.0001404240902018912,5.8954794385829635e-07,5.5233332278604614e-06,1.6400538047028246e-06,1.1533576279593692e-05,5.2833333333333332,9.971704332363762e-14,chunk_3
vertical,6.4000000000000004,600,600,2.2631613224808945e-05,9.2131136591938595e-05,7.1506006468436819e-05,0.00028035596799785671,1.6148037600387395e-06,1.5515191206345292e-05,4.0980041830524525e-06,3.2192214948767992e-05,5.585,9.8776348133389296e-14,chunk_4
vertical,9.0500000000000007,600,600,4.5266150088171163e-05,0.00018424234026525997,0.00014304345123232492,0.00056086350930552829,4.5021120075712218e-06,4.4023023392693607e-05,1.071197918728263e-05,9.0750495710788508e-05,6.0783333333333331,9.9972868843323436e-14,chunk_4
vertical,12.800000000000001,600,600,9.0603879391602208e-05,0.00036864721235210513,0.0002864028574562359,0.0011230752689712995,1.2708106832409751e-05,0.00012648929280492104,2.9008772998740661e-05,0.00025857590637921781,6.7633333333333336,9.9624246725981107e-14,chunk_4
vertical,18.100000000000001,600,599,0.000181308687348479,0.00073752990555180412,0.00057313015402973031,0.0022503291502971139,3.5988479043648819e-05,0.00037173320360983506,8.0173070755865e-05,0.00075172855338325731,7.5575959933222041,9.9792160765644337e-14,chunk_4
vertical,25.600000000000001,600,598,0.00036351417186430995,0.0014774653582736257,0.0011515127209911415,0.0045249413712495513,0.00010487053083935486,0.0011534278199582797,0.00022966870329778357,0.0023282466873286193,8.5384615384615383,9.9956987125995795e-14,chunk_5
vertical,36.200000000000003,600,593,0.00073320565214173971,0.002967394819882261,0.0023313784734987353,0.0098236924068846425,0.00031979420712908101,0.0042431756721623658,0.00068976155609472647,0.0085237906081786028,10.045531197301855,9.9983706807708038e-14,chunk_5
vertical,51.200000000000003,600,582,0.011126519569960917,2.9031666889313374,0.014534881827430937,2.9186361273441332,0.024639442055003707,3.2617119493471431,0.02677692769178357,3.3383299028444711,12.754295532646049,9.998033338907659e-14,chunk_5
vertical,64,600,582,0.071146498669328109,2.8914974012890271,0.076817510571933839,2.9071488234021929,0.10656046643365839,5.0188734755925788,0.11358903859581818,5.0967179400767986,13.405498281786942,9.9891328767235683e-14,chunk_5
