case,target,target_index,x_rmse_um,y_rmse_um,rmse_2d_um,median_2d_um,p90_2d_um,p99_2d_um,max_2d_um
baseline,SEX_26E,59,2.770295007376381,3.7340859767805257,4.649508846091538,4.4921314535882715,5.775327192091049,6.056491022062955,6.08773144761539
baseline,SEX_25E,60,2.5589611059331214,3.5811818500061534,4.40149354020791,4.252713366867808,5.30081112061317,5.43571730180801,5.450706877496326
baseline,SEX_24E,61,6.204578344561532,7.617279121209033,9.824445716894617,8.390860274198335,13.682026828761723,15.173229908740872,15.338919139849668
baseline,SEX_23E,62,3.288500199838602,1.8616763456783922,3.7788983024681913,2.205505243481118,5.451524205698338,6.534980863831223,6.6553649369571
baseline,SEX_22E,63,4.4071243226863075,2.8878022897415274,5.26897967924053,5.717504407993311,6.442270308335744,6.539541050309475,6.550348910528778
baseline,SEX_21E,64,2.6133445746282478,4.1819127297337575,4.931324765704257,4.265599767879382,6.787379149738525,6.943917161869133,6.96131027432809
baseline,SEX_20E,65,7.6587572488192865,2.655022584334117,8.105905718651444,7.923992729655027,9.042351215879938,9.32059746908409,9.351513719440106
baseline,SEX_19E,66,1.8353665918017104,2.2172881327968272,2.878356682230933,2.5376462962022375,3.8305617398163774,4.027397611183058,4.049268263557133
baseline,SEX_18E,67,4.848056754949154,2.553448324297177,5.47939345585478,5.11872156177412,7.2679824250163465,7.687834942055834,7.734485221726889
baseline,SEX_17E,68,5.608092625318439,2.398501173657017,6.099468073052367,6.524067082905264,7.529418543479394,7.70009496952901,7.719059016867856
baseline,SEX_16E,69,1.958099495537558,4.42362801921375,4.837627361299897,4.87631752006943,5.843191010289948,5.887403676840588,5.892316195346215
baseline,SEX_15E,70,4.000919945911187,2.2716974259025506,4.60086618023631,3.693824395026313,5.924838987104082,6.775030543963696,6.869496272503654
baseline,SEX_14E,71,1.8709338272815332,3.3383035943307933,3.8268347591695444,2.630295834074772,5.44335382985697,6.483328230054513,6.598880941187575
baseline,SEX_13E,72,3.7104063065623345,12.486617751583411,13.026232680016719,6.368644184716116,18.842350621519564,23.628758429552697,24.160581519334162
baseline,SEX_12E,73,2.5539169665123302,6.587502877164644,7.065244937614831,6.123787832082659,9.821834441723784,10.174489172150437,10.213673031086733
baseline,SEX_11E,74,1.6556572409828025,3.713303307123414,4.065688422679789,4.15814604477405,5.30821306088823,5.346240984079712,5.350466308878765
baseline,SEX_10AE,75,0.7592139932792178,2.1344974158053036,2.2654988646367697,0.9542305736327489,3.345778229130575,4.205239738335863,4.300735461580897
baseline,SEX_09AE,76,1.3778721204514799,1.7464969768709013,2.2245860897112197,2.0804191456463137,2.810730702310105,3.05968519177253,3.0873468017127994
bpm_gain,SEX_09AW,1,3.846853639081962,5.377164942934332,6.611519170662677,7.1406730577372555,8.235485947803518,8.429467073722359,8.451020532157786
bpm_gain,SEX_10W,2,5.141229816331306,5.021900069073386,7.186913407582792,6.682833420466066,9.192519534694044,9.877743902547572,9.953879943420187
bpm_gain,SEX_10AW,3,1.5605616199330077,2.287027141874728,2.76872637096547,2.5349329086303323,3.773366339917857,4.0761817612272555,4.109827919150522
bpm_gain,SEX_12W,4,1.3287844253031564,1.376079018534107,1.9129196308726697,1.9699048352550124,2.0746388717442166,2.084944997768132,2.0860901228819
bpm_gain,SEX_13W,5,4.6931192743438155,8.52506600111242,9.731501366517929,10.550954689731919,11.750154096069181,12.10719656186449,12.146867946952858
bpm_gain,SEX_14W,6,2.0475056928820186,5.141188516084845,5.533904491433418,4.914418327085327,7.671366548781321,8.329803718324555,8.402963403829359
bpm_gain,SEX_15W,7,2.8596592180787725,2.1899085258494972,3.601853716509211,3.16922604608074,5.03329031204692,5.516741597880711,5.570458407417799
bpm_gain,SEX_16W,8,3.665836085630864,6.305813434443812,7.293945247719199,6.34984410689119,9.473406806947857,10.451096169120653,10.559728320473187
bpm_gain,SEX_17W,9,4.364619089913864,7.760004834345793,8.90323395340764,7.629269976038629,12.460955716670759,12.75045636452474,12.782623103175183
bpm_gain,SEX_18W,10,10.989565087592819,13.621393533677917,17.501797125260065,16.314887875137256,20.361245143154644,21.851117433661525,22.0166587992734
bpm_gain,SEX_19W,11,3.491048233214666,2.2123276474780513,4.133014805977232,3.2107005483881315,5.581868228066575,6.493857977999122,6.595190172436072
bpm_gain,SEX_20W,12,2.563621229034872,4.791831422815129,5.434501098595595,4.570685322210498,7.537488246920137,8.358916481583794,8.450186285435311
bpm_gain,SEX_21W,13,6.792667725360136,4.928461569372604,8.392262404616046,8.43792263942292,9.437382082670524,9.651699430759916,9.675512469436514
