target_index,target,line_index,s_m,length_m,nominal_kn2_m3,nominal_orbit_x_m,nominal_orbit_y_m
35,SEX_43W,511,334.6823820000001,0.272,-2.355951389,2.8843974005625213e-14,-8.866937204593128e-29
36,SEX_44W,527,345.6874090000002,0.272,-1.6714252552,2.860200167631292e-14,-4.945610032520028e-29
37,SEX_45W,537,352.0352120000002,0.272,1.6601330407,5.6110624814644674e-14,8.733264123798704e-30
38,SEX_47W,551,365.88444100000027,0.272,3.6505519892,3.266412350349291e-14,9.521865778999555e-29
39,SEX_47E,627,402.10880300000036,0.272,3.4404913108,2.078556127216302e-14,-7.169319504635181e-29
40,SEX_45E,641,416.40915300000034,0.272,1.7694985495,6.188145516114729e-14,4.9551122192858426e-29
41,SEX_44E,651,422.7528710000003,0.272,-1.3789094119,3.5128395216452334e-14,1.8073902725812148e-28
42,SEX_43E,667,433.75209100000035,0.272,-2.4064444728,3.2165551233031306e-14,2.624157535049718e-28
43,SEX_42E,675,441.95955800000036,0.272,1.8009376383,4.3855283195841295e-14,1.6721229736861647e-28
44,SEX_41E,683,450.1611960000003,0.272,-3.7814906211000006,2.6382517154309872e-14,2.6756284474160445e-28
45,SEX_40E,691,458.3645330000003,0.272,-0.022583165773,6.503042921323403e-14,8.945082929119289e-29
46,SEX_39E,699,466.5685700000003,0.272,-2.4064129200000006,3.345185187255299e-14,1.8755904720513e-30
47,SEX_38E,709,475.0016130000003,0.272,1.804833199,6.999219444948407e-14,-5.345524510828255e-29
48,SEX_37E,717,483.2036200000002,0.272,-1.4119146486,3.442738774929977e-14,-1.902906623245135e-28
49,SEX_36E,725,491.21897400000023,0.272,0.82481899829,5.912138392608778e-14,-9.012886710212108e-29
50,SEX_35E,737,502.1918880000002,0.272,-1.0009958091,3.4746666167725445e-14,-5.954891681126382e-29
51,SEX_34E,743,510.11032700000015,0.272,0.37471592922,7.478976596929316e-14,1.6144032882791812e-29
52,SEX_33E,753,516.0587210000001,0.272,-0.7725569366200001,4.9310862803435845e-14,9.725924867174403e-29
53,SEX_32E,761,524.4910650000002,0.272,0.98800179105,7.088596125626358e-14,1.1946043278830579e-28
54,SEX_31E,769,532.6925710000002,0.272,-3.8102565215000004,4.52108033212828e-14,2.719925550398053e-28
55,SEX_30E,777,541.1213150000002,0.272,-0.22905345665,8.96969191375469e-14,1.7767574067634772e-28
56,SEX_29E,787,550.4060380000002,0.272,-2.6506830185,3.687026880245107e-14,3.169259730778079e-28
57,SEX_28E,797,558.8351820000003,0.272,0.74012101599,5.74504982390287e-14,4.3081026338811887e-29
58,SEX_27E,805,567.0402060000004,0.272,-2.5024192102,2.664377671265703e-14,-2.2743076175514074e-28
