source_target_index,source_target,observation_index,observation_sextupole,observation_plane,kick_px_response,kick_py_response,bump_x_response_m_per_m,bump_y_response_m_per_m,normal_source_response,skew_source_response,k2_bx_center_x_response,k2_bx_center_y_response,k2_by_center_x_response,k2_by_center_y_response
1,SEX_09AW,21,SEX_29W,x,-2.723146743591818,-7.098814367972222e-15,-0.0003375196529155468,3.36278674283269e-16,0.7406959142569746,-1.9308775080884445e-15,-0.7406959142569746,1.9308775080884938e-15,1.9308775081809865e-15,0.7406959142569745
1,SEX_09AW,21,SEX_29W,y,1.575447607691895e-14,-17.42003666295991,-1.18168236790285e-15,0.4642893449765861,-4.2852174929219545e-15,-4.738249972325096,4.285217492922271e-15,4.738249972325096,4.738249972325095,-4.28521749351395e-15
1,SEX_09AW,22,SEX_30W,x,1.1299890619160093,-9.581454015797301e-15,-0.0039043389697119664,-1.9525099573201482e-17,-0.30735702484115457,-2.606155492296866e-15,0.30735702484115457,2.6061554922968456e-15,2.6061554922584647e-15,-0.3073570248411545
1,SEX_09AW,22,SEX_30W,y,2.3857079016770168e-15,-4.1442427448214465,-7.45837480621257e-18,0.2262010090178915,-6.489125492561486e-16,-1.1272340265914336,6.489125492562239e-16,1.1272340265914336,1.1272340265914333,-6.489125493969849e-16
1,SEX_09AW,23,SEX_31W,x,3.3158503435665887,1.54020419334667e-15,-0.0008414068434171135,2.685554049341565e-16,-0.9019112934501122,4.1893554059029424e-16,0.9019112934501122,-4.189355405903545e-16,-4.1893554070297887e-16,-0.9019112934501121
1,SEX_09AW,23,SEX_31W,y,-5.856226709630273e-15,1.5977232569073188,9.48945428598515e-16,0.3131960282733802,1.5928936650194342e-15,0.4345807258787907,-1.5928936650194632e-15,-0.4345807258787907,-0.43458072587879065,1.5928936650737306e-15
1,SEX_09AW,24,SEX_32W,x,7.817732995922454,1.2797605614550342e-14,0.0019347846017683534,8.620105944098336e-16,-2.1264233748909076,3.4809487271576933e-15,2.1264233748909076,-3.4809487271578353e-15,-3.480948727423368e-15,-2.126423374890907
1,SEX_09AW,24,SEX_32W,y,-7.952875856556195e-15,6.226295608172052,1.1013842377729431e-15,0.12172203145746371,2.163182232983285e-15,1.6935524054227982,-2.1631822329833984e-15,-1.6935524054227982,-1.693552405422798,2.163182233194877e-15
1,SEX_09AW,25,SEX_33W,x,4.2036703490304586,1.1187909154941987e-14,0.0036944691971533073,5.897959619389848e-16,-1.1433983349362848,3.0431112901442204e-15,1.1433983349362848,-3.043111290144297e-15,-3.043111290287076e-15,-1.1433983349362846
1,SEX_09AW,25,SEX_33W,y,-1.7303164069054038e-14,16.422521442132258,2.2791192375949437e-15,0.05616763973230646,4.706460626782699e-15,4.4669258322599745,-4.706460626782997e-15,-4.4669258322599745,-4.466925832259974,4.706460627340795e-15
1,SEX_09AW,26,SEX_34W,x,4.530843012453731,2.2078593169724512e-14,0.007388734214703008,8.095926221300512e-16,-1.232389299387415,6.005377342165068e-15,1.232389299387415,-6.00537734216515e-15,-6.0053773423190415e-15,-1.2323892993874148
1,SEX_09AW,26,SEX_34W,y,-9.992609362345991e-15,11.947580165488707,1.4752302345843629e-15,-0.03705406295651736,2.71798974655811e-15,3.2497418050129285,-2.7179897465583267e-15,-3.2497418050129285,-3.249741805012928,2.7179897469641318e-15
1,SEX_09AW,27,SEX_35W,x,-0.7359728433234811,1.0087809004777281e-14,0.0037746814156738064,1.0751638899499165e-16,0.20018461338398688,2.7438840492994205e-15,-0.20018461338398688,-2.743884049299407e-15,-2.743884049274409e-15,0.20018461338398685
1,SEX_09AW,27,SEX_35W,y,-1.1961640524409147e-14,19.505289376135128,2.1013796558372006e-15,-0.19135453382870732,3.2535662226392884e-15,5.3054387103087555,-3.253566222639643e-15,-5.3054387103087555,-5.305438710308755,3.253566223302149e-15
1,SEX_09AW,28,SEX_36W,x,-8.081634705049021,1.332063577202111e-14,0.003876677823203194,-7.392057764366645e-16,2.198204639773334,3.623212929989742e-15,-2.198204639773334,-3.623212929989595e-15,-3.6232129297150976e-15,2.1982046397733335
1,SEX_09AW,28,SEX_36W,y,-1.2211674357740025e-15,8.165044871362037,5.960670112048097e-16,-0.20185235004019902,3.321575425305287e-16,2.220892205010474,-3.3215754253067703e-16,-2.220892205010474,-2.2208922050104736,3.321575428080066e-16
1,SEX_09AW,29,SEX_37W,x,-3.322215088818135,-1.8726790318001653e-15,-0.0005047037556417389,-4.424509506442264e-16,0.9036425041585328,-5.09368696649645e-16,-0.9036425041585328,5.093686966497053e-16,5.093686967625459e-16,0.9036425041585326
1,SEX_09AW,29,SEX_37W,y,4.421895039895447e-15,9.659723634744928,2.598264560706495e-16,-0.43000286974781804,-1.2027554508515618e-15,2.6274448286506207,1.2027554508513863e-15,-2.6274448286506207,-2.6274448286506202,-1.202755450523289e-15
1,SEX_09AW,30,SEX_38W,x,-2.090326277515548,-1.3369969103709338e-14,-0.004315346775698154,-7.669535373307235e-16,0.5685687474842291,-3.63663159620894e-15,-0.5685687474842291,3.636631596208978e-15,3.636631596279976e-15,0.568568747484229
1,SEX_09AW,30,SEX_38W,y,3.863583720137414e-15,0.09726515404035307,-4.2971092693525464e-16,-0.1898628921415812,-1.0508947718773767e-15,0.02645612189897604,1.0508947718773749e-15,-0.02645612189897604,-0.026456121898976035,-1.0508947718740711e-15
1,SEX_09AW,31,SEX_39W,x,2.8352414955511396,-5.117446563136615e-15,-0.000750245100990385,1.4474843653524912e-16,-0.7711856867899101,-1.3919454651731594e-15,0.7711856867899101,1.391945465173108e-15,1.3919454650768073e-15,-0.77118568678991
1,SEX_09AW,31,SEX_39W,y,8.573720328401593e-15,-8.442783773396092,-1.627565880559614e-15,-0.22517105329401804,-2.3320519293252338e-15,-2.2964371863637374,2.3320519293253872e-15,2.2964371863637374,2.296437186363737,-2.33205192961215e-15
1,SEX_09AW,32,SEX_40W,x,10.20845151434801,-8.668915763262412e-15,0.002108626427679528,9.725981929545553e-16,-2.776698811902659,-2.3579450876073763e-15,2.776698811902659,2.357945087607191e-15,2.3579450872604554e-15,-2.7766988119026585
1,SEX_09AW,32,SEX_40W,y,3.162951343487937e-15,-5.782117489711499,-6.171026138154382e-16,0.05956748666221049,-8.603227654287189e-16,-1.572735957201528,8.60322765428824e-16,1.572735957201528,1.5727359572015278,-8.603227656252162e-16
1,SEX_09AW,33,SEX_41W,x,0.23621473010113037,2.157007077163963e-15,0.0023499683144172826,1.8982115835244066e-16,-0.06425040658750747,5.86705924988598e-16,0.06425040658750747,-5.867059249886023e-16,-5.867059249966253e-16,-0.06425040658750746
1,SEX_09AW,33,SEX_41W,y,2.9711399494145615e-15,-11.791689069592211,-6.161374402628321e-16,0.3974451730809042,-8.081500662407608e-16,-3.2073394269290816,8.081500662409751e-16,3.2073394269290816,3.207339426929081,-8.081500666414853e-16
