target,location,coordinate,qx_power,qy_power,qk_power,total_order,coefficient
SEX_10AW,exit,py,2,0,0,2,-1.9789952357741779e-22
SEX_10AW,exit,py,0,0,3,3,-1.0267212852560901e-78
SEX_10AW,exit,py,0,1,2,3,-1.7852695202083154e-37
SEX_10AW,exit,py,0,2,1,3,2.4544326855333624e-23
SEX_10AW,exit,py,0,3,0,3,4.198340043883346e-9
SEX_10AW,exit,py,1,0,2,3,3.491706770316319e-50
SEX_10AW,exit,py,1,1,1,3,4.891650604750352e-9
SEX_10AW,exit,py,1,2,0,3,8.248557202126238e-23
SEX_10AW,exit,py,2,0,1,3,-5.240656959401209e-24
SEX_10AW,exit,py,2,1,0,3,1.5204071382991332e-9
SEX_10AW,exit,py,3,0,0,3,3.47015940143773e-24
SEX_10AW,exit,py,0,0,4,4,-4.4485555066011875e-95
SEX_10AW,exit,py,0,1,3,4,-1.3701112098488026e-53
SEX_10AW,exit,py,0,2,2,4,-6.101248141656185e-38
SEX_10AW,exit,py,0,3,1,4,-1.373978002549135e-10
SEX_10AW,exit,py,0,4,0,4,6.112297548001846e-25
SEX_10AW,exit,py,1,0,3,4,3.9258221118016433e-66
SEX_10AW,exit,py,1,1,2,4,4.939457196867665e-25
SEX_10AW,exit,py,1,2,1,4,-3.0365114514010037e-24
SEX_10AW,exit,py,1,3,0,4,3.2117736315425506e-11
SEX_10AW,exit,py,2,0,2,4,-2.547613800708259e-38
SEX_10AW,exit,py,2,1,1,4,1.1766607510067058e-10
SEX_10AW,exit,py,2,2,0,4,4.7203676527849186e-26
SEX_10AW,exit,py,3,0,1,4,-8.08384350799816e-26
SEX_10AW,exit,py,3,1,0,4,2.108894266025061e-11
SEX_10AW,exit,py,4,0,0,4,1.381840881175231e-25
SEX_10AW,exit,z,0,0,0,0,-1.0953036019296417e-14
SEX_10AW,exit,z,0,0,1,1,1.938776443950455e-37
SEX_10AW,exit,z,0,1,0,1,2.1479187651309362e-19
SEX_10AW,exit,z,1,0,0,1,2.719278590474313e-6
SEX_10AW,exit,z,0,0,2,2,-1.4128505538133642e-53
SEX_10AW,exit,z,0,1,1,2,-1.5994158600069528e-37
SEX_10AW,exit,z,0,2,0,2,-2.8515859334476504e-7
SEX_10AW,exit,z,1,0,1,2,-5.362937501446069e-25
SEX_10AW,exit,z,1,1,0,2,8.267684929644792e-23
SEX_10AW,exit,z,2,0,0,2,-8.456503084845589e-8
SEX_10AW,exit,z,0,0,3,3,1.2862894780850357e-69
SEX_10AW,exit,z,0,1,2,3,-1.363412180433271e-53
SEX_10AW,exit,z,0,2,1,3,-3.8600592162597674e-13
SEX_10AW,exit,z,0,3,0,3,-2.3884966604129403e-23
SEX_10AW,exit,z,1,0,2,3,5.862246410389849e-41
SEX_10AW,exit,z,1,1,1,3,1.3042576879582283e-25
SEX_10AW,exit,z,1,2,0,3,-3.5548245043405754e-9
SEX_10AW,exit,z,2,0,1,3,3.7088219297353523e-13
SEX_10AW,exit,z,2,1,0,3,-7.008745063111479e-23
SEX_10AW,exit,z,3,0,0,3,1.9097350080245795e-11
SEX_10AW,exit,z,0,0,4,4,-1.3114683763556216e-85
SEX_10AW,exit,z,0,1,3,4,-5.995371155157907e-70
SEX_10AW,exit,z,0,2,2,4,-3.8976497803281083e-29
SEX_10AW,exit,z,0,3,1,4,6.922248375434517e-25
SEX_10AW,exit,z,0,4,0,4,-5.2872246317608725e-11
