sample_id,scenario,rho,trial_id,active_rms_rad,global_rms_rad,maximum_abs_kick_rad,converged,newton_iterations,closure_norm,x_rmse_m,x_max_abs_m,y_rmse_m,y_max_abs_m
2978,horizontal,0.10000000000000001,578,4.9999999999999998e-07,3.4906838799266588e-07,1.1573868988007301e-06,true,1,6.2384633167444209e-14,1.4337451149740817e-09,4.5579374649551418e-09,2.2355066224553845e-11,7.0441303526671325e-11
2979,horizontal,0.10000000000000001,579,5.000000000000003e-07,3.4906838799266598e-07,1.2752119995887647e-06,true,1,4.5420440607013706e-14,2.154580020356138e-09,8.9324839686391599e-09,4.0489056748783774e-11,1.20206815499641e-10
2980,horizontal,0.10000000000000001,580,5.0000000000000008e-07,3.4906838799266593e-07,1.2045467491886204e-06,true,1,3.5632417291915014e-14,1.6335870873733024e-09,4.5826777598373392e-09,3.7964007042303493e-11,1.8561786320221013e-10
2981,horizontal,0.10000000000000001,581,5.0000000000000008e-07,3.4906838799266593e-07,1.1753726359694891e-06,true,2,3.3995529277761329e-15,1.7860255296821695e-09,5.4010558005190834e-09,3.1447156335369437e-11,2.7449401931133044e-10
2982,horizontal,0.10000000000000001,582,4.9999999999999998e-07,3.4906838799266588e-07,1.3758118127802714e-06,true,5,1.6965728737103156e-14,1.5861619255838129e-09,6.4308330258167068e-09,1.6671479632995369e-11,1.3266240471605795e-10
2983,horizontal,0.10000000000000001,583,4.9999999999999998e-07,3.4906838799266593e-07,1.7142751017436607e-06,true,1,4.0189641949888449e-14,8.0520468296800431e-10,2.0369671912753851e-09,2.0147677727137227e-11,1.4995148363023542e-10
2984,horizontal,0.10000000000000001,584,5.0000000000000008e-07,3.4906838799266593e-07,1.3664390749073292e-06,true,2,6.9490099626677372e-15,1.6327979368154695e-09,4.9008199547173614e-09,1.7353679327231782e-11,1.3736369604711723e-10
2985,horizontal,0.10000000000000001,585,5.0000000000000008e-07,3.4906838799266593e-07,1.167723553499535e-06,true,1,3.3356928338342386e-14,8.7160471142080167e-10,3.4730304929696254e-09,2.0051706898100326e-11,1.1888338154620454e-10
2986,horizontal,0.10000000000000001,586,5.0000000000000019e-07,3.4906838799266598e-07,1.1494836888761127e-06,true,1,3.8158936138599031e-14,1.4885709077895388e-09,5.986478094494041e-09,2.477593583341662e-11,1.6062526536717719e-10
2987,horizontal,0.10000000000000001,587,5.0000000000000008e-07,3.4906838799266593e-07,8.7824329448813391e-07,true,1,5.5716028057331643e-14,1.8759586319345121e-09,6.6582249569341464e-09,3.6091651773880065e-11,1.1207870450968767e-10
2988,horizontal,0.10000000000000001,588,5.0000000000000008e-07,3.4906838799266593e-07,1.153968273263836e-06,true,3,2.729392704413565e-14,8.8771070225234771e-10,2.4618439734697128e-09,9.7112930551370223e-12,7.3018096343607786e-11
2989,horizontal,0.10000000000000001,589,5.0000000000000008e-07,3.4906838799266598e-07,1.3983850450440378e-06,true,2,3.6694338923070839e-15,8.3548771660276897e-10,2.9345360256366471e-09,3.2277061349504993e-11,1.4623430396286385e-10
2990,horizontal,0.10000000000000001,590,5.0000000000000008e-07,3.4906838799266598e-07,9.8708893152490231e-07,true,1,7.9288055863842083e-14,3.6391825165732908e-10,9.9320403464109308e-10,1.9346504080466212e-11,6.4059319155630734e-11
2991,horizontal,0.10000000000000001,591,5.0000000000000008e-07,3.4906838799266593e-07,1.2440010249279934e-06,true,5,1.2429928392382238e-14,1.3214460060363151e-09,5.6107361933593891e-09,3.6719463664263071e-11,2.1932255870379253e-10
2992,horizontal,0.10000000000000001,592,5.0000000000000008e-07,3.4906838799266588e-07,1.1945709811414774e-06,true,2,1.173131008568556e-14,2.1855146409163617e-09,1.0170064762560216e-08,4.5368916104443245e-11,1.4438334609932074e-10
2993,horizontal,0.10000000000000001,593,5.0000000000000008e-07,3.4906838799266593e-07,1.3917654634281298e-06,true,1,4.1585774439480544e-14,1.902510061128088e-09,1.0171010245835221e-08,2.1356714851123366e-11,6.5930277889572749e-11
2994,horizontal,0.10000000000000001,594,5.0000000000000008e-07,3.4906838799266593e-07,1.5575776861488405e-06,true,1,3.1055223896369366e-14,1.0480523831978436e-09,2.9431987194628029e-09,2.4485801904602372e-11,1.3702826742213736e-10
2995,horizontal,0.10000000000000001,595,5.0000000000000019e-07,3.4906838799266598e-07,9.4211838528013067e-07,true,5,2.4087994993540466e-14,6.2975218730769787e-10,2.0910835164117403e-09,9.5881177373756196e-12,4.502954725673497e-11
2996,horizontal,0.10000000000000001,596,4.9999999999999998e-07,3.4906838799266593e-07,1.1131223823879956e-06,true,3,5.1643463914974373e-15,7.6903744902114949e-10,2.5301975627514683e-09,3.904337745578305e-11,8.5017419861922738e-11
2997,horizontal,0.10000000000000001,597,5.0000000000000019e-07,3.4906838799266598e-07,1.3276287295497243e-06,true,1,4.5039008434125844e-14,1.1234756828697033e-09,4.2385384993459674e-09,1.8111750289784676e-11,6.9028845573609887e-11
2998,horizontal,0.10000000000000001,598,5.0000000000000008e-07,3.4906838799266588e-07,1.1731659471733392e-06,true,1,7.1300787328191102e-14,1.7414419738084843e-09,5.8336601816560973e-09,3.3533384071235187e-11,1.5548461433298466e-10
2999,horizontal,0.10000000000000001,599,5.0000000000000008e-07,3.4906838799266588e-07,1.5290417242454056e-06,true,1,3.8827936186340264e-14,1.113967609476682e-09,3.6626951666930696e-09,1.9785900334990046e-11,1.6301845821593136e-10
3000,horizontal,0.10000000000000001,600,5.0000000000000019e-07,3.4906838799266598e-07,1.4727644427649367e-06,true,2,4.084054030181486e-15,9.0534874292012174e-10,2.3514704038107848e-09,4.2496804681899158e-11,1.9356091577639456e-10
3001,horizontal,0.14000000000000001,1,6.9999999999999986e-07,4.886957431897322e-07,1.677319271804432e-06,true,2,8.9462715187231228e-15,4.3225008413073283e-09,1.7606277605101972e-08,6.5677884322128629e-11,4.4598550200114495e-10
3002,horizontal,0.14000000000000001,2,7.0000000000000007e-07,4.886957431897323e-07,1.7509215574424252e-06,true,3,4.7724236908733512e-14,2.9529696178584264e-09,1.323060772853886e-08,5.3841910209237051e-11,4.3111761599892717e-10
3003,horizontal,0.14000000000000001,3,6.9999999999999997e-07,4.886957431897322e-07,1.7930740707886573e-06,true,2,1.6356187426399301e-14,2.6174834346621906e-09,8.0807780842174354e-09,4.1597570008751904e-11,2.814760808331554e-10
3004,horizontal,0.14000000000000001,4,7.0000000000000007e-07,4.886957431897322e-07,1.5522373502701248e-06,true,2,6.3688670771979425e-14,1.3868139695778819e-09,5.2535871022420244e-09,7.4435279109319349e-11,2.5749337698947189e-10
3005,horizontal,0.14000000000000001,5,7.0000000000000018e-07,4.886957431897323e-07,1.9549085598263966e-06,true,2,1.2182816536920154e-14,1.8922667026616905e-09,5.9074121341179398e-09,7.8711598815639928e-11,1.8046468863003838e-10
3006,horizontal,0.14000000000000001,6,7.0000000000000007e-07,4.886957431897323e-07,1.918964223216503e-06,true,3,2.2405413449588322e-14,2.6302253356056756e-09,5.8210261246610662e-09,4.7166899630137134e-11,3.6011686482210342e-10
