plane,element_order,element_index,element_name,s_m,k2l_m2,nominal_beta_sext_m,actual_rms_relative_magnitude,predictor_source_only_rad_rms,predictor_nominal_beta_envelope_m_rms,predictor_direction_beta_envelope_m_rms,predictor_nominal_beta_phase_m_rms,predictor_direction_beta_phase_m_rms,actual_element_magnitude_share,predictor_source_only_rad_element_share,predictor_nominal_beta_envelope_m_element_share,predictor_direction_beta_envelope_m_element_share,predictor_nominal_beta_phase_m_element_share,predictor_direction_beta_phase_m_element_share
x,41,651,sex_44e,422.8888710000003,-0.3750633600368,6.376394926854728,0.12437716913600388,3.695942610797657e-08,2.2085938970255047e-06,2.2326374756630067e-06,1.4585615370968576e-06,1.460592941003015e-06,0.017629831876786108,0.021501768039651255,0.017801195845294306,0.017951210559972803,0.01696184355682554,0.016982690736894894
x,42,667,sex_43e,433.8880910000003,-0.6545528966016001,6.064406037562578,0.2531630934367103,6.876597273330297e-08,4.007474534913566e-06,3.978011471335796e-06,3.0510093600123995e-06,3.0521484938774694e-06,0.03588458240125929,0.04000576173484888,0.03230011598651189,0.031984646997260516,0.03548067197627203,0.035488117530545836
x,43,675,sex_42e,442.0955580000003,0.4898550376176,27.96566665751371,0.09920616746058158,1.3385401636768191e-08,1.6751243058871192e-06,1.6808499715059505e-06,1.224443046625672e-06,1.2286332073643498e-06,0.014061970260457201,0.00778718263293712,0.013501448081727152,0.013514640010809325,0.014239242481634364,0.014285635103384315
x,44,683,sex_41e,450.29719600000027,-1.0285654489392002,3.021799610993829,0.0739553243183729,3.372797586119696e-08,1.3874781538196781e-06,1.397560888722432e-06,8.906324453057683e-07,8.87482432904558e-07,0.010482791521813821,0.01962181748427904,0.011183029338474282,0.011236893610051476,0.010357306030418267,0.010318987083488903
x,45,691,sex_40e,458.50053300000025,-0.006142621090256001,30.130400674691373,0.002680082773009556,3.509328114970258e-10,4.558578880926604e-08,4.53652754418337e-08,3.397029528720394e-08,3.402045888975728e-08,0.0003798881179902311,0.00020416106809307852,0.00036741999307743237,0.00036475317665519616,0.0003950459542403647,0.00039556464763908634
x,46,699,sex_39e,466.7045700000003,-0.6545443142400003,3.8223567450457803,0.048139544746530975,1.6395938579272697e-08,7.585861977421377e-07,7.593327796615635e-07,5.692728781185698e-07,5.709863263254784e-07,0.0068235359142025135,0.009538613156328347,0.006114180379530862,0.006105309420530218,0.006620164630839144,0.006639005244214261
x,47,709,sex_38e,475.1376130000003,0.490914630128,26.448347108350365,0.05653873796435957,8.836923442929063e-09,1.0754826422301137e-06,1.0803466529658131e-06,6.945944248066056e-07,6.931202835242559e-07,0.008014078884102735,0.005141028908265686,0.00866835553984679,0.00868637674344871,0.008077548783072356,0.008059088256634978
x,48,717,sex_37e,483.3396200000002,-0.38404078441920003,4.295845779704146,0.03619113050574846,1.2851191733947276e-08,6.303340805699255e-07,6.297927085440249e-07,4.3679215584773955e-07,4.3609723617858835e-07,0.005129908894690172,0.007476397033036776,0.00508047243601488,0.005063760526931076,0.00507952528974849,0.005070615012112597
x,49,725,sex_36e,491.3549740000002,0.22435076753488004,23.92177748179226,0.08313163662179215,1.164402387545689e-08,1.3477298746844767e-06,1.3439602126512219e-06,1.0299509951093686e-06,1.0342324787130544e-06,0.011783487174255192,0.006774106818833992,0.010862659485803729,0.010805924842036213,0.011977463552901703,0.01202528770539894
x,50,737,sex_35e,502.32788800000014,-0.2722708600752,7.193455078532344,0.021779161372760297,6.133595855060965e-09,3.89302300077188e-07,3.91786567825145e-07,2.6480700219397296e-07,2.6467707352007027e-07,0.0030870854843086395,0.003568322596221923,0.0031377640298792912,0.0031501053127802143,0.0030794826476134175,0.0030774685804321354
x,51,743,sex_34e,510.2463270000001,0.10192273274784001,30.370096421815468,0.013486245944598485,1.9854943259627974e-09,2.5893739861733614e-07,2.6072096882573514e-07,1.6646611876407958e-07,1.6581102557759228e-07,0.0019116068511920686,0.0011550947332399759,0.0020870271128911894,0.0020962906247916587,0.0019358609096523538,0.0019279275485323641
x,52,753,sex_33e,516.1947210000002,-0.21013548676064006,8.82719817437803,0.044343264176319785,1.1413407535841971e-08,8.024718526501176e-07,8.051193001208564e-07,5.30027288267039e-07,5.287049179536778e-07,0.006285432428853456,0.0066399418827750075,0.006467897347991239,0.006473449559058167,0.006163771439035953,0.006147388406873154
x,53,761,sex_32e,524.6270650000002,0.2687364871656,16.623483949560296,0.0838079638504429,1.4173069566361577e-08,1.3675020559245813e-06,1.3621354459103567e-06,1.023532568145524e-06,1.0264791400832896e-06,0.011879353123107648,0.008245421704748198,0.011022022631295429,0.010952060272784754,0.011902822647274687,0.011935137637963111
x,54,769,sex_31e,532.8285710000002,-1.0363897738480001,5.402613031988097,0.08660217151794093,2.5940429889337485e-08,1.4268625677870123e-06,1.4307560427073974e-06,1.0414647153709364e-06,1.0440940122728833e-06,0.012275417865125942,0.01509128157725897,0.011500466449583245,0.011503794620739687,0.012111358432799936,0.012139950298881744
x,55,777,sex_30e,541.2573150000003,-0.0623025402088,35.537621641076775,0.013266372115530575,1.7574349167294294e-09,2.4792851278064105e-07,2.4955070163993404e-07,1.6268288237704263e-07,1.6217279971499374e-07,0.0018804408529023522,0.0010224173344548938,0.001998295846775935,0.0020064776477861,0.0018918650533903433,0.0018856249583164664
