method,machine,realized_quad_x_rms_um,realized_quad_y_rms_um,before_bpm_rms_um,after_bpm_rms_um,bpm_reduction_factor,before_bpm_max_abs_um,after_bpm_max_abs_um,before_target_2d_rms_um,after_target_2d_rms_um,command_rms,max_abs_command,iterations,converged,retained_response_rank,retained_response_condition
current_orm,7,50.94995024479522,50.56969032251,952.1675300953416,174.97662652977274,5.44168412078357,3000.4909671394385,1377.061967844675,1513.3222809698773,42.70130246697374,2.4054444368264763e-5,0.00013603567427005085,3,false,103,2.3447423064290535e7
reference_orm,8,48.236588328598096,46.232287962719184,1238.09013881558,150.083039667406,8.249367427254072,3825.2396008176543,750.8793312735057,1976.2824572563559,100.80688201786475,2.3073007627958138e-5,0.000130758674427704,3,false,103,6.179091031843211e7
current_orm,8,48.236588328598096,46.232287962719184,1238.09013881558,150.10852982695013,8.247966589526188,3825.2396008176543,750.4143573283299,1976.2824572563559,101.18636857347747,2.3212782699364493e-5,0.0001300508428211255,3,false,103,4.96977622200139e7
reference_orm,9,52.10964063010837,52.20480078098292,548.9204238393974,110.68793071317683,4.959171431814031,1970.8125129567627,577.8112594484722,920.3366175925178,78.22385346322183,2.1269245438036044e-5,0.00012309531079762487,3,false,103,1.9592879850836407e7
current_orm,9,52.10964063010837,52.20480078098292,548.9204238393974,110.6742333620834,4.959785192670289,1970.8125129567627,577.7186708613781,920.3366175925178,78.19138737687115,2.130336236749993e-5,0.00012314339886367696,3,false,103,1.969992623957513e7
reference_orm,10,46.39213074769619,54.044182102166204,873.1192360392783,150.64853507319262,5.7957366503104275,3751.535300213682,719.3846220520488,1416.3159580572058,107.8141570157844,1.8979339636443883e-5,9.28150016018478e-5,3,false,103,6.324592448352566e6
current_orm,10,46.39213074769619,54.044182102166204,873.1192360392783,150.73082903631996,5.792572373027234,3751.535300213682,719.8088303560995,1416.3159580572058,107.84399528352832,1.8894816233698932e-5,9.249860142966931e-5,3,false,103,6.507023146225889e6
reference_orm,11,52.94115286909212,52.759293638568664,721.5329601192369,140.969689586494,5.118355316208097,2544.0168899843497,701.138758817132,1063.5144406054305,112.11156439702211,2.4310688544716437e-5,0.0001047652565081661,3,false,103,1.1726537494677883e7
current_orm,11,52.94115286909212,52.759293638568664,721.5329601192369,141.0938200698513,5.11385232721056,2544.0168899843497,701.0057716299311,1063.5144406054305,112.12072543037618,2.410755454036852e-5,0.00010463032255182026,3,false,103,1.1488287796413785e7
reference_orm,12,55.01468345182522,47.60583328984399,614.842295661263,115.51834770326302,5.32246442132842,1737.5497273951084,613.7022747616371,907.3887672366334,62.613709430043535,1.946875176293152e-5,7.915095348875505e-5,3,false,103,4.776349648489592e6
current_orm,12,55.01468345182522,47.60583328984399,614.842295661263,115.50892034335722,5.322898818841067,1737.5497273951084,613.6407516602432,907.3887672366334,62.67859402378158,1.9488511878414025e-5,7.898136941516913e-5,3,false,103,4.778351951990147e6
reference_orm,13,55.7303184230021,49.28374432192248,865.8308136096807,125.50802763968083,6.8986090363509005,2990.3458546539478,776.3687714455392,1328.9407943136798,86.7321153805935,2.2236056560692075e-5,0.00011132246774613579,3,false,103,2.0672574131456934e7
