trial,element_order,element_index,element_name,s_m,k2l_m2,projection_numerator,contribution_norm_m
29,43,518,sex_41e,450.15579463697156,-0.49661216000000002,1.00479030799149e-12,5.7148685754279547e-07
29,44,526,sex_40e,458.35913663697158,0.24519358400000002,-1.0462004303886945e-13,1.6694387872292565e-07
29,45,534,sex_39e,466.56317863697166,-0.45728368000000003,-1.3470309666388401e-12,2.6588038222314445e-06
29,46,544,sex_38e,474.99622063697166,0.205352384,5.1847405933075193e-13,3.1855863669596106e-07
29,47,552,sex_37e,483.19826263697166,-0.037763935999999998,-1.2249043241881994e-14,5.7249017626743063e-09
29,48,560,sex_36e,491.2136046369717,0.16982945599999999,-6.4857196528591063e-13,4.153553735847335e-07
29,49,572,sex_35e,502.18641763697167,-0.165141808,-9.9086757642119594e-15,6.2285021907559668e-07
29,50,578,sex_34e,510.10486963697167,0.17428128000000001,-7.1379956481651829e-13,7.9682874639870373e-07
29,51,584,sex_33e,516.05336963697175,-0.49391936000000003,6.5893537478207977e-12,4.924916947060251e-06
29,52,592,sex_32e,524.48571163697181,0.30635088000000005,-4.3303145636130803e-12,2.1377180673885775e-06
29,53,600,sex_31e,532.68725363697195,-0.50422272000000001,9.4610774393407104e-12,4.4511494615994124e-06
29,54,608,sex_30e,541.115995636972,0.28501520000000002,1.1157977101262248e-13,1.16216751755797e-07
29,55,618,sex_29e,550.40073763697205,-0.145252624,2.4039293720140498e-14,9.6103908520721864e-08
29,56,628,sex_28e,558.82987963697212,0.14307091200000002,-2.7558708786754206e-13,2.1358454281876737e-07
29,57,636,sex_27e,567.03492163697229,-0.40346848000000007,-7.2620676862387445e-12,4.394005284551365e-06
29,58,646,sex_26e,575.4652636369724,0.23959555200000002,4.0038839059665402e-13,3.1551433165378835e-07
29,59,654,sex_25e,583.66900563697243,-0.39789247999999999,-3.159294770964056e-13,6.1110444741399254e-07
29,60,662,sex_24e,591.87254763697251,0.13653937599999999,1.1918107589297177e-14,2.9512431443486233e-08
29,61,672,sex_23e,602.07849063697267,-0.52328991999999996,5.171248748095097e-12,3.6894914177097828e-06
29,62,680,sex_22e,610.28253263697275,0.26098780799999999,-9.0498984340398392e-13,5.4617661944175548e-07
29,63,688,sex_21e,618.48397463697268,-0.23266553600000003,-1.3744926745935571e-14,1.1358841551993773e-08
29,64,696,sex_20e,626.6882166369727,0.033397248000000004,2.6914058605078652e-14,6.2196061991668977e-08
29,65,704,sex_19e,634.89685863697275,-0.21855716800000005,-2.0932220841730171e-13,1.3969865640504447e-06
29,66,710,sex_18e,641.55715863697276,0.078795680000000007,-3.9440977601048435e-14,5.5958693446965419e-08
29,67,718,sex_17e,649.75740063697276,-0.12589873600000001,-1.1742056463787118e-13,1.0353029691542547e-07
29,68,726,sex_16e,657.96494263697286,0.11064116800000003,4.22318273193762e-13,3.1461582100302383e-07
29,69,734,sex_15e,666.170984636973,-0.34512176,-2.3767323828887693e-12,2.0983037279636664e-06
29,70,742,sex_14e,676.29422663697301,-0.003429376,1.6551622156026653e-16,6.5004861978001814e-10
29,71,750,sex_13e,684.4977186369731,0.32600287999999999,-5.4914989622835713e-14,5.2176276313710668e-08
29,72,758,sex_12e,693.16336063697315,0.123680304,-1.7322366914912281e-14,1.2883215807232862e-08
29,73,766,sex_11e,701.36620363697318,-0.19755985600000003,2.6755780255298206e-13,3.2810568096905989e-07
29,74,774,sex_10e,709.57139563697331,-0.052495728000000005,-5.6487358149818108e-15,2.0855178270837509e-08
29,75,780,sex_09e,716.08206563697331,-0.24212868800000004,-2.451649621095475e-13,3.2079005130244511e-07
29,76,796,sex_08e,725.51569563697319,0.043414736000000002,-5.4588670070293226e-15,4.0270268440689228e-09
30,1,72,sex_08w,42.907498779194889,0.043392432000000002,-2.1814136078164911e-14,3.1542881984419638e-08
30,2,84,sex_09w,52.349828779194887,-0.24198398400000001,1.5303010324832814e-14,1.3391277968326854e-08
30,3,92,sex_10w,58.855398779194886,-0.052531632000000002,1.5680715696918971e-13,1.3421140635918726e-07
30,4,102,sex_11w,67.328070779194888,-0.19752585600000003,3.5139334433264575e-14,4.3564139286047698e-08
30,5,108,sex_12w,75.264033779194889,0.12366072000000002,2.5887050738819067e-15,9.8558393518429928e-08
30,6,116,sex_13w,83.932825779194886,0.32583968000000002,-2.4189784832700976e-14,2.8538723130222798e-08
30,7,124,sex_14w,92.133917779194888,-0.0034363392000000001,-2.5479275447836119e-15,2.3477575299369719e-09
30,8,132,sex_15w,102.25810977919488,-0.34508368000000006,3.939653706903578e-13,6.1230521440224071e-07
30,9,140,sex_16w,110.46430177919488,0.11048177600000003,7.5074529121362121e-15,4.7700119989359449e-08
30,10,150,sex_17w,118.66539277919489,-0.125842432,-7.1438509283913709e-14,9.4157735767097462e-08
30,11,158,sex_18w,126.86413477919488,0.078568559999999996,-1.2070802359008725e-13,9.7572569190344391e-08
30,12,164,sex_19w,133.52943477919487,-0.21847203200000001,-4.6818185989549723e-13,2.9718604475370593e-07
30,13,172,sex_20w,141.73732677919489,0.033388272000000004,3.2294736604833841e-15,1.9101732617166784e-09
30,14,180,sex_21w,149.93926877919489,-0.23265928000000002,-1.351123129722506e-13,9.3691245440037828e-08
